Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671845924.403702,,,,MouseEvent,"Down, Left"
1671845924.403702,Mouse,40.0,89.0,,
1671845924.614667,Mouse,40.0,89.0,,
1671845924.625926,Mouse,40.0,89.0,,
1671845924.644899,Mouse,40.0,88.0,,
1671845924.664652,Mouse,42.0,88.0,,
1671845924.675682,Mouse,43.0,88.0,,
1671845924.685761,Mouse,43.0,87.0,,
1671845924.704637,Mouse,44.0,87.0,,
1671845924.945625,Mouse,46.0,86.0,,
1671845924.955663,Mouse,48.0,85.0,,
1671845924.966923,Mouse,49.0,84.0,,
1671845924.986611,Mouse,51.0,83.0,,
1671845924.996615,Mouse,53.0,82.0,,
1671845925.007793,Mouse,54.0,82.0,,
1671845925.027647,Mouse,56.0,81.0,,
1671845925.05764,Mouse,58.0,81.0,,
1671845925.076692,Mouse,60.0,81.0,,
1671845925.097657,Mouse,63.0,80.0,,
1671845925.107716,Mouse,66.0,80.0,,
1671845925.126615,Mouse,67.0,80.0,,
1671845925.137639,Mouse,69.0,80.0,,
1671845925.147905,Mouse,70.0,80.0,,
1671845925.166732,Mouse,73.0,80.0,,
1671845925.177663,Mouse,75.0,80.0,,
1671845925.197666,Mouse,78.0,80.0,,
1671845925.21666,Mouse,81.0,78.0,,
1671845925.227622,Mouse,82.0,78.0,,
1671845925.246712,Mouse,83.0,78.0,,
1671845925.26771,Mouse,83.0,78.0,,
1671845925.277883,Mouse,85.0,78.0,,
1671845925.29671,Mouse,88.0,78.0,,
1671845925.3077,Mouse,89.0,78.0,,
1671845925.327649,Mouse,90.0,78.0,,
1671845925.337702,Mouse,91.0,78.0,,
1671845925.348672,Mouse,94.0,78.0,,
1671845925.368947,Mouse,97.0,78.0,,
1671845925.387671,Mouse,102.0,78.0,,
1671845925.398623,Mouse,105.0,78.0,,
1671845925.408626,Mouse,106.0,78.0,,
1671845925.427653,Mouse,111.0,78.0,,
1671845925.43861,Mouse,113.0,78.0,,
1671845925.457673,Mouse,118.0,77.0,,
1671845925.478927,Mouse,123.0,77.0,,
1671845925.498946,Mouse,127.0,76.0,,
1671845925.519634,Mouse,131.0,76.0,,
1671845925.539778,Mouse,132.0,76.0,,
1671845925.559627,Mouse,133.0,75.0,,
1671845925.569829,Mouse,134.0,75.0,,
1671845925.588613,Mouse,137.0,75.0,,
1671845925.609673,Mouse,140.0,75.0,,
1671845925.628638,Mouse,144.0,75.0,,
1671845925.638776,Mouse,146.0,75.0,,
1671845925.649623,Mouse,148.0,75.0,,
1671845925.659653,Mouse,152.0,75.0,,
1671845925.678616,Mouse,159.0,75.0,,
1671845925.68964,Mouse,163.0,75.0,,
1671845925.699664,Mouse,167.0,75.0,,
1671845925.718633,Mouse,174.0,75.0,,
1671845925.739684,Mouse,177.0,75.0,,
1671845925.749689,Mouse,178.0,75.0,,
1671845925.768754,Mouse,180.0,75.0,,
1671845925.779609,Mouse,180.0,75.0,,
1671845925.789618,Mouse,181.0,75.0,,
1671845925.808797,Mouse,183.0,75.0,,
1671845925.819665,Mouse,184.0,75.0,,
1671845925.839619,Mouse,188.0,74.0,,
1671845925.860634,Mouse,194.0,74.0,,
1671845925.880608,Mouse,199.0,74.0,,
1671845925.900913,Mouse,208.0,74.0,,
1671845925.920655,Mouse,219.0,74.0,,
1671845925.939764,Mouse,227.0,74.0,,
1671845925.950663,Mouse,232.0,74.0,,
1671845925.969903,Mouse,244.0,74.0,,
1671845925.990633,Mouse,255.0,74.0,,
1671845926.000908,Mouse,261.0,74.0,,
1671845926.020672,Mouse,273.0,74.0,,
1671845926.031932,Mouse,278.0,74.0,,
1671845926.051722,Mouse,284.0,74.0,,
1671845926.071616,Mouse,289.0,74.0,,
1671845926.081653,Mouse,292.0,74.0,,
1671845926.100726,Mouse,296.0,74.0,,
1671845926.121612,Mouse,300.0,74.0,,
1671845926.13163,Mouse,303.0,74.0,,
1671845926.150653,Mouse,304.0,74.0,,
1671845926.161659,Mouse,305.0,74.0,,
1671845926.171913,Mouse,306.0,74.0,,
1671845926.190786,Mouse,308.0,74.0,,
1671845926.201917,Mouse,311.0,74.0,,
1671845926.221646,Mouse,316.0,74.0,,
1671845926.241581,Mouse,321.0,74.0,,
1671845926.251608,Mouse,325.0,75.0,,
1671845926.270732,Mouse,331.0,77.0,,
