Recording timestamp,Position X,Position Y
1671846258.545786,1862.0,50.0
1671846258.555693,1862.0,49.0
1671846258.566781,1863.0,47.0
1671846258.576193,1865.0,44.0
1671846258.694712,1865.0,44.0
1671846259.941233,1865.0,44.0
1671846259.951231,1863.0,46.0
1671846262.070286,1862.0,47.0
1671846262.100812,1861.0,47.0
1671846262.181729,1861.0,48.0
1671846262.231539,1860.0,49.0
1671846262.282105,1859.0,50.0
1671846262.290298,1858.0,50.0
1671846262.300431,1857.0,50.0
1671846262.31162,1855.0,50.0
1671846262.340868,1854.0,50.0
1671846262.36206,1853.0,51.0
1671846262.451316,1852.0,51.0
1671846262.491404,1851.0,51.0
1671846262.501094,1850.0,51.0
1671846262.522587,1849.0,51.0
1671846262.532582,1847.0,51.0
1671846262.542497,1845.0,51.0
1671846262.551504,1844.0,51.0
1671846262.562513,1843.0,51.0
1671846262.582326,1842.0,51.0
1671846262.591326,1841.0,51.0
1671846262.602596,1839.0,51.0
1671846262.622619,1837.0,51.0
1671846262.631651,1836.0,51.0
1671846262.663091,1834.0,51.0
1671846262.693876,1833.0,51.0
1671846262.713621,1832.0,51.0
1671846262.733535,1830.0,51.0
1671846262.743529,1829.0,51.0
1671846262.753539,1827.0,51.0
1671846262.762158,1826.0,51.0
1671846262.773097,1825.0,51.0
1671846262.783104,1824.0,51.0
1671846262.793498,1822.0,51.0
1671846262.812214,1819.0,51.0
1671846262.823657,1816.0,51.0
1671846262.83373,1815.0,51.0
1671846262.842895,1813.0,51.0
1671846262.852692,1812.0,51.0
1671846262.864012,1810.0,51.0
1671846262.873091,1808.0,50.0
1671846262.883624,1805.0,50.0
1671846262.892896,1804.0,50.0
1671846262.903471,1803.0,50.0
1671846262.923493,1799.0,50.0
1671846262.932542,1797.0,50.0
1671846262.943552,1796.0,50.0
1671846262.953699,1795.0,50.0
1671846262.963693,1793.0,50.0
1671846262.97268,1791.0,50.0
1671846262.982724,1788.0,50.0
1671846262.993898,1787.0,50.0
1671846263.003952,1786.0,50.0
1671846263.013029,1784.0,50.0
1671846263.024007,1782.0,50.0
1671846263.034342,1780.0,50.0
1671846263.044301,1775.0,50.0
1671846263.054134,1772.0,50.0
1671846263.063514,1768.0,50.0
1671846263.074502,1765.0,50.0
1671846263.084526,1760.0,50.0
1671846263.094607,1758.0,50.0
1671846263.103598,1755.0,49.0
1671846263.124864,1754.0,49.0
1671846263.134767,1752.0,49.0
1671846263.14398,1751.0,49.0
1671846263.154897,1750.0,48.0
1671846263.165017,1747.0,48.0
1671846263.174661,1746.0,48.0
1671846263.184666,1744.0,48.0
1671846263.194335,1741.0,47.0
1671846263.205302,1738.0,47.0
1671846263.215275,1733.0,45.0
1671846263.225237,1727.0,44.0
1671846263.234273,1719.0,43.0
1671846263.245356,1713.0,42.0
1671846263.255632,1705.0,40.0
1671846263.265758,1700.0,39.0
1671846263.274768,1694.0,39.0
1671846263.286025,1689.0,38.0
1671846263.29528,1686.0,38.0
1671846263.305311,1684.0,38.0
1671846263.314304,1683.0,38.0
1671846263.325791,1680.0,36.0
1671846263.335599,1678.0,36.0
1671846263.345599,1677.0,36.0
1671846263.354881,1676.0,36.0
1671846263.364836,1675.0,36.0
1671846263.375898,1674.0,35.0
1671846263.385838,1671.0,35.0
1671846263.395909,1669.0,35.0
1671846263.404749,1663.0,34.0
1671846263.415858,1659.0,34.0
1671846263.425927,1652.0,33.0
1671846263.435001,1646.0,32.0
1671846263.444029,1640.0,32.0
1671846263.4554,1635.0,31.0
1671846263.465998,1629.0,31.0
1671846263.47526,1626.0,31.0
1671846263.484501,1620.0,31.0
1671846263.495258,1619.0,31.0
1671846263.505772,1615.0,31.0
1671846263.686152,1614.0,31.0
1671846263.696188,1613.0,31.0
1671846263.707202,1612.0,31.0
1671846263.717208,1608.0,32.0
1671846263.727215,1606.0,33.0
1671846263.737283,1603.0,35.0
1671846263.746388,1600.0,38.0
1671846263.757384,1598.0,39.0
1671846263.767669,1595.0,40.0
1671846263.777747,1594.0,41.0
1671846263.786806,1592.0,43.0
1671846263.797959,1589.0,44.0
1671846263.807082,1588.0,46.0
1671846263.818044,1585.0,48.0
1671846263.837283,1582.0,49.0
1671846263.877173,1581.0,50.0
1671846263.967383,1580.0,50.0
1671846263.977385,1579.0,52.0
1671846263.987858,1574.0,57.0
1671846263.996598,1569.0,62.0
1671846264.007885,1566.0,65.0
1671846264.017615,1561.0,70.0
1671846264.02779,1558.0,73.0
1671846264.037408,1555.0,76.0
1671846264.048375,1554.0,77.0
1671846264.167412,1553.0,78.0
1671846264.289554,1552.0,78.0
1671846264.319391,1551.0,78.0
1671846264.329424,1550.0,78.0
1671846264.359622,1549.0,78.0
1671846264.378599,1548.0,78.0
1671846264.38848,1547.0,78.0
1671846264.399481,1546.0,78.0
1671846264.409833,1544.0,78.0
1671846264.418812,1542.0,78.0
1671846264.428234,1538.0,78.0
1671846264.438242,1536.0,78.0
1671846264.449244,1533.0,78.0
1671846264.459276,1531.0,78.0
1671846264.468435,1529.0,78.0
1671846264.478668,1527.0,78.0
1671846264.489408,1526.0,78.0
1671846264.50895,1523.0,78.0
1671846264.539668,1522.0,78.0
1671846264.590131,1521.0,78.0
1671846264.611387,1520.0,78.0
1671846264.621517,1518.0,78.0
1671846264.631087,1517.0,78.0
1671846264.640197,1514.0,78.0
1671846264.64982,1513.0,78.0
1671846264.660304,1508.0,78.0
1671846264.670516,1506.0,78.0
1671846264.679689,1503.0,78.0
1671846264.689509,1499.0,78.0
1671846264.700316,1495.0,78.0
1671846264.710324,1493.0,78.0
1671846264.720321,1490.0,78.0
1671846264.73021,1488.0,78.0
1671846264.741206,1487.0,78.0
1671846264.751178,1486.0,78.0
1671846264.781906,1485.0,78.0
1671846264.881413,1484.0,78.0
1671846264.890545,1483.0,77.0
1671846264.900579,1480.0,77.0
1671846264.911591,1478.0,77.0
1671846264.921573,1475.0,77.0
1671846264.931583,1471.0,77.0
1671846264.940598,1468.0,77.0
1671846264.951532,1465.0,76.0
1671846264.960917,1464.0,76.0
1671846264.98033,1462.0,76.0
1671846264.990415,1460.0,76.0
1671846265.00142,1459.0,76.0
1671846265.011396,1458.0,76.0
1671846265.020393,1457.0,75.0
1671846265.030423,1456.0,75.0
1671846265.041438,1455.0,75.0
1671846265.051644,1453.0,75.0
1671846265.06166,1451.0,74.0
1671846265.071961,1450.0,73.0
1671846265.082872,1448.0,73.0
1671846265.092882,1447.0,73.0
1671846265.102963,1445.0,73.0
1671846265.111633,1444.0,73.0
1671846265.122777,1441.0,72.0
1671846265.132848,1440.0,72.0
1671846265.142637,1438.0,72.0
1671846265.151637,1435.0,71.0
1671846265.161637,1434.0,71.0
1671846265.17295,1433.0,71.0
1671846265.182069,1432.0,71.0
1671846265.191079,1431.0,71.0
1671846265.222994,1430.0,71.0
1671846265.242169,1428.0,71.0
1671846265.263294,1427.0,71.0
1671846265.293902,1426.0,70.0
1671846265.304041,1425.0,70.0
1671846265.322208,1424.0,70.0
1671846265.332252,1423.0,70.0
1671846265.345066,1421.0,70.0
1671846265.354129,1419.0,70.0
1671846265.362114,1418.0,70.0
1671846265.372217,1416.0,70.0
1671846265.383262,1413.0,69.0
1671846265.394229,1409.0,69.0
1671846265.402184,1403.0,68.0
1671846265.412414,1397.0,67.0
1671846265.423381,1390.0,67.0
1671846265.433879,1387.0,66.0
