Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671847575.717966,,Eye Tracker,1955.0,975.0,Valid,Valid,Fixation
1671847575.734621,,Eye Tracker,1952.0,975.0,Valid,Valid,Fixation
1671847575.751275,,Eye Tracker,1946.0,977.0,Valid,Valid,Fixation
1671847575.76793,,Eye Tracker,1944.0,977.0,Valid,Valid,Fixation
1671847575.784585,,Eye Tracker,1942.0,977.0,Valid,Valid,Fixation
1671847575.801239,,Eye Tracker,1940.0,980.0,Valid,Valid,Fixation
1671847575.817895,,Eye Tracker,1935.0,983.0,Valid,Valid,Fixation
1671847575.83455,,Eye Tracker,1930.0,983.0,Valid,Valid,Fixation
1671847575.851204,,Eye Tracker,1926.0,980.0,Valid,Valid,Fixation
1671847575.867859,,Eye Tracker,1928.0,980.0,Valid,Valid,Fixation
1671847575.884514,,Eye Tracker,1924.0,981.0,Valid,Valid,Fixation
1671847575.901168,,Eye Tracker,1917.0,988.0,Valid,Valid,Fixation
1671847575.917823,,Eye Tracker,1921.0,985.0,Valid,Valid,Fixation
1671847575.934478,,Eye Tracker,1919.0,985.0,Valid,Valid,Fixation
1671847575.951132,,Eye Tracker,1918.0,987.0,Valid,Valid,Fixation
1671847575.967787,,Eye Tracker,1915.0,987.0,Valid,Valid,Fixation
1671847575.984442,,Eye Tracker,1914.0,988.0,Valid,Valid,Fixation
1671847576.001098,,Eye Tracker,1912.0,986.0,Valid,Valid,Fixation
1671847576.017752,,Eye Tracker,1905.0,990.0,Valid,Valid,Fixation
1671847576.034407,,Eye Tracker,1902.0,993.0,Valid,Valid,Fixation
1671847576.051062,,Eye Tracker,1898.0,990.0,Valid,Valid,Fixation
1671847576.067716,,Eye Tracker,1897.0,994.0,Valid,Valid,Fixation
1671847576.084371,,Eye Tracker,1891.0,996.0,Valid,Valid,Fixation
1671847576.101026,,Eye Tracker,1889.0,988.0,Valid,Valid,Fixation
1671847576.11768,,Eye Tracker,1892.0,987.0,Valid,Valid,Fixation
1671847576.134335,,Eye Tracker,1890.0,991.0,Valid,Valid,Fixation
1671847576.15099,,Eye Tracker,1893.0,992.0,Valid,Valid,Fixation
1671847576.167644,,Eye Tracker,1889.0,996.0,Valid,Valid,Fixation
1671847576.1843,,Eye Tracker,1875.0,999.0,Valid,Valid,Fixation
1671847576.200955,,Eye Tracker,1873.0,995.0,Valid,Valid,Fixation
1671847576.217609,,Eye Tracker,1874.0,994.0,Valid,Valid,Fixation
1671847576.234264,,Eye Tracker,1872.0,992.0,Valid,Valid,Fixation
1671847576.250919,,Eye Tracker,1856.0,991.0,Valid,Valid,Fixation
1671847576.267574,,Eye Tracker,1853.0,991.0,Valid,Valid,Fixation
1671847576.284228,,Eye Tracker,1853.0,994.0,Valid,Valid,Fixation
1671847576.300883,,Eye Tracker,1856.0,993.0,Valid,Valid,Fixation
1671847576.317538,,Eye Tracker,1857.0,993.0,Valid,Valid,Fixation
1671847576.334193,,Eye Tracker,1853.0,995.0,Valid,Valid,Fixation
1671847576.350848,,Eye Tracker,1850.0,995.0,Valid,Valid,Fixation
1671847576.367503,,Eye Tracker,1845.0,993.0,Valid,Valid,Fixation
1671847576.384157,,Eye Tracker,1841.0,991.0,Valid,Valid,Fixation
1671847576.400812,,Eye Tracker,1842.0,996.0,Valid,Valid,Fixation
1671847576.417467,,Eye Tracker,1845.0,991.0,Valid,Valid,Fixation
1671847576.434121,,Eye Tracker,1843.0,991.0,Valid,Valid,Fixation
1671847576.450776,,Eye Tracker,1840.0,995.0,Valid,Valid,Fixation
1671847576.467431,,Eye Tracker,1839.0,996.0,Valid,Valid,Fixation
1671847576.484085,,Eye Tracker,1836.0,999.0,Valid,Valid,Fixation
1671847576.50074,,Eye Tracker,1833.0,993.0,Valid,Valid,Fixation
1671847576.517395,,Eye Tracker,1829.0,991.0,Valid,Valid,Fixation
1671847576.534051,,Eye Tracker,1822.0,992.0,Valid,Valid,Fixation
1671847576.550705,,Eye Tracker,1816.0,992.0,Valid,Valid,Fixation
1671847576.56736,,Eye Tracker,1818.0,991.0,Valid,Valid,Fixation
1671847576.584015,,Eye Tracker,1813.0,996.0,Valid,Valid,Fixation
1671847576.600669,,Eye Tracker,1810.0,1002.0,Valid,Valid,Fixation
1671847576.617324,,Eye Tracker,1803.0,998.0,Valid,Valid,Fixation
1671847576.633979,,Eye Tracker,1796.0,994.0,Valid,Valid,Fixation
1671847576.650633,,Eye Tracker,1792.0,991.0,Valid,Valid,Fixation
1671847576.667288,,Eye Tracker,1790.0,996.0,Valid,Valid,Fixation
1671847576.683943,,Eye Tracker,1786.0,1000.0,Valid,Valid,Fixation
1671847576.700597,,Eye Tracker,1784.0,996.0,Valid,Valid,Fixation
1671847576.717252,,Eye Tracker,1783.0,991.0,Valid,Valid,Fixation
1671847576.733907,,Eye Tracker,1780.0,990.0,Valid,Valid,Fixation
1671847576.750562,,Eye Tracker,1774.0,991.0,Valid,Valid,Fixation
1671847576.767217,,Eye Tracker,1772.0,993.0,Valid,Valid,Fixation
1671847576.783872,,Eye Tracker,1771.0,997.0,Valid,Valid,Fixation
1671847576.800527,,Eye Tracker,1770.0,999.0,Valid,Valid,Fixation
1671847576.817181,,Eye Tracker,1768.0,993.0,Valid,Valid,Fixation
1671847576.833837,,Eye Tracker,1767.0,989.0,Valid,Valid,Fixation
1671847576.850492,,Eye Tracker,1766.0,991.0,Valid,Valid,Fixation
1671847576.867146,,Eye Tracker,1764.0,996.0,Valid,Valid,Fixation
1671847576.883801,,Eye Tracker,1751.0,994.0,Valid,Valid,Fixation
1671847576.900456,,Eye Tracker,1746.0,985.0,Valid,Valid,Fixation
1671847576.91711,,Eye Tracker,1747.0,984.0,Valid,Valid,Fixation
1671847576.933765,,Eye Tracker,1745.0,982.0,Valid,Valid,Fixation
1671847576.95042,,Eye Tracker,1744.0,979.0,Valid,Valid,Fixation
1671847576.967074,,Eye Tracker,1741.0,981.0,Valid,Valid,Fixation
1671847576.983729,,Eye Tracker,1743.0,979.0,Valid,Valid,Fixation
1671847577.000384,,Eye Tracker,1747.0,978.0,Valid,Valid,Fixation
1671847577.017038,,Eye Tracker,1748.0,977.0,Valid,Valid,Fixation
1671847577.033693,,Eye Tracker,1750.0,977.0,Valid,Valid,Fixation
1671847577.050348,,Eye Tracker,1751.0,979.0,Valid,Valid,Fixation
1671847577.067003,,Eye Tracker,1754.0,977.0,Valid,Valid,Fixation
1671847577.083658,,Eye Tracker,1754.0,981.0,Valid,Valid,Fixation
1671847577.100313,,Eye Tracker,1755.0,983.0,Valid,Valid,Fixation
1671847577.116968,,Eye Tracker,1754.0,982.0,Valid,Valid,Fixation
1671847577.133622,,Eye Tracker,1754.0,986.0,Valid,Valid,Fixation
1671847577.150277,,Eye Tracker,1756.0,986.0,Valid,Valid,Fixation
1671847577.166932,,Eye Tracker,1754.0,988.0,Valid,Valid,Fixation
1671847577.183586,,Eye Tracker,1755.0,985.0,Valid,Valid,Fixation
1671847577.200241,,Eye Tracker,1755.0,981.0,Valid,Valid,Fixation
1671847577.216896,,Eye Tracker,1757.0,977.0,Valid,Valid,Fixation
1671847577.23355,,Eye Tracker,1757.0,977.0,Valid,Valid,Fixation
1671847577.250205,,Eye Tracker,1758.0,982.0,Valid,Valid,Fixation
1671847577.26686,,Eye Tracker,1758.0,985.0,Valid,Valid,Fixation
1671847577.283514,,Eye Tracker,1755.0,983.0,Valid,Valid,Fixation
1671847577.30017,,Eye Tracker,1758.0,980.0,Valid,Valid,Fixation
1671847577.316825,,Eye Tracker,1757.0,982.0,Valid,Valid,Fixation
1671847577.33348,,Eye Tracker,1759.0,983.0,Valid,Valid,Fixation
1671847577.350135,,Eye Tracker,1763.0,980.0,Valid,Valid,Fixation
1671847577.36679,,Eye Tracker,1762.0,976.0,Valid,Valid,Fixation
1671847577.383445,,Eye Tracker,1765.0,975.0,Valid,Valid,Fixation
1671847577.400099,,Eye Tracker,1765.0,980.0,Valid,Valid,Fixation
1671847577.416754,,Eye Tracker,1778.0,981.0,Valid,Valid,Fixation
1671847577.433409,,Eye Tracker,1780.0,979.0,Valid,Valid,Fixation
1671847577.450063,,Eye Tracker,1772.0,980.0,Valid,Valid,Fixation
1671847577.466718,,Eye Tracker,1773.0,979.0,Valid,Valid,Fixation
1671847577.483373,,Eye Tracker,1775.0,978.0,Valid,Valid,Fixation
1671847577.500027,,Eye Tracker,1774.0,977.0,Valid,Valid,Fixation
1671847577.516682,,Eye Tracker,1776.0,969.0,Valid,Valid,Fixation
1671847577.533337,,Eye Tracker,1776.0,965.0,Valid,Valid,Fixation
1671847577.549991,,Eye Tracker,1776.0,958.0,Valid,Valid,Fixation
1671847577.566646,,Eye Tracker,1777.0,954.0,Valid,Valid,Fixation
1671847577.583301,,Eye Tracker,1780.0,954.0,Valid,Valid,Fixation
1671847577.599957,,Eye Tracker,1777.0,953.0,Valid,Valid,Fixation
1671847577.616611,,Eye Tracker,1774.0,950.0,Valid,Valid,Fixation
1671847577.633266,,Eye Tracker,1778.0,947.0,Valid,Valid,Fixation
1671847577.649921,,Eye Tracker,1782.0,943.0,Valid,Valid,Fixation
1671847577.666575,,Eye Tracker,1779.0,945.0,Valid,Valid,Fixation
1671847577.68323,,Eye Tracker,1776.0,962.0,Valid,Valid,Fixation
1671847577.699885,,Eye Tracker,1775.0,970.0,Valid,Valid,Fixation
1671847577.716539,,Eye Tracker,1775.0,970.0,Valid,Valid,Fixation
1671847577.733194,,Eye Tracker,1777.0,971.0,Valid,Valid,Fixation
1671847577.749849,,Eye Tracker,1779.0,971.0,Valid,Valid,Fixation
1671847577.766503,,Eye Tracker,1778.0,975.0,Valid,Valid,Fixation
1671847577.783158,,Eye Tracker,1777.0,977.0,Valid,Valid,Fixation
1671847577.799813,,Eye Tracker,1778.0,979.0,Valid,Valid,Fixation
1671847577.816467,,Eye Tracker,1775.0,983.0,Valid,Valid,Fixation
1671847577.833123,,Eye Tracker,1773.0,987.0,Valid,Valid,Fixation
