Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671847718.743977,MouseEvent,,534.0,530.0,,,Fixation,,,MouseEvent,"Down, Left"
1671847718.743977,,Mouse,534.0,530.0,,,Fixation,571.0,556.0,,
1671847718.750617,,Eye Tracker,534.0,530.0,Valid,Valid,Fixation,,,,
1671847718.767272,,Eye Tracker,534.0,531.0,Valid,Valid,Fixation,,,,
1671847718.783926,,Eye Tracker,534.0,532.0,Valid,Valid,Fixation,,,,
1671847718.80058,,Eye Tracker,535.0,535.0,Valid,Valid,Fixation,,,,
1671847718.817235,,Eye Tracker,538.0,537.0,Valid,Valid,Fixation,,,,
1671847718.8338902,,Eye Tracker,541.0,536.0,Valid,Valid,Fixation,,,,
1671847718.850544,,Eye Tracker,543.0,542.0,Valid,Valid,Fixation,,,,
1671847718.8671992,,Eye Tracker,543.0,546.0,Valid,Valid,Fixation,,,,
1671847718.8838542,,Eye Tracker,544.0,544.0,Valid,Valid,Fixation,,,,
1671847718.9005082,,Eye Tracker,546.0,547.0,Valid,Valid,Fixation,,,,
1671847718.917164,,Eye Tracker,548.0,551.0,Valid,Valid,Fixation,,,,
1671847718.933819,,Eye Tracker,549.0,550.0,Valid,Valid,Fixation,,,,
1671847718.950473,,Eye Tracker,547.0,548.0,Valid,Valid,Fixation,,,,
1671847718.967128,,Eye Tracker,546.0,549.0,Valid,Valid,Fixation,,,,
1671847718.983782,,Eye Tracker,548.0,553.0,Valid,Valid,Fixation,,,,
1671847719.000436,,Eye Tracker,552.0,554.0,Valid,Valid,Fixation,,,,
1671847719.017091,,Eye Tracker,550.0,553.0,Valid,Valid,Fixation,,,,
1671847719.033746,,Eye Tracker,551.0,558.0,Valid,Valid,Fixation,,,,
1671847719.044841,,Mouse,551.0,559.5,,,Fixation,571.0,556.0,,
1671847719.050401,,Eye Tracker,551.0,561.0,Valid,Valid,Fixation,,,,
1671847719.067055,,Eye Tracker,551.0,558.0,Valid,Valid,Fixation,,,,
1671847719.0837102,,Eye Tracker,552.0,556.0,Valid,Valid,Fixation,,,,
1671847719.1003652,,Eye Tracker,556.0,556.0,Valid,Valid,Fixation,,,,
1671847719.1170192,,Eye Tracker,557.0,556.0,Valid,Valid,Fixation,,,,
1671847719.1336741,,Eye Tracker,557.0,559.0,Valid,Valid,Fixation,,,,
1671847719.15033,,Eye Tracker,556.0,561.0,Valid,Valid,Fixation,,,,
1671847719.1669831,,Eye Tracker,556.0,559.0,Valid,Valid,Fixation,,,,
1671847719.183638,,Eye Tracker,555.0,562.0,Valid,Valid,Fixation,,,,
1671847719.200293,,Eye Tracker,555.0,563.0,Valid,Valid,Fixation,,,,
1671847719.216947,,Eye Tracker,562.0,564.0,Valid,Valid,Fixation,,,,
1671847719.233602,,Eye Tracker,558.0,564.0,Valid,Valid,Fixation,,,,
1671847719.250257,,Eye Tracker,555.0,563.0,Valid,Valid,Fixation,,,,
1671847719.266911,,Eye Tracker,558.0,567.0,Valid,Valid,Fixation,,,,
1671847719.283566,,Eye Tracker,564.0,566.0,Valid,Valid,Fixation,,,,
1671847719.3002212,,Eye Tracker,566.0,567.0,Valid,Valid,Fixation,,,,
1671847719.316875,,Eye Tracker,565.0,568.0,Valid,Valid,Fixation,,,,
1671847719.326848,,Mouse,565.0,567.5,,,Fixation,570.0,557.0,,
1671847719.3335302,,Eye Tracker,565.0,567.0,Valid,Valid,Fixation,,,,
1671847719.3501852,,Eye Tracker,565.0,568.0,Valid,Valid,Fixation,,,,
1671847719.3668401,,Eye Tracker,566.0,570.0,Valid,Valid,Fixation,,,,
1671847719.3668602,,Mouse,566.0,572.0,,,Fixation,570.0,557.0,,
1671847719.383495,,Eye Tracker,566.0,574.0,Valid,Valid,Fixation,,,,
1671847719.3859022,,Mouse,565.5,574.0,,,Fixation,570.0,558.0,,
1671847719.40015,,Eye Tracker,565.0,574.0,Valid,Valid,Fixation,,,,
1671847719.416805,,Eye Tracker,565.0,572.0,Valid,Valid,Fixation,,,,
1671847719.4170232,,Mouse,566.0,572.0,,,Fixation,569.0,558.0,,
1671847719.433459,,Eye Tracker,567.0,572.0,Valid,Valid,Fixation,,,,
1671847719.435851,,Mouse,567.5,571.0,,,Fixation,568.0,560.0,,
1671847719.450114,,Eye Tracker,568.0,570.0,Valid,Valid,Fixation,,,,
1671847719.466769,,Eye Tracker,567.0,572.0,Valid,Valid,Fixation,,,,
1671847719.475887,,Mouse,565.5,573.0,,,Fixation,567.0,561.0,,
1671847719.483423,,Eye Tracker,564.0,574.0,Valid,Valid,Fixation,,,,
1671847719.5000782,,Eye Tracker,563.0,574.0,Valid,Valid,Fixation,,,,
1671847719.5167332,,Eye Tracker,565.0,576.0,Valid,Valid,Fixation,,,,
1671847719.5333872,,Eye Tracker,565.0,576.0,Valid,Valid,Fixation,,,,
1671847719.5500422,,Eye Tracker,563.0,578.0,Valid,Valid,Fixation,,,,
1671847719.5666971,,Eye Tracker,563.0,580.0,Valid,Valid,Fixation,,,,
1671847719.583352,,Eye Tracker,563.0,582.0,Valid,Valid,Fixation,,,,
1671847719.600006,,Eye Tracker,565.0,579.0,Valid,Valid,Fixation,,,,
1671847719.616662,,Eye Tracker,565.0,574.0,Valid,Valid,Fixation,,,,
1671847719.633317,,Eye Tracker,564.0,580.0,Valid,Valid,Fixation,,,,
1671847719.649971,,Eye Tracker,567.0,586.0,Valid,Valid,Fixation,,,,
1671847719.6578941,,Mouse,566.5,585.5,,,Fixation,567.0,562.0,,
1671847719.666626,,Eye Tracker,566.0,585.0,Valid,Valid,Fixation,,,,
1671847719.6679082,,Mouse,566.0,584.3333333333334,,,Fixation,566.0,563.0,,
1671847719.677948,,Mouse,566.0,583.6666666666666,,,Fixation,566.0,563.0,,
1671847719.6832812,,Eye Tracker,566.0,583.0,Valid,Valid,Fixation,,,,
1671847719.688015,,Mouse,565.0,582.3333333333334,,,Fixation,565.0,564.0,,
1671847719.6980932,,Mouse,564.0,581.6666666666666,,,Fixation,565.0,565.0,,
1671847719.6999352,,Eye Tracker,563.0,581.0,Valid,Valid,Fixation,,,,
1671847719.7165902,,Eye Tracker,563.0,580.0,Valid,Valid,Fixation,,,,
1671847719.7332451,,Eye Tracker,564.0,581.0,Valid,Valid,Fixation,,,,
1671847719.7498991,,Eye Tracker,561.0,582.0,Valid,Valid,Fixation,,,,
1671847719.7590652,,Mouse,560.0,581.0,,,Fixation,564.0,565.0,,
1671847719.766554,,Eye Tracker,559.0,580.0,Valid,Valid,Fixation,,,,
1671847719.783209,,Eye Tracker,562.0,579.0,Valid,Valid,Fixation,,,,
