Recording timestamp,Position X,Position Y
1671844062.898294,18.0,75.0
1671844062.909307,19.0,75.0
1671844062.918887,21.0,75.0
1671844062.928777,22.0,75.0
1671844062.939079,24.0,75.0
1671844062.949153,25.0,75.0
1671844062.958956,27.0,75.0
1671844062.969173,30.0,76.0
1671844062.979515,35.0,78.0
1671844062.988522,37.0,78.0
1671844062.998532,41.0,78.0
1671844063.008624,44.0,79.0
1671844063.019819,47.0,79.0
1671844063.027767,50.0,81.0
1671844063.038449,53.0,81.0
1671844063.048505,58.0,82.0
1671844063.058531,62.0,82.0
1671844063.068541,66.0,82.0
1671844063.079527,67.0,83.0
1671844063.099516,68.0,83.0
1671844063.110178,70.0,83.0
1671844063.119962,71.0,83.0
1671844063.129931,73.0,84.0
1671844063.139994,75.0,84.0
1671844063.149631,77.0,84.0
1671844063.159632,79.0,85.0
1671844063.169678,81.0,85.0
1671844063.179662,84.0,85.0
1671844063.189627,87.0,85.0
1671844063.198637,94.0,86.0
1671844063.210276,97.0,88.0
1671844063.219356,103.0,88.0
1671844063.229356,109.0,89.0
1671844063.2394,114.0,89.0
1671844063.249467,120.0,90.0
1671844063.259866,126.0,91.0
1671844063.270045,132.0,93.0
1671844063.280753,139.0,93.0
1671844063.290288,146.0,93.0
1671844063.300267,154.0,93.0
1671844063.30959,159.0,93.0
1671844063.320395,167.0,93.0
1671844063.328392,174.0,93.0
1671844063.339434,178.0,93.0
1671844063.349472,184.0,93.0
1671844063.359442,188.0,93.0
1671844063.368574,193.0,93.0
1671844063.38029,199.0,93.0
1671844063.390309,205.0,93.0
1671844063.400307,213.0,93.0
1671844063.411067,220.0,93.0
1671844063.420074,227.0,93.0
1671844063.431083,233.0,93.0
1671844063.440795,237.0,93.0
1671844063.450627,244.0,93.0
1671844063.45929,248.0,93.0
1671844063.47116,254.0,92.0
1671844063.48126,260.0,91.0
1671844063.491262,266.0,91.0
1671844063.500207,271.0,90.0
1671844063.510964,274.0,90.0
1671844063.522013,279.0,90.0
1671844063.530876,284.0,89.0
1671844063.539977,291.0,89.0
1671844063.550933,298.0,88.0
1671844063.561028,307.0,87.0
1671844063.571098,316.0,86.0
1671844063.58107,325.0,84.0
1671844063.59107,333.0,83.0
1671844063.602079,339.0,83.0
1671844063.612263,348.0,83.0
1671844063.622218,355.0,83.0
1671844063.631289,365.0,83.0
1671844063.642318,372.0,83.0
1671844063.652318,380.0,83.0
1671844063.66235,385.0,83.0
1671844063.670421,391.0,83.0
1671844063.68139,394.0,83.0
1671844063.691429,397.0,83.0
1671844063.7024,401.0,83.0
1671844063.710638,406.0,83.0
1671844063.720644,410.0,83.0
1671844063.731644,413.0,83.0
1671844063.741665,417.0,83.0
1671844063.750667,422.0,83.0
1671844063.760804,428.0,83.0
1671844063.772125,435.0,83.0
1671844063.782126,444.0,83.0
1671844063.792172,451.0,84.0
1671844063.801211,457.0,85.0
1671844063.812209,459.0,85.0
1671844063.832189,461.0,86.0
1671844063.840821,462.0,86.0
1671844063.850817,463.0,86.0
1671844063.890514,464.0,86.0
1671844063.963273,465.0,87.0
1671844063.972309,467.0,87.0
1671844063.982598,468.0,88.0
1671844063.992495,473.0,91.0
1671844064.002465,480.0,95.0
1671844064.011457,491.0,100.0
1671844064.022529,501.0,102.0
1671844064.033383,513.0,107.0
1671844064.042376,524.0,111.0
1671844064.05231,532.0,116.0
1671844064.061389,539.0,118.0
1671844064.072353,543.0,121.0
1671844064.082385,545.0,122.0
1671844064.133518,546.0,122.0
1671844064.142561,546.0,124.0
1671844064.153765,546.0,125.0
1671844064.163856,547.0,128.0
1671844064.173856,547.0,131.0
1671844064.182713,549.0,134.0
1671844064.193661,549.0,136.0
1671844064.204673,550.0,137.0
1671844064.214636,550.0,140.0
1671844064.222936,550.0,141.0
1671844064.23298,550.0,142.0
1671844064.243957,552.0,147.0
1671844064.253563,552.0,149.0
1671844064.262589,552.0,154.0
1671844064.27258,552.0,159.0
1671844064.283562,552.0,164.0
1671844064.293386,552.0,169.0
1671844064.303391,552.0,176.0
1671844064.312873,552.0,181.0
1671844064.324351,552.0,186.0
1671844064.33446,552.0,192.0
1671844064.343488,552.0,198.0
1671844064.352495,552.0,205.0
1671844064.365851,552.0,212.0
1671844064.373855,552.0,220.0
1671844064.383681,552.0,229.0
1671844064.394417,552.0,239.0
1671844064.403413,552.0,246.0
1671844064.413441,552.0,254.0
1671844064.424827,552.0,263.0
1671844064.43343,552.0,271.0
1671844064.44345,552.0,280.0
1671844064.454491,552.0,290.0
1671844064.464636,552.0,302.0
1671844064.474558,552.0,316.0
1671844064.483869,552.0,331.0
1671844064.494585,552.0,344.0
1671844064.504463,552.0,362.0
1671844064.514483,552.0,373.0
1671844064.523494,552.0,384.0
1671844064.53458,552.0,389.0
1671844064.544647,552.0,397.0
1671844064.554583,552.0,404.0
1671844064.564275,552.0,412.0
1671844064.573267,552.0,417.0
1671844064.585219,552.0,423.0
1671844064.596279,552.0,428.0
1671844064.604287,552.0,432.0
1671844064.614453,552.0,437.0
1671844064.627642,552.0,439.0
1671844064.63525,551.0,444.0
1671844064.646253,549.0,447.0
1671844064.655251,549.0,450.0
1671844064.665812,548.0,452.0
1671844064.695219,546.0,456.0
1671844064.715741,546.0,457.0
1671844064.725786,544.0,457.0
1671844064.735053,542.0,457.0
1671844064.745051,540.0,457.0
1671844064.755808,537.0,457.0
1671844064.769354,535.0,457.0
1671844064.775301,532.0,457.0
1671844064.7843,529.0,457.0
1671844064.796415,524.0,457.0
1671844064.805419,519.0,457.0
1671844064.81543,511.0,457.0
1671844064.824502,504.0,457.0
1671844064.835503,500.0,457.0
1671844064.84559,495.0,457.0
1671844064.855615,489.0,457.0
1671844064.865203,484.0,457.0
1671844064.876228,477.0,457.0
1671844064.886331,467.0,457.0
1671844064.89566,458.0,457.0
1671844064.904654,446.0,457.0
1671844064.914503,436.0,457.0
1671844064.926384,425.0,457.0
1671844064.935383,414.0,457.0
1671844064.945422,401.0,457.0
1671844064.955923,385.0,457.0
1671844064.966637,368.0,457.0
1671844064.976572,348.0,457.0
1671844064.986571,326.0,457.0
1671844064.99597,302.0,457.0
1671844065.007121,287.0,457.0
1671844065.017153,270.0,457.0
1671844065.027279,250.0,457.0
1671844065.035278,235.0,457.0
1671844065.046319,223.0,457.0
1671844065.057367,210.0,457.0
1671844065.067324,200.0,457.0
1671844065.076383,193.0,457.0
1671844065.085502,187.0,457.0
1671844065.096371,185.0,457.0
1671844065.106371,182.0,457.0
1671844065.117226,178.0,459.0
1671844065.127323,172.0,460.0
1671844065.137332,163.0,461.0
1671844065.148334,151.0,463.0
1671844065.158332,137.0,464.0
1671844065.167302,116.0,467.0
1671844065.178315,103.0,470.0
1671844065.188319,93.0,471.0
1671844065.197319,88.0,471.0
1671844065.296748,87.0,473.0
1671844065.307684,86.0,473.0
1671844065.317684,85.0,475.0
1671844065.327683,85.0,476.0
1671844065.337764,84.0,479.0
1671844065.347645,84.0,481.0
