Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671844124.663973,,,,MouseEvent,"Down, Left"
1671844124.663973,Mouse,32.0,998.0,,
1671844124.824834,Mouse,33.0,998.0,,
1671844124.844602,Mouse,36.0,998.0,,
1671844124.855938,Mouse,39.0,998.0,,
1671844124.874627,Mouse,42.0,998.0,,
1671844124.895636,Mouse,44.0,998.0,,
1671844124.914706,Mouse,46.0,998.0,,
1671844124.92473,Mouse,47.0,998.0,,
1671844124.945592,Mouse,54.0,999.0,,
1671844124.964621,Mouse,60.0,1000.0,,
1671844124.974624,Mouse,64.0,1002.0,,
1671844124.985695,Mouse,68.0,1003.0,,
1671844125.005591,Mouse,79.0,1006.0,,
1671844125.015755,Mouse,85.0,1008.0,,
1671844125.026611,Mouse,92.0,1011.0,,
1671844125.036643,Mouse,101.0,1014.0,,
1671844125.055588,Mouse,115.0,1016.0,,
1671844125.06658,Mouse,123.0,1018.0,,
1671844125.076641,Mouse,129.0,1018.0,,
1671844125.095629,Mouse,142.0,1020.0,,
1671844125.116657,Mouse,156.0,1020.0,,
1671844125.135637,Mouse,164.0,1022.0,,
1671844125.156681,Mouse,176.0,1022.0,,
1671844125.175582,Mouse,195.0,1022.0,,
1671844125.185701,Mouse,210.0,1022.0,,
1671844125.196577,Mouse,225.0,1022.0,,
1671844125.206593,Mouse,240.0,1022.0,,
1671844125.225576,Mouse,269.0,1022.0,,
1671844125.236582,Mouse,284.0,1022.0,,
1671844125.255579,Mouse,313.0,1022.0,,
1671844125.275601,Mouse,336.0,1022.0,,
1671844125.286903,Mouse,341.0,1022.0,,
1671844125.305787,Mouse,347.0,1022.0,,
1671844125.326616,Mouse,351.0,1022.0,,
1671844125.336628,Mouse,353.0,1022.0,,
1671844125.356582,Mouse,358.0,1022.0,,
1671844125.367591,Mouse,361.0,1022.0,,
1671844125.386578,Mouse,367.0,1022.0,,
1671844125.407584,Mouse,373.0,1022.0,,
1671844125.42657,Mouse,383.0,1021.0,,
1671844125.446612,Mouse,391.0,1020.0,,
1671844125.457638,Mouse,393.0,1019.0,,
1671844125.476604,Mouse,397.0,1018.0,,
1671844125.486634,Mouse,399.0,1018.0,,
1671844125.497628,Mouse,402.0,1018.0,,
1671844125.507718,Mouse,406.0,1017.0,,
1671844125.52758,Mouse,412.0,1014.0,,
1671844125.538603,Mouse,413.0,1014.0,,
1671844125.548643,Mouse,415.0,1013.0,,
1671844125.567577,Mouse,417.0,1012.0,,
1671844125.578721,Mouse,420.0,1012.0,,
1671844125.597578,Mouse,424.0,1011.0,,
1671844125.607599,Mouse,427.0,1009.0,,
1671844125.617898,Mouse,431.0,1008.0,,
1671844125.628632,Mouse,434.0,1007.0,,
1671844125.647869,Mouse,442.0,1005.0,,
1671844125.668589,Mouse,455.0,1001.0,,
1671844125.687636,Mouse,471.0,997.0,,
1671844125.708622,Mouse,490.0,989.0,,
1671844125.718803,Mouse,498.0,987.0,,
1671844125.737595,Mouse,513.0,983.0,,
1671844125.748699,Mouse,520.0,980.0,,
1671844125.767582,Mouse,527.0,977.0,,
1671844125.777879,Mouse,530.0,976.0,,
1671844125.798612,Mouse,532.0,975.0,,
1671844125.817711,Mouse,533.0,975.0,,
1671844125.858578,Mouse,533.0,974.0,,
1671844125.879868,Mouse,533.0,974.0,,
1671844125.898801,Mouse,533.0,971.0,,
1671844125.908884,Mouse,535.0,969.0,,
1671844125.919649,Mouse,536.0,968.0,,
1671844125.938598,Mouse,538.0,965.0,,
1671844125.948877,Mouse,538.0,965.0,,
1671844125.969662,Mouse,539.0,963.0,,
1671844125.988607,Mouse,540.0,961.0,,
1671844126.009665,Mouse,540.0,959.0,,
1671844126.019666,Mouse,541.0,957.0,,
1671844126.039699,Mouse,543.0,951.0,,
1671844126.050562,Mouse,545.0,946.0,,
1671844126.060562,Mouse,547.0,941.0,,
1671844126.079614,Mouse,549.0,932.0,,
1671844126.090588,Mouse,549.0,927.0,,
1671844126.100864,Mouse,552.0,922.0,,
1671844126.11964,Mouse,553.0,915.0,,
1671844126.140605,Mouse,555.0,908.0,,
1671844126.159608,Mouse,555.0,903.0,,
1671844126.169738,Mouse,555.0,897.0,,
1671844126.180688,Mouse,556.0,893.0,,
1671844126.199628,Mouse,557.0,884.0,,
1671844126.20971,Mouse,558.0,880.0,,
1671844126.220649,Mouse,559.0,875.0,,
1671844126.230856,Mouse,559.0,868.0,,
1671844126.249624,Mouse,562.0,854.0,,
1671844126.26058,Mouse,563.0,845.0,,
1671844126.270619,Mouse,564.0,840.0,,
1671844126.289572,Mouse,565.0,828.0,,
1671844126.299689,Mouse,566.0,823.0,,
1671844126.310584,Mouse,566.0,820.0,,
1671844126.329584,Mouse,566.0,814.0,,
1671844126.339867,Mouse,566.0,811.0,,
1671844126.350647,Mouse,566.0,810.0,,
1671844126.370546,Mouse,566.0,805.0,,
1671844126.380577,Mouse,566.0,803.0,,
1671844126.391579,Mouse,566.0,799.0,,
1671844126.401712,Mouse,566.0,796.0,,
1671844126.42064,Mouse,565.0,788.0,,
1671844126.431648,Mouse,564.0,784.0,,
1671844126.441724,Mouse,564.0,778.0,,
1671844126.460624,Mouse,564.0,769.0,,
1671844126.481566,Mouse,564.0,754.0,,
1671844126.500613,Mouse,563.0,739.0,,
1671844126.510691,Mouse,562.0,731.0,,
1671844126.521572,Mouse,562.0,724.0,,
1671844126.541621,Mouse,559.0,711.0,,
1671844126.562767,Mouse,558.0,697.0,,
1671844126.581564,Mouse,555.0,686.0,,
1671844126.591575,Mouse,555.0,679.0,,
1671844126.602706,Mouse,554.0,671.0,,
1671844126.621577,Mouse,551.0,658.0,,
1671844126.631691,Mouse,551.0,654.0,,
1671844126.641694,Mouse,550.0,646.0,,
1671844126.65257,Mouse,549.0,638.0,,
1671844126.671893,Mouse,545.0,624.0,,
1671844126.692785,Mouse,541.0,615.0,,
1671844126.711647,Mouse,540.0,611.0,,
1671844126.742612,Mouse,539.0,610.0,,
1671844126.761851,Mouse,536.0,605.0,,
1671844126.772866,Mouse,535.0,604.0,,
1671844126.791619,Mouse,526.0,596.0,,
1671844126.80162,Mouse,521.0,593.0,,
1671844126.811636,Mouse,516.0,590.0,,
1671844126.822556,Mouse,513.0,589.0,,
1671844126.841619,Mouse,510.0,587.0,,
1671844126.862611,Mouse,507.0,587.0,,
1671844126.872614,Mouse,505.0,587.0,,
1671844126.882634,Mouse,502.0,587.0,,
1671844126.892634,Mouse,497.0,587.0,,
1671844126.903891,Mouse,492.0,587.0,,
1671844126.922583,Mouse,484.0,587.0,,
1671844126.932858,Mouse,482.0,587.0,,
1671844126.943629,Mouse,479.0,587.0,,
1671844126.962829,Mouse,472.0,587.0,,
1671844126.982577,Mouse,465.0,587.0,,
1671844126.993623,Mouse,459.0,587.0,,
1671844127.012603,Mouse,453.0,587.0,,
1671844127.022731,Mouse,450.0,587.0,,
1671844127.0339,Mouse,448.0,587.0,,
1671844127.053584,Mouse,442.0,587.0,,
1671844127.063899,Mouse,439.0,587.0,,
1671844127.07465,Mouse,435.0,587.0,,
1671844127.093841,Mouse,427.0,587.0,,
1671844127.114572,Mouse,420.0,587.0,,
1671844127.124604,Mouse,418.0,587.0,,
1671844127.143628,Mouse,414.0,587.0,,
1671844127.154648,Mouse,411.0,587.0,,
1671844127.173634,Mouse,399.0,587.0,,
1671844127.193628,Mouse,381.0,589.0,,
1671844127.204617,Mouse,370.0,591.0,,
1671844127.223897,Mouse,351.0,593.0,,
1671844127.233902,Mouse,341.0,595.0,,
1671844127.244643,Mouse,328.0,596.0,,
1671844127.263898,Mouse,305.0,598.0,,
1671844127.284612,Mouse,284.0,599.0,,
