Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671844251.42359,MouseEvent,,1698.0,876.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1671844251.42359,,Mouse,1696.0,877.3333333333334,,,Fixation,1878.0,1020.0,,
1671844251.42763,,Eye Tracker,1694.0,878.0,Valid,Invalid,Fixation,,,,
1671844251.444284,,Eye Tracker,1696.0,870.0,Valid,Invalid,Fixation,,,,
1671844251.460939,,Eye Tracker,1702.0,870.0,Valid,Invalid,Fixation,,,,
1671844251.477594,,Eye Tracker,1695.0,886.0,Valid,Invalid,Fixation,,,,
1671844251.494248,,Eye Tracker,1702.0,897.0,Valid,Invalid,Fixation,,,,
1671844251.5036528,,Mouse,1701.0,897.0,,,Fixation,1878.0,1020.0,,
1671844251.510903,,Eye Tracker,1700.0,897.0,Valid,Invalid,Fixation,,,,
1671844251.5275578,,Eye Tracker,1696.0,894.0,Valid,Invalid,Fixation,,,,
1671844251.5442119,,Eye Tracker,1706.0,888.0,Valid,Invalid,Fixation,,,,
1671844251.5444598,,Mouse,1707.6666666666667,889.6666666666666,,,Fixation,1878.0,1020.0,,
1671844251.554556,,Mouse,1709.3333333333333,891.3333333333334,,,Fixation,1876.0,1020.0,,
1671844251.5608668,,Eye Tracker,1711.0,893.0,Valid,Invalid,Fixation,,,,
1671844251.5744328,,Mouse,1703.0,898.5,,,Fixation,1873.0,1020.0,,
1671844251.5775218,,Eye Tracker,1695.0,904.0,Valid,Invalid,Fixation,,,,
1671844251.594177,,Eye Tracker,1699.0,904.0,Valid,Invalid,Fixation,,,,
1671844251.59445,,Mouse,1718.6666666666667,910.6666666666666,,,Fixation,1870.0,1020.0,,
1671844251.6046429,,Mouse,1738.3333333333333,917.3333333333334,,,Saccade,1866.0,1020.0,,
1671844251.610832,,Eye Tracker,1758.0,924.0,Valid,Invalid,Saccade,,,,
1671844251.6244628,,Mouse,1794.5,937.5,,,Saccade,1857.0,1020.0,,
1671844251.627487,,Eye Tracker,1831.0,951.0,Valid,Invalid,Saccade,,,,
1671844251.644142,,Eye Tracker,1838.0,942.0,Valid,Invalid,Fixation,,,,
1671844251.644549,,Mouse,1836.0,948.5,,,Fixation,1848.0,1020.0,,
1671844251.660796,,Eye Tracker,1834.0,955.0,Valid,Invalid,Fixation,,,,
1671844251.664451,,Mouse,1833.0,956.0,,,Fixation,1838.0,1020.0,,
1671844251.6744728,,Mouse,1832.0,957.0,,,Fixation,1834.0,1020.0,,
1671844251.677451,,Eye Tracker,1831.0,958.0,Valid,Invalid,Fixation,,,,
1671844251.685453,,Mouse,1832.5,958.0,,,Fixation,1831.0,1020.0,,
1671844251.6941059,,Eye Tracker,1834.0,958.0,Valid,Invalid,Fixation,,,,
1671844251.695556,,Mouse,1835.5,957.0,,,Fixation,1828.0,1021.0,,
1671844251.7107599,,Eye Tracker,1837.0,956.0,Valid,Invalid,Fixation,,,,
1671844251.715441,,Mouse,1836.5,955.5,,,Fixation,1825.0,1021.0,,
1671844251.7274148,,Eye Tracker,1836.0,955.0,Valid,Invalid,Fixation,,,,
1671844251.735378,,Mouse,1835.0,958.0,,,Fixation,1822.0,1021.0,,
1671844251.7440698,,Eye Tracker,1834.0,961.0,Valid,Invalid,Fixation,,,,
1671844251.745589,,Mouse,1828.5,961.5,,,Fixation,1820.0,1021.0,,
1671844251.7607238,,Eye Tracker,1823.0,962.0,Valid,Invalid,Fixation,,,,
1671844251.765394,,Mouse,1824.0,959.0,,,Fixation,1815.0,1021.0,,
1671844251.775435,,Mouse,1825.0,956.0,,,Fixation,1813.0,1021.0,,
1671844251.7773788,,Eye Tracker,1826.0,953.0,Valid,Invalid,Fixation,,,,
1671844251.794034,,Eye Tracker,1829.0,958.0,Valid,Invalid,Fixation,,,,
1671844251.795431,,Mouse,1825.5,960.5,,,Fixation,1805.0,1021.0,,
1671844251.810688,,Eye Tracker,1822.0,963.0,Valid,Invalid,Fixation,,,,
1671844251.815671,,Mouse,1820.0,967.0,,,Fixation,1793.0,1021.0,,
1671844251.827343,,Eye Tracker,1818.0,971.0,Valid,Invalid,Fixation,,,,
1671844251.8356428,,Mouse,1817.0,974.5,,,Fixation,1774.0,1021.0,,
1671844251.843998,,Eye Tracker,1816.0,978.0,Valid,Invalid,Fixation,,,,
1671844251.8563988,,Mouse,1814.0,980.0,,,Fixation,1757.0,1023.0,,
1671844251.860653,,Eye Tracker,1812.0,982.0,Valid,Invalid,Fixation,,,,
1671844251.8665278,,Mouse,1802.0,981.6666666666666,,,Fixation,1749.0,1023.0,,
1671844251.876833,,Mouse,1792.0,981.3333333333334,,,Saccade,1741.0,1024.0,,
1671844251.877307,,Eye Tracker,1782.0,981.0,Valid,Invalid,Saccade,,,,
1671844251.893962,,Eye Tracker,1739.0,973.0,Valid,Invalid,Saccade,,,,
1671844251.896407,,Mouse,1659.0,970.0,,,Saccade,1728.0,1026.0,,
1671844251.9064338,,Mouse,1579.0,967.0,,,Saccade,1722.0,1026.0,,
1671844251.9106169,,Eye Tracker,1499.0,964.0,Valid,Invalid,Saccade,,,,
1671844251.91644,,Mouse,1500.0,958.5,,,Saccade,1715.0,1026.0,,
1671844251.927271,,Eye Tracker,1501.0,953.0,Valid,Invalid,Fixation,,,,
1671844251.936636,,Mouse,1497.5,951.5,,,Fixation,1698.0,1027.0,,
1671844251.9439259,,Eye Tracker,1494.0,950.0,Valid,Invalid,Fixation,,,,
1671844251.956444,,Mouse,1494.5,948.0,,,Fixation,1683.0,1029.0,,
1671844251.960582,,Eye Tracker,1495.0,946.0,Valid,Invalid,Fixation,,,,
1671844251.9665668,,Mouse,1497.0,949.0,,,Fixation,1676.0,1029.0,,
1671844251.9772358,,Eye Tracker,1499.0,952.0,Valid,Invalid,Fixation,,,,
1671844251.986661,,Mouse,1500.5,954.5,,,Fixation,1659.0,1029.0,,
1671844251.993891,,Eye Tracker,1502.0,957.0,Valid,Invalid,Fixation,,,,
1671844252.006551,,Mouse,1502.5,959.5,,,Fixation,1638.0,1029.0,,
1671844252.010546,,Eye Tracker,1503.0,962.0,Valid,Invalid,Fixation,,,,
1671844252.0264828,,Mouse,1508.0,965.5,,,Fixation,1618.0,1029.0,,
1671844252.0272,,Eye Tracker,1513.0,969.0,Valid,Invalid,Fixation,,,,
1671844252.0365758,,Mouse,1513.0,967.5,,,Fixation,1607.0,1029.0,,
1671844252.043855,,Eye Tracker,1513.0,966.0,Valid,Invalid,Fixation,,,,
1671844252.056437,,Mouse,1508.5,965.0,,,Fixation,1593.0,1029.0,,
1671844252.06051,,Eye Tracker,1504.0,964.0,Valid,Invalid,Fixation,,,,
1671844252.066452,,Mouse,1503.0,965.3333333333334,,,Fixation,1587.0,1029.0,,
1671844252.076556,,Mouse,1502.0,966.6666666666666,,,Fixation,1582.0,1029.0,,
1671844252.077164,,Eye Tracker,1501.0,968.0,Valid,Invalid,Fixation,,,,
1671844252.093819,,Eye Tracker,1492.0,977.0,Valid,Invalid,Fixation,,,,
1671844252.096458,,Mouse,1488.3333333333333,976.3333333333334,,,Fixation,1569.0,1029.0,,
1671844252.106469,,Mouse,1484.6666666666667,975.6666666666666,,,Fixation,1562.0,1029.0,,
1671844252.1104739,,Eye Tracker,1481.0,975.0,Valid,Invalid,Fixation,,,,
1671844252.1264248,,Mouse,1478.5,973.5,,,Fixation,1538.0,1029.0,,
1671844252.1271288,,Eye Tracker,1476.0,972.0,Valid,Invalid,Fixation,,,,
1671844252.1366808,,Mouse,1482.0,974.0,,,Fixation,1525.0,1029.0,,
1671844252.1437829,,Eye Tracker,1488.0,976.0,Valid,Invalid,Fixation,,,,
1671844252.156448,,Mouse,1486.0,976.5,,,Fixation,1502.0,1029.0,,
1671844252.1604378,,Eye Tracker,1484.0,977.0,Valid,Invalid,Fixation,,,,
1671844252.1665058,,Mouse,1479.5,975.0,,,Fixation,1490.0,1029.0,,
1671844252.1770928,,Eye Tracker,1475.0,973.0,Valid,Invalid,Fixation,,,,
1671844252.186405,,Mouse,1472.0,974.0,,,Fixation,1470.0,1029.0,,
1671844252.1937468,,Eye Tracker,1469.0,975.0,Valid,Invalid,Fixation,,,,
1671844252.1976018,,Mouse,1469.0,977.6666666666666,,,Fixation,1460.0,1029.0,,
1671844252.2076929,,Mouse,1469.0,980.3333333333334,,,Fixation,1451.0,1029.0,,
1671844252.210402,,Eye Tracker,1469.0,983.0,Valid,Invalid,Fixation,,,,
1671844252.227057,,Eye Tracker,1469.0,984.0,Valid,Invalid,Fixation,,,,
1671844252.227666,,Mouse,1467.0,979.0,,,Fixation,1433.0,1029.0,,
1671844252.243711,,Eye Tracker,1465.0,974.0,Valid,Invalid,Fixation,,,,
1671844252.2473679,,Mouse,1463.3333333333333,972.6666666666666,,,Fixation,1422.0,1029.0,,
1671844252.2574549,,Mouse,1461.6666666666667,971.3333333333334,,,Fixation,1418.0,1029.0,,
1671844252.260366,,Eye Tracker,1460.0,970.0,Valid,Invalid,Fixation,,,,
1671844252.267503,,Mouse,1455.0,972.5,,,Fixation,1413.0,1029.0,,
1671844252.277021,,Eye Tracker,1450.0,975.0,Valid,Invalid,Fixation,,,,
1671844252.2876859,,Mouse,1449.0,980.0,,,Fixation,1399.0,1029.0,,
1671844252.293675,,Eye Tracker,1448.0,985.0,Valid,Invalid,Fixation,,,,
1671844252.307441,,Mouse,1446.5,984.0,,,Fixation,1384.0,1029.0,,
1671844252.3103309,,Eye Tracker,1445.0,983.0,Valid,Invalid,Fixation,,,,
1671844252.3174438,,Mouse,1440.0,984.0,,,Fixation,1379.0,1029.0,,
1671844252.3269858,,Eye Tracker,1435.0,985.0,Valid,Invalid,Fixation,,,,
1671844252.327565,,Mouse,1422.6666666666667,984.0,,,Fixation,1378.0,1029.0,,
1671844252.337677,,Mouse,1410.3333333333333,983.0,,,Saccade,1378.0,1029.0,,
1671844252.3436399,,Eye Tracker,1398.0,982.0,Valid,Invalid,Saccade,,,,
1671844252.3602948,,Eye Tracker,1348.0,970.0,Valid,Invalid,Saccade,,,,
1671844252.37695,,Eye Tracker,1362.0,974.0,Valid,Invalid,Fixation,,,,
1671844252.393605,,Eye Tracker,1361.0,977.0,Valid,Invalid,Fixation,,,,
1671844252.408705,,Mouse,1359.0,977.0,,,Fixation,1376.0,1029.0,,
1671844252.410259,,Eye Tracker,1357.0,977.0,Valid,Invalid,Fixation,,,,
1671844252.426914,,Eye Tracker,1342.0,983.0,Valid,Invalid,Fixation,,,,
1671844252.428696,,Mouse,1340.5,985.0,,,Fixation,1371.0,1029.0,,
1671844252.443569,,Eye Tracker,1339.0,987.0,Valid,Invalid,Fixation,,,,
1671844252.448433,,Mouse,1342.0,984.3333333333334,,,Fixation,1365.0,1025.0,,
1671844252.4584658,,Mouse,1345.0,981.6666666666666,,,Fixation,1362.0,1023.0,,
1671844252.460223,,Eye Tracker,1348.0,979.0,Valid,Invalid,Fixation,,,,
1671844252.468701,,Mouse,1345.5,974.0,,,Fixation,1361.0,1022.0,,
1671844252.476878,,Eye Tracker,1343.0,969.0,Valid,Invalid,Fixation,,,,
1671844252.488415,,Mouse,1343.0,967.5,,,Fixation,1357.0,1016.0,,
1671844252.493533,,Eye Tracker,1343.0,966.0,Valid,Invalid,Fixation,,,,
1671844252.498448,,Mouse,1344.5,970.5,,,Fixation,1355.0,1014.0,,
1671844252.510187,,Eye Tracker,1346.0,975.0,Valid,Invalid,Fixation,,,,
1671844252.5183759,,Mouse,1351.0,979.0,,,Fixation,1351.0,1010.0,,
1671844252.5268419,,Eye Tracker,1356.0,983.0,Valid,Invalid,Fixation,,,,
1671844252.52839,,Mouse,1356.0,981.6666666666666,,,Fixation,1348.0,1007.0,,
1671844252.5386188,,Mouse,1356.0,980.3333333333334,,,Fixation,1345.0,1004.0,,
1671844252.5434968,,Eye Tracker,1356.0,979.0,Valid,Invalid,Fixation,,,,
1671844252.558591,,Mouse,1346.0,979.5,,,Fixation,1335.0,996.0,,
1671844252.5601509,,Eye Tracker,1336.0,980.0,Valid,Invalid,Fixation,,,,
1671844252.5768058,,Eye Tracker,1342.0,977.0,Valid,Valid,Saccade,,,,
1671844252.5784278,,Mouse,1341.6666666666667,976.6666666666666,,,Saccade,1330.0,990.0,,
1671844252.58845,,Mouse,1341.3333333333333,976.3333333333334,,,Fixation,1329.0,988.0,,
1671844252.5934608,,Eye Tracker,1341.0,976.0,Valid,Valid,Fixation,,,,
1671844252.598475,,Mouse,1340.6666666666667,978.0,,,Fixation,1327.0,986.0,,
1671844252.608516,,Mouse,1340.3333333333333,980.0,,,Fixation,1325.0,984.0,,
1671844252.6101148,,Eye Tracker,1340.0,982.0,Valid,Valid,Fixation,,,,
1671844252.62677,,Eye Tracker,1340.0,981.0,Valid,Valid,Fixation,,,,
1671844252.6286879,,Mouse,1340.0,980.0,,,Fixation,1322.0,981.0,,
1671844252.643425,,Eye Tracker,1340.0,979.0,Valid,Valid,Fixation,,,,
1671844252.6486359,,Mouse,1338.3333333333333,980.3333333333334,,,Fixation,1320.0,979.0,,
1671844252.658707,,Mouse,1336.6666666666667,981.6666666666666,,,Fixation,1320.0,979.0,,
1671844252.660081,,Eye Tracker,1335.0,983.0,Valid,Valid,Fixation,,,,
1671844252.676735,,Eye Tracker,1336.0,983.0,Valid,Valid,Fixation,,,,
1671844252.678439,,Mouse,1341.0,977.5,,,Fixation,1317.0,977.0,,
1671844252.69339,,Eye Tracker,1346.0,972.0,Valid,Valid,Fixation,,,,
1671844252.699689,,Mouse,1344.0,971.0,,,Fixation,1313.0,975.0,,
1671844252.7100449,,Eye Tracker,1342.0,970.0,Valid,Valid,Fixation,,,,
1671844252.7194629,,Mouse,1341.0,973.5,,,Fixation,1309.0,973.0,,
1671844252.7266989,,Eye Tracker,1340.0,977.0,Valid,Valid,Fixation,,,,
1671844252.7394528,,Mouse,1342.0,975.5,,,Fixation,1308.0,972.0,,
1671844252.7433538,,Eye Tracker,1344.0,974.0,Valid,Valid,Fixation,,,,
1671844252.7600088,,Eye Tracker,1342.0,974.0,Valid,Valid,Fixation,,,,
1671844252.769402,,Mouse,1340.5,974.0,,,Fixation,1308.0,971.0,,
1671844252.7766628,,Eye Tracker,1339.0,974.0,Valid,Valid,Fixation,,,,
1671844252.789459,,Mouse,1337.0,973.0,,,Fixation,1308.0,970.0,,
1671844252.7933178,,Eye Tracker,1335.0,972.0,Valid,Valid,Fixation,,,,
1671844252.7995489,,Mouse,1333.0,977.0,,,Fixation,1308.0,969.0,,
1671844252.809973,,Eye Tracker,1331.0,982.0,Valid,Valid,Fixation,,,,
1671844252.81944,,Mouse,1331.5,981.0,,,Fixation,1308.0,967.0,,
1671844252.826627,,Eye Tracker,1332.0,980.0,Valid,Valid,Fixation,,,,
1671844252.839347,,Mouse,1328.5,956.0,,,Saccade,1308.0,964.0,,
1671844252.843282,,Eye Tracker,1325.0,932.0,Valid,Valid,Saccade,,,,
1671844252.8493469,,Mouse,1320.0,914.6666666666666,,,Saccade,1308.0,959.0,,
1671844252.859411,,Mouse,1315.0,897.3333333333334,,,Saccade,1308.0,956.0,,
1671844252.859937,,Eye Tracker,1310.0,880.0,Valid,Valid,Saccade,,,,
1671844252.8704278,,Mouse,1317.5,794.5,,,Saccade,1308.0,950.0,,
1671844252.876591,,Eye Tracker,1325.0,709.0,Valid,Valid,Saccade,,,,
1671844252.890436,,Mouse,1322.0,701.5,,,Fixation,1308.0,940.0,,
1671844252.893246,,Eye Tracker,1319.0,694.0,Valid,Valid,Fixation,,,,
1671844252.909901,,Eye Tracker,1317.0,686.0,Valid,Valid,Fixation,,,,
1671844252.9104278,,Mouse,1319.5,689.0,,,Fixation,1308.0,928.0,,
1671844252.9265559,,Eye Tracker,1322.0,692.0,Valid,Valid,Fixation,,,,
1671844252.930498,,Mouse,1321.5,694.5,,,Fixation,1308.0,917.0,,
1671844252.94321,,Eye Tracker,1321.0,697.0,Valid,Valid,Fixation,,,,
1671844252.950398,,Mouse,1321.5,696.0,,,Fixation,1308.0,907.0,,
1671844252.9598649,,Eye Tracker,1322.0,695.0,Valid,Valid,Fixation,,,,
1671844252.960443,,Mouse,1324.5,691.5,,,Fixation,1308.0,904.0,,
1671844252.9765198,,Eye Tracker,1327.0,688.0,Valid,Valid,Fixation,,,,
1671844252.9804008,,Mouse,1326.0,689.0,,,Fixation,1310.0,895.0,,
1671844252.990686,,Mouse,1325.0,690.0,,,Fixation,1310.0,890.0,,
1671844252.9931738,,Eye Tracker,1324.0,691.0,Valid,Valid,Fixation,,,,
1671844253.0098288,,Eye Tracker,1323.0,695.0,Valid,Valid,Fixation,,,,
1671844253.010437,,Mouse,1322.6666666666667,693.6666666666666,,,Fixation,1312.0,884.0,,
1671844253.020536,,Mouse,1322.3333333333333,692.3333333333334,,,Fixation,1313.0,881.0,,
1671844253.026485,,Eye Tracker,1322.0,691.0,Valid,Valid,Fixation,,,,
1671844253.0306098,,Mouse,1323.0,690.5,,,Fixation,1313.0,878.0,,
1671844253.043139,,Eye Tracker,1324.0,690.0,Valid,Valid,Fixation,,,,
1671844253.050423,,Mouse,1325.0,691.5,,,Fixation,1314.0,873.0,,
1671844253.059794,,Eye Tracker,1326.0,693.0,Valid,Valid,Fixation,,,,
1671844253.060577,,Mouse,1325.5,697.5,,,Fixation,1316.0,869.0,,
1671844253.076449,,Eye Tracker,1325.0,702.0,Valid,Valid,Fixation,,,,
1671844253.081435,,Mouse,1324.5,701.0,,,Fixation,1317.0,858.0,,
1671844253.093103,,Eye Tracker,1324.0,700.0,Valid,Valid,Fixation,,,,
1671844253.1004329,,Mouse,1323.5,697.5,,,Fixation,1320.0,847.0,,
1671844253.109758,,Eye Tracker,1323.0,695.0,Valid,Valid,Fixation,,,,
1671844253.1104548,,Mouse,1321.6666666666667,695.6666666666666,,,Fixation,1321.0,840.0,,
1671844253.120682,,Mouse,1320.3333333333333,696.3333333333334,,,Fixation,1321.0,835.0,,
1671844253.1264129,,Eye Tracker,1319.0,697.0,Valid,Valid,Fixation,,,,
