Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671844445.770459,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.787114,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.803768,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.820424,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.851072,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.867726,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.884381,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.917779,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.934434,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.951089,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671844445.967743,,Eye Tracker,1275.0,68.0,Valid,Invalid,Unclassified
1671844445.984398,,Eye Tracker,1275.0,68.0,Valid,Invalid,Unclassified
1671844446.001053,,Eye Tracker,1243.0,121.0,Invalid,Valid,Saccade
1671844446.017707,,Eye Tracker,1243.0,121.0,Invalid,Valid,Unclassified
1671844446.034362,,Eye Tracker,1240.8,119.8,Invalid,Invalid,EyesNotFound
1671844446.051017,,Eye Tracker,1238.6,118.6,Invalid,Invalid,EyesNotFound
1671844446.067671,,Eye Tracker,1236.4,117.4,Invalid,Invalid,EyesNotFound
1671844446.084326,,Eye Tracker,1234.2,116.2,Invalid,Invalid,EyesNotFound
1671844446.100981,,Eye Tracker,1232.0,115.0,Invalid,Invalid,EyesNotFound
1671844446.117635,,Eye Tracker,1229.8,113.8,Invalid,Invalid,EyesNotFound
1671844446.13429,,Eye Tracker,1227.6,112.6,Invalid,Invalid,EyesNotFound
1671844446.150945,,Eye Tracker,1225.4,111.4,Invalid,Invalid,EyesNotFound
1671844446.167601,,Eye Tracker,1223.2,110.2,Invalid,Invalid,EyesNotFound
1671844446.184255,,Eye Tracker,1221.0,109.0,Valid,Invalid,Unclassified
1671844446.20091,,Eye Tracker,1236.0,123.0,Valid,Invalid,Unclassified
