Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671844512.02471,,,,MouseEvent,"Down, Left"
1671844512.02471,Mouse,1698.0,297.0,,
1671844512.144838,Mouse,1698.0,297.0,,
1671844512.194669,Mouse,1696.0,297.0,,
1671844512.213595,Mouse,1687.0,297.0,,
1671844512.224534,Mouse,1675.0,297.0,,
1671844512.234545,Mouse,1659.0,297.0,,
1671844512.244623,Mouse,1639.0,297.0,,
1671844512.264613,Mouse,1615.0,299.0,,
1671844512.274615,Mouse,1610.0,299.0,,
1671844512.294619,Mouse,1608.0,300.0,,
1671844512.315639,Mouse,1608.0,300.0,,
1671844512.335811,Mouse,1604.0,300.0,,
1671844512.355621,Mouse,1592.0,300.0,,
1671844512.365687,Mouse,1581.0,300.0,,
1671844512.375884,Mouse,1571.0,300.0,,
1671844512.395614,Mouse,1551.0,300.0,,
1671844512.405639,Mouse,1536.0,300.0,,
1671844512.424659,Mouse,1501.0,300.0,,
1671844512.435537,Mouse,1477.0,300.0,,
1671844512.445609,Mouse,1455.0,300.0,,
1671844512.465677,Mouse,1418.0,300.0,,
1671844512.476579,Mouse,1399.0,304.0,,
1671844512.486615,Mouse,1382.0,307.0,,
1671844512.49686,Mouse,1370.0,310.0,,
1671844512.516609,Mouse,1356.0,313.0,,
1671844512.526614,Mouse,1352.0,316.0,,
1671844512.536852,Mouse,1349.0,317.0,,
1671844512.55572,Mouse,1344.0,318.0,,
1671844512.566752,Mouse,1339.0,321.0,,
1671844512.586614,Mouse,1322.0,327.0,,
1671844512.606737,Mouse,1302.0,337.0,,
1671844512.626744,Mouse,1279.0,350.0,,
1671844512.646576,Mouse,1257.0,364.0,,
1671844512.656596,Mouse,1240.0,372.0,,
1671844512.666926,Mouse,1217.0,383.0,,
1671844512.686586,Mouse,1176.0,401.0,,
1671844512.706947,Mouse,1144.0,420.0,,
1671844512.725614,Mouse,1122.0,435.0,,
1671844512.736891,Mouse,1109.0,442.0,,
1671844512.756861,Mouse,1080.0,457.0,,
1671844512.776648,Mouse,1063.0,465.0,,
1671844512.796713,Mouse,1052.0,469.0,,
1671844512.817626,Mouse,1041.0,471.0,,
1671844512.827631,Mouse,1035.0,474.0,,
1671844512.83766,Mouse,1025.0,476.0,,
1671844512.857561,Mouse,996.0,481.0,,
1671844512.867845,Mouse,976.0,483.0,,
1671844512.887611,Mouse,950.0,486.0,,
1671844512.907629,Mouse,932.0,488.0,,
1671844512.927817,Mouse,906.0,488.0,,
1671844512.947791,Mouse,874.0,488.0,,
1671844512.957818,Mouse,850.0,488.0,,
1671844512.977609,Mouse,799.0,487.0,,
1671844512.988604,Mouse,776.0,485.0,,
1671844512.998849,Mouse,759.0,481.0,,
1671844513.008883,Mouse,745.0,479.0,,
1671844513.028622,Mouse,722.0,474.0,,
1671844513.038781,Mouse,712.0,471.0,,
1671844513.058633,Mouse,689.0,460.0,,
1671844513.078583,Mouse,665.0,451.0,,
1671844513.088737,Mouse,648.0,441.0,,
1671844513.098861,Mouse,634.0,434.0,,
1671844513.11864,Mouse,609.0,420.0,,
1671844513.128659,Mouse,600.0,414.0,,
1671844513.147604,Mouse,585.0,405.0,,
1671844513.15873,Mouse,577.0,400.0,,
1671844513.178612,Mouse,560.0,390.0,,
1671844513.188638,Mouse,552.0,385.0,,
