Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671850220.479199,MouseEvent,,1380.0,382.3333333333333,,,Fixation,,,MouseEvent,"Down, Left"
1671850220.479199,,Mouse,1382.0,381.6666666666667,,,Fixation,1394.0,404.0,,
1671850220.4795,,Eye Tracker,1384.0,381.0,Valid,Valid,Fixation,,,,
1671850220.496155,,Eye Tracker,1385.0,390.0,Valid,Valid,Fixation,,,,
1671850220.509013,,Mouse,1383.0,391.5,,,Fixation,1394.0,405.0,,
1671850220.51281,,Eye Tracker,1381.0,393.0,Valid,Valid,Fixation,,,,
1671850220.529465,,Eye Tracker,1385.0,391.0,Valid,Valid,Fixation,,,,
1671850220.546119,,Eye Tracker,1386.0,393.0,Valid,Valid,Fixation,,,,
1671850220.562775,,Eye Tracker,1380.0,395.0,Valid,Valid,Fixation,,,,
1671850220.579079,,Mouse,1380.0,395.0,,,Fixation,1394.0,406.0,,
1671850220.57943,,Eye Tracker,1380.0,395.0,Valid,Valid,Fixation,,,,
1671850220.5960839,,Eye Tracker,1383.0,388.0,Valid,Valid,Fixation,,,,
1671850220.599062,,Mouse,1382.6666666666667,386.0,,,Fixation,1391.0,409.0,,
1671850220.609094,,Mouse,1382.3333333333333,384.0,,,Fixation,1388.0,411.0,,
1671850220.612739,,Eye Tracker,1382.0,382.0,Valid,Valid,Fixation,,,,
1671850220.629022,,Mouse,1378.5,383.0,,,Fixation,1380.0,417.0,,
1671850220.629394,,Eye Tracker,1375.0,384.0,Valid,Valid,Fixation,,,,
1671850220.639067,,Mouse,1373.0,388.5,,,Fixation,1374.0,423.0,,
1671850220.646047,,Eye Tracker,1371.0,393.0,Valid,Valid,Fixation,,,,
1671850220.6493149,,Mouse,1371.5,393.5,,,Fixation,1367.0,429.0,,
1671850220.662703,,Eye Tracker,1372.0,394.0,Valid,Valid,Fixation,,,,
1671850220.670266,,Mouse,1373.0,390.0,,,Fixation,1351.0,445.0,,
1671850220.679358,,Eye Tracker,1374.0,386.0,Valid,Valid,Fixation,,,,
1671850220.680272,,Mouse,1376.0,384.0,,,Fixation,1342.0,455.0,,
1671850220.696012,,Eye Tracker,1378.0,382.0,Valid,Valid,Fixation,,,,
1671850220.700044,,Mouse,1378.3333333333333,384.6666666666667,,,Fixation,1326.0,470.0,,
1671850220.711122,,Mouse,1378.6666666666667,387.3333333333333,,,Fixation,1319.0,477.0,,
1671850220.712667,,Eye Tracker,1379.0,390.0,Valid,Valid,Fixation,,,,
1671850220.729322,,Eye Tracker,1375.0,391.0,Valid,Valid,Fixation,,,,
1671850220.730085,,Mouse,1374.6666666666667,391.3333333333333,,,Fixation,1308.0,488.0,,
1671850220.740093,,Mouse,1374.3333333333333,391.6666666666667,,,Fixation,1306.0,493.0,,
1671850220.745975,,Eye Tracker,1374.0,392.0,Valid,Valid,Fixation,,,,
1671850220.750141,,Mouse,1351.5,409.5,,,Fixation,1304.0,495.0,,
1671850220.76263,,Eye Tracker,1329.0,427.0,Valid,Valid,Saccade,,,,
1671850220.770147,,Mouse,1295.5,455.5,,,Saccade,1302.0,499.0,,
1671850220.779286,,Eye Tracker,1262.0,484.0,Valid,Valid,Saccade,,,,
1671850220.795941,,Eye Tracker,1257.0,491.0,Valid,Valid,Fixation,,,,
1671850220.812595,,Eye Tracker,1258.0,494.0,Valid,Valid,Fixation,,,,
1671850220.82925,,Eye Tracker,1258.0,492.0,Valid,Valid,Fixation,,,,
1671850220.845905,,Eye Tracker,1262.0,487.0,Valid,Valid,Fixation,,,,
1671850220.85132,,Mouse,1262.5,485.5,,,Fixation,1301.0,501.0,,
1671850220.862559,,Eye Tracker,1263.0,484.0,Valid,Valid,Fixation,,,,
1671850220.871073,,Mouse,1264.5,478.0,,,Fixation,1300.0,503.0,,
1671850220.879214,,Eye Tracker,1266.0,472.0,Valid,Valid,Fixation,,,,
