Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670030911.392,MouseEvent,,37.333333333333336,145.33333333333334,,,Fixation
1670030911.407834,,Mouse,33.666666666666664,155.66666666666666,,,Fixation
1670030911.424488,,Eye Tracker,30.0,166.0,Valid,Valid,Fixation
1670030911.4546409,,Eye Tracker,33.0,150.0,Valid,Valid,Fixation
1670030911.471297,,Eye Tracker,48.0,112.0,Valid,Valid,Saccade
1670030911.487952,,Eye Tracker,41.0,115.0,Valid,Valid,Fixation
1670030911.504607,,Eye Tracker,24.0,85.0,Valid,Valid,Fixation
1670030911.521261,,Eye Tracker,36.0,93.0,Valid,Valid,Fixation
1670030911.5553288,,Eye Tracker,36.0,93.0,Valid,Valid,Fixation
1670030911.5719829,,Eye Tracker,39.0,96.0,Valid,Valid,Fixation
1670030911.588638,,Eye Tracker,48.0,156.0,Valid,Valid,Saccade
1670030911.605293,,Eye Tracker,45.0,154.0,Valid,Valid,Unclassified
1670030911.61848,,Eye Tracker,50.0,122.0,Valid,Valid,Saccade
1670030911.621947,,Eye Tracker,66.0,124.0,Valid,Valid,Unclassified
1670030911.634502,,Eye Tracker,49.0,92.0,Valid,Valid,Saccade
1670030911.638602,,Eye Tracker,7.0,123.0,Valid,Invalid,Unclassified
1670030911.650524,,Eye Tracker,20.0,166.0,Valid,Valid,Saccade
1670030911.655257,,Eye Tracker,19.0,160.0,Valid,Valid,Unclassified
1670030911.6664789,,Eye Tracker,6.0,113.0,Valid,Invalid,Unclassified
1670030911.671912,,Eye Tracker,6.0,111.0,Valid,Invalid,Unclassified
1670030911.682493,,Eye Tracker,37.0,176.0,Valid,Invalid,Saccade
1670030911.688567,,Eye Tracker,37.0,173.0,Valid,Invalid,Unclassified
1670030911.6984859,,Mouse,21.0,139.0,,,Saccade
1670030911.705222,,Eye Tracker,5.0,105.0,Valid,Invalid,Saccade
1670030911.714458,,Eye Tracker,5.0,102.0,Valid,Invalid,Fixation
1670030911.721876,,Eye Tracker,5.0,102.0,Valid,Invalid,Fixation
1670030911.730455,,Eye Tracker,4.0,107.0,Valid,Invalid,Fixation
