Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670031151.936883,,Eye Tracker,63.0,994.0,Valid,Valid,Fixation
1670031151.953538,,Eye Tracker,59.0,994.0,Valid,Valid,Fixation
1670031151.970192,,Eye Tracker,65.0,998.0,Valid,Valid,Fixation
1670031151.986847,,Eye Tracker,69.0,999.0,Valid,Valid,Fixation
1670031152.003502,,Eye Tracker,73.0,999.0,Valid,Valid,Fixation
1670031152.020157,,Eye Tracker,72.0,994.0,Valid,Valid,Fixation
1670031152.036812,,Eye Tracker,66.0,992.0,Valid,Valid,Fixation
1670031152.053467,,Eye Tracker,64.0,991.0,Valid,Valid,Fixation
1670031152.070122,,Eye Tracker,73.0,994.0,Valid,Valid,Fixation
1670031152.086776,,Eye Tracker,80.0,996.0,Valid,Valid,Fixation
1670031152.103431,,Eye Tracker,77.0,993.0,Valid,Valid,Fixation
1670031152.120086,,Eye Tracker,76.0,991.0,Valid,Valid,Fixation
1670031152.13674,,Eye Tracker,77.0,996.0,Valid,Valid,Fixation
1670031152.153395,,Eye Tracker,76.0,996.0,Valid,Valid,Fixation
1670031152.17005,,Eye Tracker,78.0,994.0,Valid,Valid,Fixation
1670031152.186704,,Eye Tracker,78.0,993.0,Valid,Valid,Fixation
1670031152.203359,,Eye Tracker,79.0,992.0,Valid,Valid,Fixation
1670031152.220014,,Eye Tracker,81.0,992.0,Valid,Valid,Fixation
1670031152.236668,,Eye Tracker,81.0,994.0,Valid,Valid,Fixation
1670031152.253324,,Eye Tracker,79.0,995.0,Valid,Valid,Fixation
1670031152.269979,,Eye Tracker,79.0,994.0,Valid,Valid,Fixation
1670031152.286634,,Eye Tracker,81.0,991.0,Valid,Valid,Fixation
1670031152.303288,,Eye Tracker,84.0,990.0,Valid,Valid,Fixation
1670031152.319943,,Eye Tracker,82.0,989.0,Valid,Valid,Fixation
1670031152.336598,,Eye Tracker,83.0,985.0,Valid,Valid,Fixation
1670031152.353252,,Eye Tracker,82.0,984.0,Valid,Valid,Fixation
1670031152.369907,,Eye Tracker,85.0,987.0,Valid,Valid,Fixation
1670031152.386562,,Eye Tracker,88.0,988.0,Valid,Valid,Fixation
1670031152.403216,,Eye Tracker,84.0,989.0,Valid,Valid,Fixation
1670031152.419871,,Eye Tracker,84.0,989.0,Valid,Valid,Fixation
1670031152.436526,,Eye Tracker,84.0,989.0,Valid,Valid,Fixation
1670031152.45318,,Eye Tracker,85.0,989.0,Valid,Valid,Fixation
1670031152.469836,,Eye Tracker,87.0,988.0,Valid,Valid,Fixation
1670031152.486491,,Eye Tracker,88.0,989.0,Valid,Valid,Fixation
1670031152.503145,,Eye Tracker,87.0,989.0,Valid,Valid,Fixation
1670031152.5198,,Eye Tracker,86.0,987.0,Valid,Valid,Fixation
1670031152.536455,,Eye Tracker,86.0,986.0,Valid,Valid,Fixation
1670031152.55311,,Eye Tracker,85.0,988.0,Valid,Valid,Fixation
1670031152.569764,,Eye Tracker,85.0,990.0,Valid,Valid,Fixation
1670031152.586419,,Eye Tracker,83.0,989.0,Valid,Valid,Fixation
1670031152.603074,,Eye Tracker,79.0,987.0,Valid,Valid,Fixation
1670031152.619728,,Eye Tracker,76.0,988.0,Valid,Valid,Fixation
1670031152.636383,,Eye Tracker,76.0,989.0,Valid,Valid,Fixation
1670031152.653038,,Eye Tracker,107.0,979.0,Valid,Valid,Saccade
1670031152.669692,,Eye Tracker,122.0,970.0,Valid,Valid,Fixation
1670031152.686348,,Eye Tracker,116.0,966.0,Valid,Valid,Fixation
1670031152.703003,,Eye Tracker,114.0,969.0,Valid,Valid,Fixation
1670031152.719657,,Eye Tracker,114.0,971.0,Valid,Valid,Fixation
1670031152.736312,,Eye Tracker,122.0,970.0,Valid,Valid,Fixation
1670031152.752967,,Eye Tracker,123.0,970.0,Valid,Valid,Fixation
1670031152.769621,,Eye Tracker,126.0,972.0,Valid,Valid,Fixation
1670031152.786276,,Eye Tracker,127.0,972.0,Valid,Valid,Fixation
1670031152.802931,,Eye Tracker,128.0,974.0,Valid,Valid,Fixation
1670031152.819586,,Eye Tracker,127.0,974.0,Valid,Valid,Fixation
1670031152.83624,,Eye Tracker,127.0,977.0,Valid,Valid,Fixation
1670031152.852895,,Eye Tracker,130.0,976.0,Valid,Valid,Fixation
1670031152.86955,,Eye Tracker,125.0,977.0,Valid,Valid,Fixation
1670031152.886204,,Eye Tracker,126.0,978.0,Valid,Valid,Fixation
1670031152.90286,,Eye Tracker,126.0,974.0,Valid,Valid,Fixation
1670031152.919515,,Eye Tracker,127.0,975.0,Valid,Valid,Fixation
1670031152.936169,,Eye Tracker,130.0,972.0,Valid,Valid,Fixation
1670031152.952824,,Eye Tracker,130.0,971.0,Valid,Valid,Fixation
1670031152.969479,,Eye Tracker,134.0,973.0,Valid,Valid,Fixation
1670031152.986133,,Eye Tracker,132.0,974.0,Valid,Valid,Fixation
1670031153.002788,,Eye Tracker,132.0,973.0,Valid,Valid,Fixation
1670031153.019443,,Eye Tracker,134.0,973.0,Valid,Valid,Fixation
1670031153.036097,,Eye Tracker,130.0,975.0,Valid,Valid,Fixation
1670031153.052752,,Eye Tracker,128.0,968.0,Valid,Valid,Fixation
1670031153.069407,,Eye Tracker,124.0,966.0,Valid,Valid,Fixation
1670031153.086062,,Eye Tracker,125.0,970.0,Valid,Valid,Fixation
1670031153.102716,,Eye Tracker,127.0,967.0,Valid,Valid,Fixation
1670031153.119372,,Eye Tracker,130.0,964.0,Valid,Valid,Fixation
1670031153.136027,,Eye Tracker,129.0,966.0,Valid,Valid,Fixation
1670031153.152681,,Eye Tracker,124.0,963.0,Valid,Valid,Fixation
1670031153.169336,,Eye Tracker,124.0,965.0,Valid,Valid,Fixation
1670031153.185991,,Eye Tracker,127.0,966.0,Valid,Valid,Fixation
1670031153.202645,,Eye Tracker,134.0,966.0,Valid,Valid,Fixation
1670031153.2193,,Eye Tracker,136.0,971.0,Valid,Valid,Fixation
1670031153.235955,,Eye Tracker,131.0,967.0,Valid,Valid,Fixation
1670031153.252609,,Eye Tracker,130.0,968.0,Valid,Valid,Fixation
1670031153.269264,,Eye Tracker,131.0,971.0,Valid,Valid,Fixation
1670031153.285919,,Eye Tracker,132.0,969.0,Valid,Valid,Fixation
1670031153.302573,,Eye Tracker,132.0,970.0,Valid,Valid,Fixation
1670031153.319228,,Eye Tracker,134.0,972.0,Valid,Valid,Fixation
1670031153.335884,,Eye Tracker,130.0,965.0,Valid,Valid,Fixation
1670031153.352539,,Eye Tracker,130.0,963.0,Valid,Valid,Fixation
1670031153.369193,,Eye Tracker,133.0,972.0,Valid,Valid,Fixation
1670031153.385848,,Eye Tracker,134.0,973.0,Valid,Valid,Fixation
1670031153.402503,,Eye Tracker,135.0,970.0,Valid,Valid,Fixation
1670031153.419157,,Eye Tracker,138.0,971.0,Valid,Valid,Fixation
1670031153.435812,,Eye Tracker,138.0,970.0,Valid,Valid,Fixation
1670031153.452467,,Eye Tracker,138.0,968.0,Valid,Valid,Fixation
1670031153.469121,,Eye Tracker,157.0,959.0,Valid,Valid,Fixation
1670031153.485776,,Eye Tracker,187.0,955.0,Valid,Valid,Saccade
1670031153.502431,,Eye Tracker,193.0,954.0,Valid,Valid,Fixation
1670031153.519085,,Eye Tracker,201.0,954.0,Valid,Valid,Fixation
1670031153.53574,,Eye Tracker,202.0,955.0,Valid,Valid,Fixation
1670031153.552396,,Eye Tracker,203.0,954.0,Valid,Valid,Fixation
1670031153.56905,,Eye Tracker,212.0,954.0,Valid,Valid,Fixation
1670031153.585705,,Eye Tracker,218.0,956.0,Valid,Valid,Fixation
1670031153.60236,,Eye Tracker,221.0,959.0,Valid,Valid,Fixation
1670031153.619015,,Eye Tracker,224.0,962.0,Valid,Valid,Fixation
1670031153.635669,,Eye Tracker,225.0,960.0,Valid,Valid,Fixation
1670031153.652324,,Eye Tracker,222.0,959.0,Valid,Valid,Fixation
1670031153.668979,,Eye Tracker,223.0,961.0,Valid,Valid,Fixation
1670031153.685633,,Eye Tracker,224.0,961.0,Valid,Valid,Fixation
1670031153.702288,,Eye Tracker,227.0,963.0,Valid,Valid,Fixation
1670031153.718943,,Eye Tracker,229.0,961.0,Valid,Valid,Fixation
1670031153.735597,,Eye Tracker,230.0,961.0,Valid,Valid,Fixation
1670031153.752252,,Eye Tracker,227.0,963.0,Valid,Valid,Fixation
1670031153.768908,,Eye Tracker,230.0,960.0,Valid,Valid,Fixation
1670031153.785562,,Eye Tracker,232.0,961.0,Valid,Valid,Fixation
1670031153.802217,,Eye Tracker,226.0,962.0,Valid,Valid,Fixation
1670031153.818872,,Eye Tracker,225.0,964.0,Valid,Valid,Fixation
1670031153.835526,,Eye Tracker,231.0,959.0,Valid,Valid,Fixation
1670031153.852181,,Eye Tracker,233.0,960.0,Valid,Valid,Fixation
1670031153.868836,,Eye Tracker,236.0,960.0,Valid,Valid,Fixation
1670031153.885491,,Eye Tracker,238.0,958.0,Valid,Valid,Fixation
1670031153.902145,,Eye Tracker,238.0,963.0,Valid,Valid,Fixation
1670031153.9188,,Eye Tracker,239.0,963.0,Valid,Valid,Fixation
1670031153.935455,,Eye Tracker,238.0,959.0,Valid,Valid,Fixation
1670031153.952109,,Eye Tracker,242.0,959.0,Valid,Valid,Fixation
1670031153.968764,,Eye Tracker,244.0,959.0,Valid,Valid,Fixation
1670031153.98542,,Eye Tracker,244.0,959.0,Valid,Valid,Fixation
1670031154.002074,,Eye Tracker,247.0,962.0,Valid,Valid,Fixation
