Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670028360.635,MouseEvent,,1668.0,384.0,,,Fixation
1670028360.643486,,Mouse,1667.0,387.0,,,Fixation
1670028360.660141,,Eye Tracker,1666.0,390.0,Valid,Valid,Fixation
1670028360.691951,,Eye Tracker,1673.0,392.0,Valid,Valid,Fixation
1670028360.708606,,Eye Tracker,1669.0,392.0,Valid,Valid,Fixation
1670028360.725261,,Eye Tracker,1666.0,391.0,Valid,Valid,Fixation
1670028360.741914,,Eye Tracker,1669.0,390.0,Valid,Valid,Fixation
1670028360.776647,,Eye Tracker,1667.0,394.0,Valid,Valid,Fixation
1670028360.793301,,Eye Tracker,1660.0,397.0,Valid,Valid,Fixation
1670028360.809955,,Eye Tracker,1652.0,384.0,Valid,Valid,Fixation
1670028360.826608,,Eye Tracker,1652.0,384.0,Valid,Valid,Fixation
1670028360.843262,,Eye Tracker,1654.0,396.0,Valid,Valid,Fixation
1670028360.859916,,Eye Tracker,1655.0,399.0,Valid,Valid,Fixation
1670028360.876569,,Eye Tracker,1658.0,402.0,Valid,Valid,Fixation
1670028360.893223,,Mouse,1656.5,401.5,,,Fixation
1670028360.909877,,Eye Tracker,1655.0,401.0,Valid,Valid,Fixation
1670028360.926529,,Eye Tracker,1651.0,396.0,Valid,Valid,Fixation
1670028360.943184,,Mouse,1650.0,396.5,,,Fixation
1670028360.959837,,Eye Tracker,1649.0,397.0,Valid,Valid,Fixation
1670028360.97649,,Mouse,1648.3333333333333,398.3333333333333,,,Fixation
1670028360.993144,,Mouse,1647.6666666666667,399.6666666666667,,,Fixation
1670028361.009799,,Eye Tracker,1647.0,401.0,Valid,Valid,Fixation
1670028361.026452,,Mouse,1645.5,402.0,,,Fixation
1670028361.043106,,Eye Tracker,1644.0,403.0,Valid,Valid,Fixation
1670028361.059761,,Mouse,1644.5,401.5,,,Fixation
1670028361.076414,,Eye Tracker,1645.0,400.0,Valid,Valid,Fixation
1670028361.093069,,Mouse,1644.0,401.5,,,Fixation
1670028361.109723,,Eye Tracker,1643.0,403.0,Valid,Valid,Fixation
1670028361.126377,,Eye Tracker,1640.0,405.0,Valid,Valid,Fixation
1670028361.143031,,Mouse,1639.0,405.5,,,Fixation
1670028361.159685,,Eye Tracker,1638.0,406.0,Valid,Valid,Fixation
1670028361.17634,,Mouse,1640.0,408.0,,,Fixation
1670028361.192993,,Eye Tracker,1642.0,410.0,Valid,Valid,Fixation
1670028361.209648,,Eye Tracker,1642.0,406.0,Valid,Valid,Fixation
1670028361.226302,,Eye Tracker,1643.0,405.0,Valid,Valid,Fixation
1670028361.242956,,Mouse,1627.0,402.5,,,Fixation
1670028361.25961,,Eye Tracker,1611.0,400.0,Valid,Valid,Saccade
1670028361.276264,,Mouse,1591.0,392.5,,,Saccade
1670028361.292918,,Eye Tracker,1571.0,385.0,Valid,Valid,Saccade
1670028361.309572,,Mouse,1566.0,384.6666666666667,,,Saccade
1670028361.326227,,Mouse,1561.0,384.3333333333333,,,Fixation
1670028361.34288,,Eye Tracker,1556.0,384.0,Valid,Valid,Fixation
1670028361.359535,,Mouse,1556.0,383.5,,,Fixation
1670028361.376189,,Eye Tracker,1556.0,383.0,Valid,Valid,Fixation
1670028361.392843,,Eye Tracker,1559.0,383.0,Valid,Valid,Fixation
1670028361.409497,,Mouse,1557.3333333333333,382.3333333333333,,,Fixation
1670028361.426151,,Mouse,1555.6666666666667,381.6666666666667,,,Fixation
1670028361.442806,,Eye Tracker,1554.0,381.0,Valid,Valid,Fixation
1670028361.459459,,Mouse,1551.5,380.5,,,Fixation
1670028361.476114,,Eye Tracker,1549.0,380.0,Valid,Valid,Fixation
