Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-03 10:03:11.028829,,Eye Tracker,1400.0,524.0,Valid,Valid,Fixation
2022-12-03 10:03:11.045484,,Eye Tracker,1401.0,520.0,Valid,Valid,Fixation
2022-12-03 10:03:11.062139,,Eye Tracker,1406.0,518.0,Valid,Valid,Fixation
2022-12-03 10:03:11.078793,,Eye Tracker,1412.0,516.0,Valid,Valid,Fixation
2022-12-03 10:03:11.095448,,Eye Tracker,1410.0,517.0,Valid,Valid,Fixation
2022-12-03 10:03:11.112103,,Eye Tracker,1406.0,517.0,Valid,Valid,Fixation
2022-12-03 10:03:11.128757,,Eye Tracker,1405.0,516.0,Valid,Valid,Fixation
2022-12-03 10:03:11.145412,,Eye Tracker,1404.0,513.0,Valid,Valid,Fixation
2022-12-03 10:03:11.162067,,Eye Tracker,1401.0,516.0,Valid,Valid,Fixation
2022-12-03 10:03:11.178721,,Eye Tracker,1403.0,519.0,Valid,Valid,Fixation
2022-12-03 10:03:11.195376,,Eye Tracker,1405.0,514.0,Valid,Valid,Fixation
2022-12-03 10:03:11.212031,,Eye Tracker,1403.0,517.0,Valid,Valid,Fixation
2022-12-03 10:03:11.228685,,Eye Tracker,1404.0,518.0,Valid,Valid,Fixation
2022-12-03 10:03:11.245340,,Eye Tracker,1406.0,517.0,Valid,Valid,Fixation
2022-12-03 10:03:11.261995,,Eye Tracker,1404.0,518.0,Valid,Valid,Fixation
2022-12-03 10:03:11.278650,,Eye Tracker,1401.0,522.0,Valid,Valid,Fixation
2022-12-03 10:03:11.295304,,Eye Tracker,1400.0,524.0,Valid,Valid,Fixation
2022-12-03 10:03:11.311959,,Eye Tracker,1401.0,524.0,Valid,Valid,Fixation
2022-12-03 10:03:11.328614,,Eye Tracker,1401.0,523.0,Valid,Valid,Fixation
2022-12-03 10:03:11.345269,,Eye Tracker,1403.0,519.0,Valid,Valid,Fixation
2022-12-03 10:03:11.361924,,Eye Tracker,1404.0,517.0,Valid,Valid,Fixation
2022-12-03 10:03:11.378579,,Eye Tracker,1404.0,514.0,Valid,Valid,Fixation
2022-12-03 10:03:11.395233,,Eye Tracker,1404.0,514.0,Valid,Valid,Fixation
2022-12-03 10:03:11.411888,,Eye Tracker,1404.0,521.0,Valid,Valid,Fixation
2022-12-03 10:03:11.428543,,Eye Tracker,1402.0,520.0,Valid,Valid,Fixation
2022-12-03 10:03:11.445197,,Eye Tracker,1400.0,523.0,Valid,Valid,Fixation
2022-12-03 10:03:11.461852,,Eye Tracker,1401.0,523.0,Valid,Valid,Fixation
2022-12-03 10:03:11.478507,,Eye Tracker,1400.0,516.0,Valid,Valid,Fixation
2022-12-03 10:03:11.495160,,Eye Tracker,1399.0,517.0,Valid,Valid,Fixation
2022-12-03 10:03:11.511815,,Eye Tracker,1400.0,518.0,Valid,Valid,Fixation
2022-12-03 10:03:11.528470,,Eye Tracker,1398.0,521.0,Valid,Valid,Fixation
2022-12-03 10:03:11.545125,,Eye Tracker,1400.0,521.0,Valid,Valid,Fixation
2022-12-03 10:03:11.561779,,Eye Tracker,1400.0,522.0,Valid,Valid,Fixation
2022-12-03 10:03:11.578435,,Eye Tracker,1397.0,524.0,Valid,Valid,Fixation
2022-12-03 10:03:11.595090,,Eye Tracker,1394.0,525.0,Valid,Valid,Fixation
2022-12-03 10:03:11.611744,,Eye Tracker,1394.0,519.0,Valid,Valid,Fixation
2022-12-03 10:03:11.628399,,Eye Tracker,1396.0,519.0,Valid,Valid,Fixation
2022-12-03 10:03:11.645054,,Eye Tracker,1393.0,522.0,Valid,Valid,Fixation
2022-12-03 10:03:11.661708,,Eye Tracker,1396.0,518.0,Valid,Valid,Fixation
2022-12-03 10:03:11.678363,,Eye Tracker,1400.0,520.0,Valid,Valid,Fixation
2022-12-03 10:03:11.695018,,Eye Tracker,1399.0,523.0,Valid,Valid,Fixation
2022-12-03 10:03:11.711672,,Eye Tracker,1397.0,525.0,Valid,Valid,Fixation
2022-12-03 10:03:11.728327,,Eye Tracker,1394.0,530.0,Valid,Valid,Fixation
2022-12-03 10:03:11.744982,,Eye Tracker,1393.0,531.0,Valid,Valid,Fixation
2022-12-03 10:03:11.761636,,Eye Tracker,1398.0,533.0,Valid,Valid,Fixation
2022-12-03 10:03:11.778291,,Eye Tracker,1399.0,530.0,Valid,Valid,Fixation
2022-12-03 10:03:11.794946,,Eye Tracker,1401.0,526.0,Valid,Valid,Fixation
2022-12-03 10:03:11.811601,,Eye Tracker,1400.0,529.0,Valid,Valid,Fixation
2022-12-03 10:03:11.828255,,Eye Tracker,1399.0,528.0,Valid,Valid,Fixation
2022-12-03 10:03:11.844910,,Eye Tracker,1401.0,527.0,Valid,Valid,Fixation
2022-12-03 10:03:11.861566,,Eye Tracker,1400.0,525.0,Valid,Valid,Fixation
2022-12-03 10:03:11.878220,,Eye Tracker,1398.0,524.0,Valid,Valid,Fixation
2022-12-03 10:03:11.894875,,Eye Tracker,1398.0,526.0,Valid,Valid,Fixation
2022-12-03 10:03:11.911530,,Eye Tracker,1399.0,527.0,Valid,Valid,Fixation
