Recording timestamp,Position X,Position Y
1670285126.321643,1862.0,50.0
1670285126.37158,1861.0,50.0
1670285126.381311,1860.0,50.0
1670285126.390288,1860.0,51.0
1670285126.411623,1859.0,51.0
1670285126.420966,1858.0,52.0
1670285126.429972,1857.0,52.0
1670285126.440522,1855.0,52.0
1670285126.451642,1854.0,53.0
1670285126.460642,1852.0,53.0
1670285126.471417,1849.0,54.0
1670285126.480917,1846.0,55.0
1670285126.490834,1844.0,55.0
1670285126.502048,1842.0,55.0
1670285126.511677,1840.0,55.0
1670285126.520001,1836.0,55.0
1670285126.531192,1834.0,56.0
1670285126.541228,1832.0,57.0
1670285126.550727,1830.0,58.0
1670285126.559718,1828.0,58.0
1670285126.571181,1828.0,59.0
1670285126.582364,1825.0,59.0
1670285126.59114,1824.0,59.0
1670285126.60126,1821.0,59.0
1670285126.612467,1817.0,61.0
1670285126.622328,1815.0,61.0
1670285126.632711,1812.0,61.0
1670285126.643416,1808.0,63.0
1670285126.651997,1805.0,63.0
1670285126.661583,1802.0,63.0
1670285126.671864,1798.0,63.0
1670285126.682869,1795.0,63.0
1670285126.691625,1792.0,63.0
1670285126.701899,1788.0,63.0
1670285126.712542,1784.0,63.0
1670285126.722297,1781.0,63.0
1670285126.730632,1775.0,63.0
1670285126.74191,1770.0,63.0
1670285126.752074,1764.0,63.0
1670285126.76187,1757.0,63.0
1670285126.772103,1752.0,63.0
1670285126.782754,1746.0,63.0
1670285126.792711,1738.0,63.0
1670285126.802938,1730.0,63.0
1670285126.813208,1722.0,63.0
1670285126.822519,1714.0,63.0
1670285126.833688,1708.0,63.0
1670285126.843942,1700.0,63.0
1670285126.85294,1691.0,63.0
1670285126.862211,1683.0,63.0
1670285126.873021,1674.0,63.0
1670285126.882998,1666.0,63.0
1670285126.892871,1656.0,63.0
1670285126.902091,1646.0,63.0
1670285126.913129,1638.0,63.0
1670285126.923512,1628.0,63.0
1670285126.932753,1619.0,63.0
1670285126.941783,1609.0,63.0
1670285126.951873,1603.0,63.0
1670285126.963168,1594.0,63.0
1670285126.973211,1589.0,63.0
1670285126.983452,1582.0,63.0
1670285126.991758,1574.0,63.0
1670285127.002979,1569.0,63.0
1670285127.013061,1563.0,63.0
1670285127.022861,1559.0,63.0
1670285127.032178,1555.0,63.0
1670285127.043384,1551.0,63.0
1670285127.05369,1547.0,63.0
1670285127.062985,1544.0,63.0
1670285127.072248,1538.0,63.0
1670285127.083641,1533.0,63.0
1670285127.092644,1526.0,63.0
1670285127.103611,1520.0,63.0
1670285127.112729,1514.0,63.0
1670285127.12384,1506.0,63.0
1670285127.134004,1500.0,63.0
1670285127.144295,1493.0,63.0
1670285127.154385,1488.0,63.0
1670285127.163628,1483.0,63.0
1670285127.174626,1478.0,63.0
1670285127.184245,1473.0,63.0
1670285127.194575,1467.0,63.0
1670285127.203607,1463.0,63.0
1670285127.214025,1458.0,63.0
1670285127.224199,1451.0,63.0
1670285127.234429,1445.0,63.0
1670285127.242851,1438.0,63.0
1670285127.253943,1433.0,63.0
1670285127.263975,1428.0,63.0
1670285127.274391,1423.0,63.0
1670285127.284255,1419.0,63.0
1670285127.295575,1416.0,63.0
1670285127.305276,1412.0,63.0
1670285127.314629,1410.0,62.0
1670285127.334798,1408.0,62.0
1670285127.344914,1407.0,62.0
1670285127.355304,1404.0,61.0
1670285127.365186,1402.0,61.0
1670285127.374611,1399.0,61.0
1670285127.385176,1398.0,61.0
1670285127.395592,1395.0,61.0
1670285127.405069,1393.0,60.0
1670285127.414716,1390.0,60.0
1670285127.424714,1385.0,60.0
1670285127.434883,1379.0,58.0
1670285127.44512,1372.0,58.0
1670285127.454451,1367.0,58.0
1670285127.464457,1363.0,58.0
1670285127.475031,1360.0,58.0
1670285127.485395,1359.0,58.0
1670285127.495487,1357.0,58.0
1670285127.503799,1355.0,58.0
1670285127.514982,1354.0,58.0
1670285127.525011,1351.0,58.0
1670285127.535716,1348.0,59.0
1670285127.543894,1343.0,59.0
1670285127.554896,1341.0,60.0
1670285127.565085,1339.0,62.0
1670285127.575217,1337.0,62.0
1670285127.584422,1335.0,64.0
1670285127.595497,1333.0,65.0
1670285127.604968,1331.0,65.0
1670285127.615535,1330.0,66.0
1670285127.625229,1328.0,68.0
1670285127.635783,1327.0,69.0
1670285127.645782,1325.0,71.0
1670285127.655822,1325.0,72.0
1670285127.666401,1324.0,73.0
1670285127.675443,1324.0,75.0
1670285127.686451,1323.0,76.0
1670285127.696015,1323.0,77.0
1670285127.70593,1322.0,78.0
1670285127.714906,1322.0,79.0
1670285127.7263,1322.0,80.0
1670285127.736174,1322.0,82.0
1670285127.746184,1322.0,83.0
1670285127.76591,1322.0,84.0
1670285127.785958,1322.0,85.0
1670285127.796603,1321.0,87.0
1670285127.807632,1321.0,88.0
1670285127.816853,1320.0,90.0
1670285127.827489,1319.0,92.0
1670285127.836792,1319.0,94.0
1670285127.846949,1319.0,97.0
1670285127.857184,1319.0,99.0
1670285127.866799,1319.0,101.0
1670285127.877111,1318.0,105.0
1670285127.886381,1317.0,107.0
1670285127.897868,1316.0,110.0
1670285127.906828,1315.0,113.0
1670285127.917174,1315.0,117.0
1670285127.926515,1313.0,119.0
1670285127.937551,1313.0,123.0
1670285127.946854,1312.0,125.0
1670285127.957405,1311.0,128.0
1670285127.965993,1310.0,131.0
1670285127.977328,1309.0,134.0
1670285127.9873,1309.0,136.0
1670285127.99742,1309.0,139.0
1670285128.007385,1308.0,141.0
1670285128.017297,1308.0,143.0
1670285128.027188,1308.0,144.0
1670285128.037179,1306.0,147.0
1670285128.046902,1306.0,149.0
1670285128.056046,1306.0,152.0
1670285128.067081,1306.0,154.0
1670285128.077533,1305.0,158.0
1670285128.086878,1305.0,162.0
1670285128.096113,1304.0,167.0
1670285128.107067,1304.0,171.0
1670285128.117234,1303.0,177.0
1670285128.127539,1302.0,182.0
1670285128.136758,1301.0,188.0
1670285128.148028,1300.0,195.0
1670285128.158424,1300.0,202.0
1670285128.168542,1300.0,207.0
1670285128.177817,1299.0,214.0
1670285128.187786,1298.0,222.0
1670285128.19785,1297.0,228.0
1670285128.207892,1297.0,233.0
1670285128.218077,1295.0,241.0
1670285128.226776,1294.0,249.0
1670285128.237809,1294.0,257.0
1670285128.247995,1293.0,265.0
1670285128.258575,1293.0,274.0
1670285128.267502,1293.0,282.0
1670285128.278463,1293.0,290.0
1670285128.288504,1293.0,297.0
1670285128.29803,1293.0,305.0
1670285128.308106,1293.0,310.0
1670285128.319411,1293.0,318.0
1670285128.329539,1291.0,324.0
1670285128.339627,1291.0,331.0
1670285128.349135,1290.0,338.0
1670285128.359136,1290.0,345.0
1670285128.369334,1290.0,349.0
1670285128.379208,1290.0,354.0
1670285128.389214,1290.0,361.0
1670285128.398762,1290.0,366.0
1670285128.409061,1290.0,370.0
1670285128.418823,1290.0,377.0
1670285128.428891,1290.0,382.0
1670285128.438174,1290.0,390.0
1670285128.449243,1291.0,393.0
1670285128.459687,1292.0,397.0
1670285128.468686,1292.0,399.0
1670285128.477973,1294.0,405.0
1670285128.489369,1294.0,407.0
1670285128.499634,1294.0,409.0
1670285128.508987,1294.0,411.0
1670285128.518987,1295.0,414.0
1670285128.529466,1297.0,418.0
1670285128.538646,1298.0,420.0
1670285128.549676,1298.0,423.0
1670285128.558903,1299.0,425.0
1670285128.568627,1301.0,429.0
1670285128.579594,1302.0,430.0
1670285128.589096,1304.0,435.0
1670285128.598985,1305.0,437.0
1670285128.607984,1305.0,439.0
1670285128.619598,1307.0,442.0
1670285128.628839,1308.0,443.0
1670285128.638974,1309.0,447.0
1670285128.648973,1311.0,449.0
1670285128.659863,1312.0,452.0
1670285128.670049,1315.0,454.0
1670285128.6806,1318.0,454.0
1670285128.690102,1320.0,456.0
1670285128.700177,1321.0,457.0
1670285128.710523,1323.0,458.0
1670285128.719821,1326.0,459.0
1670285128.729859,1327.0,459.0
1670285128.739884,1331.0,459.0
1670285128.750047,1336.0,460.0
1670285128.761213,1340.0,462.0
1670285128.769848,1347.0,463.0
1670285128.779018,1353.0,463.0
1670285128.790538,1356.0,463.0
1670285128.800393,1360.0,463.0
1670285128.810273,1363.0,463.0
1670285128.820414,1365.0,463.0
1670285128.830927,1368.0,463.0
1670285128.840927,1372.0,463.0
1670285128.851212,1375.0,463.0
1670285128.861459,1379.0,463.0
1670285128.87148,1384.0,463.0
1670285128.881196,1385.0,463.0
1670285128.890923,1387.0,463.0
1670285128.900918,1389.0,463.0
1670285128.911115,1390.0,464.0
1670285128.921954,1395.0,465.0
1670285128.931259,1399.0,465.0
1670285128.940786,1407.0,466.0
1670285128.950441,1413.0,468.0
1670285128.96069,1421.0,469.0
1670285128.970709,1430.0,470.0
1670285128.981691,1437.0,471.0
1670285128.99009,1446.0,472.0
1670285129.001089,1454.0,473.0
1670285129.011547,1464.0,475.0
1670285129.021315,1476.0,477.0
1670285129.031083,1487.0,478.0
1670285129.04087,1496.0,479.0
1670285129.051312,1503.0,480.0
1670285129.061328,1509.0,481.0
1670285129.071468,1516.0,482.0
1670285129.080812,1524.0,483.0
1670285129.091115,1531.0,484.0
1670285129.101113,1541.0,485.0
1670285129.111223,1550.0,489.0
1670285129.120601,1558.0,490.0
1670285129.131577,1566.0,490.0
1670285129.141872,1575.0,492.0
1670285129.150922,1583.0,493.0
1670285129.160921,1593.0,493.0
1670285129.172199,1601.0,493.0
1670285129.182429,1607.0,494.0
1670285129.19201,1613.0,494.0
1670285129.2017,1617.0,494.0
1670285129.222146,1621.0,494.0
1670285129.232003,1624.0,494.0
1670285129.242107,1626.0,493.0
1670285129.252495,1629.0,492.0
1670285129.261662,1631.0,492.0
1670285129.272577,1633.0,491.0
1670285129.282069,1635.0,491.0
1670285129.29074,1636.0,490.0
1670285129.312154,1638.0,490.0
1670285129.322509,1639.0,489.0
1670285129.412921,1640.0,488.0
1670285129.443244,1641.0,487.0
1670285129.452864,1642.0,486.0
1670285129.462938,1643.0,485.0
1670285129.473391,1644.0,485.0
1670285129.483563,1646.0,485.0
1670285129.492646,1647.0,484.0
1670285129.501849,1650.0,484.0
1670285129.513864,1653.0,483.0
1670285129.523907,1658.0,483.0
1670285129.533089,1664.0,482.0
1670285129.543191,1672.0,481.0
1670285129.552882,1679.0,481.0
1670285129.56299,1685.0,481.0
1670285129.573211,1693.0,481.0
1670285129.583317,1701.0,481.0
1670285129.593519,1709.0,481.0
1670285129.603097,1718.0,481.0
1670285129.613097,1725.0,481.0
1670285129.622932,1732.0,480.0
1670285129.633133,1738.0,480.0
1670285129.643238,1741.0,480.0
1670285129.652887,1744.0,480.0
1670285129.663435,1746.0,480.0
1670285129.672953,1749.0,480.0
1670285129.68437,1753.0,480.0
1670285129.694456,1759.0,480.0
1670285129.703804,1763.0,481.0
1670285129.714773,1770.0,481.0
1670285129.724341,1774.0,482.0
1670285129.734404,1777.0,483.0
1670285129.744334,1778.0,483.0
1670285129.754676,1780.0,483.0
1670285129.763715,1782.0,483.0
1670285129.774715,1785.0,484.0
1670285129.784434,1787.0,485.0
1670285129.794595,1790.0,485.0
1670285129.814791,1792.0,485.0
1670285129.885535,1793.0,486.0
1670285129.894826,1794.0,486.0
1670285129.935348,1795.0,487.0
1670285129.944836,1795.0,488.0
1670285129.954979,1796.0,489.0
1670285129.9648,1796.0,490.0
1670285129.975771,1797.0,493.0
1670285129.984967,1797.0,494.0
1670285129.994489,1798.0,497.0
1670285130.005859,1799.0,500.0
1670285130.01493,1799.0,503.0
1670285130.024893,1800.0,506.0
1670285130.034921,1801.0,510.0
1670285130.045271,1801.0,511.0
1670285130.0549,1802.0,513.0
1670285130.06555,1802.0,515.0
1670285130.074888,1802.0,516.0
1670285130.085191,1802.0,518.0
1670285130.09523,1803.0,520.0
1670285130.105022,1804.0,522.0
1670285130.114913,1805.0,526.0
1670285130.12552,1806.0,528.0
1670285130.135525,1808.0,533.0
1670285130.145039,1809.0,535.0
1670285130.155445,1810.0,538.0
1670285130.164441,1813.0,541.0
1670285130.175909,1816.0,545.0
