Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1670285196.3020191,MouseEvent,,1994.6666666666667,990.3333333333334,,,Fixation,,,MouseEvent,"Down, Left"
1670285196.3020191,,Mouse,1995.3333333333333,989.6666666666666,,,Fixation,1878.0,1018.0,,
1670285196.308654,,Eye Tracker,1996.0,989.0,Valid,Valid,Fixation,,,,
1670285196.325309,,Eye Tracker,2001.0,987.0,Valid,Valid,Fixation,,,,
1670285196.341963,,Eye Tracker,1998.0,980.0,Valid,Valid,Fixation,,,,
1670285196.358618,,Eye Tracker,1990.0,977.0,Valid,Valid,Fixation,,,,
1670285196.375274,,Eye Tracker,1989.0,982.0,Valid,Valid,Fixation,,,,
1670285196.391928,,Eye Tracker,1985.0,982.0,Valid,Valid,Fixation,,,,
1670285196.408583,,Eye Tracker,1985.0,980.0,Valid,Valid,Fixation,,,,
1670285196.4252381,,Eye Tracker,1989.0,979.0,Valid,Valid,Fixation,,,,
1670285196.4418921,,Eye Tracker,1994.0,977.0,Valid,Valid,Fixation,,,,
1670285196.458547,,Eye Tracker,1992.0,977.0,Valid,Valid,Fixation,,,,
1670285196.475202,,Eye Tracker,1987.0,978.0,Valid,Valid,Fixation,,,,
1670285196.491857,,Eye Tracker,1988.0,978.0,Valid,Valid,Fixation,,,,
1670285196.508511,,Eye Tracker,1986.0,984.0,Valid,Valid,Fixation,,,,
1670285196.525166,,Eye Tracker,1985.0,986.0,Valid,Valid,Fixation,,,,
1670285196.541821,,Eye Tracker,1991.0,978.0,Valid,Valid,Fixation,,,,
1670285196.558475,,Eye Tracker,1992.0,974.0,Valid,Valid,Fixation,,,,
1670285196.57513,,Eye Tracker,1995.0,974.0,Valid,Valid,Fixation,,,,
1670285196.5917861,,Eye Tracker,2003.0,971.0,Valid,Valid,Fixation,,,,
1670285196.6084402,,Eye Tracker,2004.0,969.0,Valid,Valid,Fixation,,,,
1670285196.6250951,,Eye Tracker,2000.0,971.0,Valid,Valid,Fixation,,,,
1670285196.64175,,Eye Tracker,1999.0,977.0,Valid,Valid,Fixation,,,,
1670285196.658404,,Eye Tracker,2001.0,979.0,Valid,Valid,Fixation,,,,
1670285196.671932,,Mouse,2003.0,980.0,,,Fixation,1878.0,1018.0,,
1670285196.675059,,Eye Tracker,2005.0,981.0,Valid,Valid,Fixation,,,,
1670285196.682941,,Mouse,2006.0,981.0,,,Fixation,1877.0,1018.0,,
1670285196.691714,,Eye Tracker,2007.0,981.0,Valid,Valid,Fixation,,,,
1670285196.693132,,Mouse,2004.5,983.0,,,Fixation,1876.0,1018.0,,
1670285196.708368,,Eye Tracker,2002.0,985.0,Valid,Valid,Fixation,,,,
1670285196.711942,,Mouse,1994.6666666666667,983.0,,,Fixation,1873.0,1018.0,,
1670285196.722927,,Mouse,1987.3333333333333,981.0,,,Fixation,1873.0,1018.0,,
1670285196.725023,,Eye Tracker,1980.0,979.0,Valid,Valid,Fixation,,,,
1670285196.741678,,Eye Tracker,1956.0,970.0,Valid,Valid,Fixation,,,,
1670285196.743022,,Mouse,1956.5,969.0,,,Fixation,1869.0,1018.0,,
1670285196.758333,,Eye Tracker,1957.0,968.0,Valid,Valid,Fixation,,,,
1670285196.763863,,Mouse,1956.6666666666667,968.3333333333334,,,Fixation,1862.0,1018.0,,
1670285196.774003,,Mouse,1956.3333333333333,968.6666666666666,,,Fixation,1859.0,1018.0,,
1670285196.774987,,Eye Tracker,1956.0,969.0,Valid,Valid,Fixation,,,,
1670285196.7916431,,Eye Tracker,1950.0,970.0,Valid,Valid,Fixation,,,,
1670285196.792844,,Mouse,1950.3333333333333,970.6666666666666,,,Fixation,1853.0,1018.0,,
1670285196.80397,,Mouse,1950.6666666666667,971.3333333333334,,,Fixation,1851.0,1018.0,,
1670285196.808298,,Eye Tracker,1951.0,972.0,Valid,Valid,Fixation,,,,
1670285196.814136,,Mouse,1951.5,973.0,,,Fixation,1849.0,1018.0,,
1670285196.8249521,,Eye Tracker,1952.0,974.0,Valid,Valid,Fixation,,,,
1670285196.8328571,,Mouse,1950.0,974.5,,,Fixation,1844.0,1018.0,,
1670285196.841607,,Eye Tracker,1948.0,975.0,Valid,Valid,Fixation,,,,
1670285196.843816,,Mouse,1948.6666666666667,976.0,,,Fixation,1840.0,1016.0,,
1670285196.853879,,Mouse,1949.3333333333333,977.0,,,Fixation,1839.0,1016.0,,
1670285196.858262,,Eye Tracker,1950.0,978.0,Valid,Valid,Fixation,,,,
1670285196.8729331,,Mouse,1947.5,976.5,,,Fixation,1834.0,1015.0,,
1670285196.874916,,Eye Tracker,1945.0,975.0,Valid,Valid,Fixation,,,,
1670285196.883025,,Mouse,1941.5,974.0,,,Fixation,1830.0,1015.0,,
1670285196.891571,,Eye Tracker,1938.0,973.0,Valid,Valid,Fixation,,,,
1670285196.893893,,Mouse,1937.6666666666667,974.0,,,Fixation,1828.0,1015.0,,
1670285196.903915,,Mouse,1937.3333333333333,975.0,,,Fixation,1826.0,1015.0,,
1670285196.908226,,Eye Tracker,1937.0,976.0,Valid,Valid,Fixation,,,,
1670285196.9229062,,Mouse,1935.5,977.5,,,Fixation,1822.0,1015.0,,
1670285196.92488,,Eye Tracker,1934.0,979.0,Valid,Valid,Fixation,,,,
1670285196.9339411,,Mouse,1933.5,980.0,,,Fixation,1821.0,1015.0,,
1670285196.941535,,Eye Tracker,1933.0,981.0,Valid,Valid,Fixation,,,,
1670285196.953915,,Mouse,1931.5,980.5,,,Fixation,1818.0,1015.0,,
1670285196.9581912,,Eye Tracker,1930.0,980.0,Valid,Valid,Fixation,,,,
1670285196.973923,,Mouse,1928.5,979.0,,,Fixation,1813.0,1013.0,,
1670285196.974845,,Eye Tracker,1927.0,978.0,Valid,Valid,Fixation,,,,
1670285196.9915001,,Eye Tracker,1920.0,980.0,Valid,Valid,Fixation,,,,
1670285196.993933,,Mouse,1919.0,978.5,,,Fixation,1807.0,1013.0,,
1670285197.008155,,Eye Tracker,1918.0,977.0,Valid,Valid,Fixation,,,,
1670285197.0128791,,Mouse,1916.6666666666667,975.6666666666666,,,Fixation,1801.0,1013.0,,
1670285197.023878,,Mouse,1915.3333333333333,974.3333333333334,,,Fixation,1796.0,1013.0,,
1670285197.02481,,Eye Tracker,1914.0,973.0,Valid,Valid,Fixation,,,,
1670285197.034007,,Mouse,1912.0,974.0,,,Fixation,1792.0,1013.0,,
1670285197.041464,,Eye Tracker,1910.0,975.0,Valid,Valid,Fixation,,,,
1670285197.052889,,Mouse,1908.5,975.0,,,Fixation,1784.0,1013.0,,
1670285197.058119,,Eye Tracker,1907.0,975.0,Valid,Valid,Fixation,,,,
1670285197.0638971,,Mouse,1905.6666666666667,975.0,,,Fixation,1781.0,1013.0,,
1670285197.074141,,Mouse,1904.3333333333333,975.0,,,Fixation,1778.0,1013.0,,
1670285197.074774,,Eye Tracker,1903.0,975.0,Valid,Valid,Fixation,,,,
1670285197.091428,,Eye Tracker,1898.0,973.0,Valid,Valid,Fixation,,,,
1670285197.0941541,,Mouse,1897.0,973.0,,,Fixation,1773.0,1013.0,,
1670285197.1051261,,Mouse,1896.0,973.0,,,Fixation,1769.0,1013.0,,
1670285197.108083,,Eye Tracker,1895.0,973.0,Valid,Valid,Fixation,,,,
1670285197.124738,,Eye Tracker,1887.0,974.0,Valid,Valid,Fixation,,,,
1670285197.12489,,Mouse,1883.5,973.0,,,Fixation,1760.0,1014.0,,
1670285197.141392,,Eye Tracker,1880.0,972.0,Valid,Valid,Fixation,,,,
1670285197.1449912,,Mouse,1877.0,971.0,,,Fixation,1753.0,1015.0,,
1670285197.158047,,Eye Tracker,1874.0,970.0,Valid,Valid,Fixation,,,,
1670285197.1648262,,Mouse,1870.5,969.5,,,Fixation,1744.0,1016.0,,
1670285197.1747031,,Eye Tracker,1867.0,969.0,Valid,Valid,Fixation,,,,
1670285197.18488,,Mouse,1864.0,969.0,,,Fixation,1737.0,1016.0,,
1670285197.1913571,,Eye Tracker,1861.0,969.0,Valid,Valid,Fixation,,,,
1670285197.194897,,Mouse,1857.0,969.6666666666666,,,Fixation,1734.0,1016.0,,
1670285197.205152,,Mouse,1853.0,970.3333333333334,,,Fixation,1729.0,1016.0,,
1670285197.208012,,Eye Tracker,1849.0,971.0,Valid,Valid,Fixation,,,,
1670285197.223845,,Mouse,1844.0,971.0,,,Fixation,1722.0,1016.0,,
1670285197.224667,,Eye Tracker,1839.0,971.0,Valid,Valid,Fixation,,,,
1670285197.2350152,,Mouse,1836.5,971.5,,,Fixation,1716.0,1016.0,,
1670285197.241321,,Eye Tracker,1834.0,972.0,Valid,Valid,Fixation,,,,
1670285197.245142,,Mouse,1833.0,973.0,,,Fixation,1710.0,1016.0,,
1670285197.257976,,Eye Tracker,1832.0,974.0,Valid,Valid,Fixation,,,,
1670285197.264902,,Mouse,1831.0,975.0,,,Fixation,1694.0,1016.0,,
1670285197.274631,,Eye Tracker,1830.0,976.0,Valid,Valid,Fixation,,,,
1670285197.275888,,Mouse,1825.0,976.0,,,Fixation,1685.0,1017.0,,
1670285197.291286,,Eye Tracker,1820.0,976.0,Valid,Valid,Fixation,,,,
1670285197.295885,,Mouse,1814.0,974.0,,,Fixation,1663.0,1021.0,,
1670285197.30794,,Eye Tracker,1808.0,972.0,Valid,Valid,Fixation,,,,
1670285197.3158782,,Mouse,1802.5,972.0,,,Fixation,1642.0,1022.0,,
1670285197.324595,,Eye Tracker,1797.0,972.0,Valid,Valid,Fixation,,,,
1670285197.336283,,Mouse,1795.0,972.5,,,Fixation,1624.0,1022.0,,
1670285197.34125,,Eye Tracker,1793.0,973.0,Valid,Valid,Fixation,,,,
1670285197.355875,,Mouse,1789.0,972.0,,,Fixation,1607.0,1022.0,,
1670285197.357904,,Eye Tracker,1785.0,971.0,Valid,Valid,Fixation,,,,
1670285197.365926,,Mouse,1782.0,971.0,,,Fixation,1598.0,1022.0,,
1670285197.374559,,Eye Tracker,1779.0,971.0,Valid,Valid,Fixation,,,,
1670285197.384879,,Mouse,1774.5,972.5,,,Fixation,1586.0,1022.0,,
1670285197.391215,,Eye Tracker,1770.0,974.0,Valid,Valid,Fixation,,,,
1670285197.394907,,Mouse,1769.3333333333333,975.3333333333334,,,Fixation,1582.0,1022.0,,
1670285197.406003,,Mouse,1768.6666666666667,976.6666666666666,,,Fixation,1577.0,1022.0,,
1670285197.407869,,Eye Tracker,1768.0,978.0,Valid,Valid,Fixation,,,,
1670285197.424524,,Eye Tracker,1763.0,976.0,Valid,Valid,Fixation,,,,
1670285197.425146,,Mouse,1743.0,974.5,,,Fixation,1570.0,1024.0,,
1670285197.441179,,Eye Tracker,1723.0,973.0,Valid,Valid,Saccade,,,,
1670285197.4458811,,Mouse,1677.5,965.0,,,Saccade,1562.0,1025.0,,
1670285197.457833,,Eye Tracker,1632.0,957.0,Valid,Valid,Saccade,,,,
1670285197.466128,,Mouse,1614.0,951.0,,,Saccade,1553.0,1026.0,,
1670285197.474488,,Eye Tracker,1596.0,945.0,Valid,Valid,Saccade,,,,
1670285197.4858751,,Mouse,1589.5,946.0,,,Fixation,1546.0,1026.0,,
1670285197.491143,,Eye Tracker,1583.0,947.0,Valid,Valid,Fixation,,,,
1670285197.496004,,Mouse,1580.0,950.0,,,Fixation,1541.0,1026.0,,
1670285197.507797,,Eye Tracker,1577.0,953.0,Valid,Valid,Fixation,,,,
1670285197.514847,,Mouse,1577.0,957.5,,,Fixation,1532.0,1026.0,,
1670285197.524452,,Eye Tracker,1577.0,962.0,Valid,Valid,Fixation,,,,
1670285197.525924,,Mouse,1576.0,962.3333333333334,,,Fixation,1528.0,1026.0,,
1670285197.535934,,Mouse,1575.0,962.6666666666666,,,Fixation,1521.0,1026.0,,
1670285197.5411081,,Eye Tracker,1574.0,963.0,Valid,Valid,Fixation,,,,
1670285197.554888,,Mouse,1575.0,963.5,,,Fixation,1510.0,1026.0,,
1670285197.557763,,Eye Tracker,1576.0,964.0,Valid,Valid,Fixation,,,,
1670285197.565028,,Mouse,1576.0,964.5,,,Fixation,1503.0,1026.0,,
1670285197.574417,,Eye Tracker,1576.0,965.0,Valid,Valid,Fixation,,,,
1670285197.575903,,Mouse,1573.5,967.0,,,Fixation,1498.0,1026.0,,
1670285197.591072,,Eye Tracker,1571.0,969.0,Valid,Valid,Fixation,,,,
1670285197.595835,,Mouse,1570.0,968.6666666666666,,,Fixation,1489.0,1026.0,,
1670285197.606035,,Mouse,1569.0,968.3333333333334,,,Fixation,1484.0,1026.0,,
1670285197.607727,,Eye Tracker,1568.0,968.0,Valid,Valid,Fixation,,,,
1670285197.617057,,Mouse,1564.5,967.0,,,Fixation,1478.0,1026.0,,
1670285197.624381,,Eye Tracker,1561.0,966.0,Valid,Valid,Fixation,,,,
1670285197.637159,,Mouse,1560.5,965.0,,,Fixation,1468.0,1026.0,,
1670285197.641036,,Eye Tracker,1560.0,964.0,Valid,Valid,Fixation,,,,
1670285197.6568902,,Mouse,1558.5,963.5,,,Fixation,1461.0,1026.0,,
1670285197.657691,,Eye Tracker,1557.0,963.0,Valid,Valid,Fixation,,,,
1670285197.667119,,Mouse,1555.0,963.0,,,Fixation,1458.0,1026.0,,
1670285197.674346,,Eye Tracker,1553.0,963.0,Valid,Valid,Fixation,,,,
1670285197.68589,,Mouse,1551.5,963.0,,,Fixation,1454.0,1026.0,,
1670285197.691001,,Eye Tracker,1550.0,963.0,Valid,Valid,Fixation,,,,
1670285197.696934,,Mouse,1548.6666666666667,963.3333333333334,,,Fixation,1451.0,1026.0,,
1670285197.707015,,Mouse,1547.3333333333333,963.6666666666666,,,Fixation,1449.0,1026.0,,
