Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-06 09:07:54.652335,,Eye Tracker,548.0,583.0,Valid,Valid,Fixation
2022-12-06 09:07:54.668990,,Eye Tracker,551.0,582.0,Valid,Valid,Fixation
2022-12-06 09:07:54.685645,,Eye Tracker,551.0,579.0,Valid,Valid,Fixation
2022-12-06 09:07:54.702299,,Eye Tracker,548.0,578.0,Valid,Valid,Fixation
2022-12-06 09:07:54.718954,,Eye Tracker,547.0,577.0,Valid,Valid,Fixation
2022-12-06 09:07:54.735609,,Eye Tracker,545.0,576.0,Valid,Valid,Fixation
2022-12-06 09:07:54.752263,,Eye Tracker,545.0,574.0,Valid,Valid,Fixation
2022-12-06 09:07:54.768918,,Eye Tracker,549.0,577.0,Valid,Valid,Fixation
2022-12-06 09:07:54.785573,,Eye Tracker,548.0,578.0,Valid,Valid,Fixation
2022-12-06 09:07:54.802227,,Eye Tracker,550.0,578.0,Valid,Valid,Fixation
2022-12-06 09:07:54.818883,,Eye Tracker,553.0,578.0,Valid,Valid,Fixation
2022-12-06 09:07:54.835538,,Eye Tracker,556.0,581.0,Valid,Valid,Fixation
2022-12-06 09:07:54.852192,,Eye Tracker,552.0,581.0,Valid,Valid,Fixation
2022-12-06 09:07:54.868847,,Eye Tracker,552.0,580.0,Valid,Valid,Fixation
2022-12-06 09:07:54.885502,,Eye Tracker,555.0,583.0,Valid,Valid,Fixation
2022-12-06 09:07:54.902156,,Eye Tracker,556.0,587.0,Valid,Valid,Fixation
2022-12-06 09:07:54.918811,,Eye Tracker,551.0,586.0,Valid,Valid,Fixation
2022-12-06 09:07:54.935466,,Eye Tracker,549.0,583.0,Valid,Valid,Fixation
2022-12-06 09:07:54.952121,,Eye Tracker,550.0,579.0,Valid,Valid,Fixation
2022-12-06 09:07:54.968775,,Eye Tracker,553.0,581.0,Valid,Valid,Fixation
2022-12-06 09:07:54.985431,,Eye Tracker,555.0,582.0,Valid,Valid,Fixation
2022-12-06 09:07:55.002086,,Eye Tracker,553.0,583.0,Valid,Valid,Fixation
2022-12-06 09:07:55.018740,,Eye Tracker,553.0,584.0,Valid,Valid,Fixation
2022-12-06 09:07:55.035395,,Eye Tracker,551.0,583.0,Valid,Valid,Fixation
2022-12-06 09:07:55.052050,,Eye Tracker,551.0,584.0,Valid,Valid,Fixation
2022-12-06 09:07:55.068704,,Eye Tracker,547.0,581.0,Valid,Valid,Fixation
2022-12-06 09:07:55.085360,,Eye Tracker,545.0,580.0,Valid,Valid,Fixation
2022-12-06 09:07:55.102015,,Eye Tracker,545.0,579.0,Valid,Valid,Fixation
2022-12-06 09:07:55.118669,,Eye Tracker,549.0,583.0,Valid,Valid,Fixation
2022-12-06 09:07:55.135324,,Eye Tracker,552.0,595.0,Valid,Valid,Fixation
2022-12-06 09:07:55.151979,,Eye Tracker,553.0,606.0,Valid,Valid,Fixation
2022-12-06 09:07:55.168633,,Eye Tracker,555.0,605.0,Valid,Valid,Fixation
2022-12-06 09:07:55.185288,,Eye Tracker,559.0,606.0,Valid,Valid,Fixation
2022-12-06 09:07:55.201943,,Eye Tracker,557.0,608.0,Valid,Valid,Fixation
2022-12-06 09:07:55.218599,,Eye Tracker,554.0,608.0,Valid,Valid,Fixation
2022-12-06 09:07:55.235253,,Eye Tracker,557.0,606.0,Valid,Valid,Fixation
