Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-06 09:07:54.637079,,,,MouseEvent,"Down, Left"
2022-12-06 09:07:54.637079,Mouse,569.0,555.0,,
2022-12-06 09:07:54.868041,Mouse,569.0,555.0,,
2022-12-06 09:07:54.887005,Mouse,569.0,558.0,,
2022-12-06 09:07:54.898017,Mouse,569.0,560.0,,
2022-12-06 09:07:54.917950,Mouse,569.0,562.0,,
2022-12-06 09:07:54.938990,Mouse,569.0,563.0,,
2022-12-06 09:07:54.958964,Mouse,569.0,565.0,,
2022-12-06 09:07:54.979014,Mouse,569.0,565.0,,
2022-12-06 09:07:55.028964,Mouse,569.0,566.0,,
2022-12-06 09:07:55.039197,Mouse,569.0,567.0,,
2022-12-06 09:07:55.069086,Mouse,570.0,567.0,,
2022-12-06 09:07:55.089158,Mouse,570.0,568.0,,
2022-12-06 09:07:55.110048,Mouse,570.0,569.0,,
2022-12-06 09:07:55.130033,Mouse,570.0,571.0,,
2022-12-06 09:07:55.149964,Mouse,570.0,575.0,,
2022-12-06 09:07:55.160013,Mouse,570.0,577.0,,
2022-12-06 09:07:55.170255,Mouse,570.0,578.0,,
2022-12-06 09:07:55.190251,Mouse,570.0,583.0,,
2022-12-06 09:07:55.209939,Mouse,570.0,587.0,,
2022-12-06 09:07:55.219991,Mouse,570.0,590.0,,
2022-12-06 09:07:55.240246,Mouse,570.0,593.0,,
2022-12-06 09:07:55.260042,Mouse,570.0,596.0,,
2022-12-06 09:07:55.279951,Mouse,570.0,599.0,,
2022-12-06 09:07:55.289998,Mouse,570.0,600.0,,
2022-12-06 09:07:55.310011,Mouse,570.0,601.0,,
2022-12-06 09:07:55.320045,Mouse,570.0,602.0,,
2022-12-06 09:07:55.339989,Mouse,570.0,603.0,,
2022-12-06 09:07:55.350002,Mouse,570.0,604.0,,
2022-12-06 09:07:55.370014,Mouse,570.0,605.0,,
2022-12-06 09:07:55.389945,Mouse,570.0,607.0,,
2022-12-06 09:07:55.409945,Mouse,570.0,609.0,,
2022-12-06 09:07:55.419990,Mouse,570.0,609.0,,
2022-12-06 09:07:55.430055,Mouse,570.0,610.0,,
