Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-06 09:12:13.458739,,Eye Tracker,1638.0,698.0,Valid,Valid,Fixation
2022-12-06 09:12:13.475394,,Eye Tracker,1634.0,698.0,Valid,Valid,Fixation
2022-12-06 09:12:13.492050,,Eye Tracker,1609.0,703.0,Valid,Valid,Saccade
2022-12-06 09:12:13.508705,,Eye Tracker,1592.0,706.0,Valid,Valid,Fixation
2022-12-06 09:12:13.525359,,Eye Tracker,1590.0,703.0,Valid,Valid,Fixation
2022-12-06 09:12:13.542014,,Eye Tracker,1592.0,701.0,Valid,Valid,Fixation
2022-12-06 09:12:13.558669,,Eye Tracker,1594.0,705.0,Valid,Valid,Fixation
2022-12-06 09:12:13.575323,,Eye Tracker,1590.0,707.0,Valid,Valid,Fixation
2022-12-06 09:12:13.591978,,Eye Tracker,1592.0,702.0,Valid,Valid,Fixation
2022-12-06 09:12:13.608633,,Eye Tracker,1587.0,705.0,Valid,Valid,Fixation
2022-12-06 09:12:13.625287,,Eye Tracker,1590.0,708.0,Valid,Valid,Fixation
2022-12-06 09:12:13.641942,,Eye Tracker,1225.0,558.0,Valid,Valid,Saccade
2022-12-06 09:12:13.658597,,Eye Tracker,1181.0,547.0,Valid,Valid,Saccade
2022-12-06 09:12:13.675251,,Eye Tracker,1059.0,524.0,Invalid,Valid,Saccade
2022-12-06 09:12:13.691906,,Eye Tracker,1051.0,499.0,Valid,Valid,Saccade
2022-12-06 09:12:13.708562,,Eye Tracker,1054.0,498.0,Valid,Valid,Fixation
2022-12-06 09:12:13.725216,,Eye Tracker,1054.0,505.0,Valid,Valid,Fixation
2022-12-06 09:12:13.741871,,Eye Tracker,1050.0,506.0,Valid,Valid,Fixation
2022-12-06 09:12:13.758526,,Eye Tracker,1051.0,511.0,Valid,Valid,Fixation
2022-12-06 09:12:13.775181,,Eye Tracker,1048.0,511.0,Valid,Valid,Fixation
2022-12-06 09:12:13.791835,,Eye Tracker,1047.0,509.0,Valid,Valid,Fixation
2022-12-06 09:12:13.808490,,Eye Tracker,1050.0,510.0,Valid,Valid,Fixation
2022-12-06 09:12:13.825145,,Eye Tracker,1047.0,513.0,Valid,Valid,Fixation
2022-12-06 09:12:13.841799,,Eye Tracker,1047.0,512.0,Valid,Valid,Fixation
2022-12-06 09:12:13.858454,,Eye Tracker,1046.0,505.0,Valid,Valid,Fixation
2022-12-06 09:12:13.875109,,Eye Tracker,1046.0,507.0,Valid,Valid,Fixation
2022-12-06 09:12:13.891763,,Eye Tracker,1048.0,510.0,Valid,Valid,Fixation
2022-12-06 09:12:13.908419,,Eye Tracker,1043.0,508.0,Valid,Valid,Fixation
2022-12-06 09:12:13.925074,,Eye Tracker,1044.0,510.0,Valid,Valid,Fixation
2022-12-06 09:12:13.941728,,Eye Tracker,1046.0,513.0,Valid,Valid,Fixation
2022-12-06 09:12:13.958383,,Eye Tracker,1045.0,513.0,Valid,Valid,Fixation
2022-12-06 09:12:13.975038,,Eye Tracker,1044.0,513.0,Valid,Valid,Fixation
2022-12-06 09:12:13.991692,,Eye Tracker,1040.0,511.0,Valid,Valid,Fixation
2022-12-06 09:12:14.008347,,Eye Tracker,1040.0,514.0,Valid,Valid,Fixation
2022-12-06 09:12:14.025002,,Eye Tracker,1041.0,517.0,Valid,Valid,Fixation
