Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670285518.595,MouseEvent,,1641.3333333333333,695.3333333333334,,,Fixation
1670285518.61047,,Mouse,1639.6666666666667,696.6666666666666,,,Fixation
1670285518.627125,,Eye Tracker,1638.0,698.0,Valid,Valid,Fixation
1670285518.658497,,Eye Tracker,1634.0,698.0,Valid,Valid,Fixation
1670285518.675151,,Eye Tracker,1609.0,703.0,Valid,Valid,Saccade
1670285518.691806,,Eye Tracker,1592.0,706.0,Valid,Valid,Fixation
1670285518.708461,,Eye Tracker,1590.0,703.0,Valid,Valid,Fixation
1670285518.725115,,Eye Tracker,1592.0,701.0,Valid,Valid,Fixation
1670285518.757455,,Eye Tracker,1594.0,705.0,Valid,Valid,Fixation
1670285518.759186,,Eye Tracker,1590.0,707.0,Valid,Valid,Fixation
1670285518.773439,,Eye Tracker,1592.0,702.0,Valid,Valid,Fixation
1670285518.77584,,Eye Tracker,1587.0,705.0,Valid,Valid,Fixation
1670285518.7894561,,Eye Tracker,1590.0,708.0,Valid,Valid,Fixation
1670285518.792495,,Eye Tracker,1225.0,558.0,Valid,Valid,Saccade
1670285518.805443,,Eye Tracker,1181.0,547.0,Valid,Valid,Saccade
1670285518.80915,,Eye Tracker,1059.0,524.0,Invalid,Valid,Saccade
1670285518.8214371,,Eye Tracker,1051.0,499.0,Valid,Valid,Saccade
1670285518.825805,,Eye Tracker,1054.0,498.0,Valid,Valid,Fixation
1670285518.841239,,Eye Tracker,1054.0,505.0,Valid,Valid,Fixation
1670285518.842459,,Eye Tracker,1050.0,506.0,Valid,Valid,Fixation
1670285518.853483,,Eye Tracker,1051.0,511.0,Valid,Valid,Fixation
1670285518.859114,,Eye Tracker,1048.0,511.0,Valid,Valid,Fixation
1670285518.869451,,Mouse,1047.5,510.0,,,Fixation
1670285518.8757691,,Eye Tracker,1047.0,509.0,Valid,Valid,Fixation
1670285518.8855271,,Mouse,1048.5,509.5,,,Fixation
1670285518.892423,,Eye Tracker,1050.0,510.0,Valid,Valid,Fixation
1670285518.9090781,,Mouse,1048.5,511.5,,,Fixation
1670285518.909477,,Eye Tracker,1047.0,513.0,Valid,Valid,Fixation
1670285518.925438,,Mouse,1047.0,512.6666666666666,,,Fixation
1670285518.925733,,Mouse,1047.0,512.3333333333334,,,Fixation
1670285518.941446,,Eye Tracker,1047.0,512.0,Valid,Valid,Fixation
1670285518.942387,,Mouse,1046.5,508.5,,,Fixation
1670285518.957438,,Eye Tracker,1046.0,505.0,Valid,Valid,Fixation
1670285518.959042,,Mouse,1046.0,506.0,,,Fixation
1670285518.973442,,Eye Tracker,1046.0,507.0,Valid,Valid,Fixation
1670285518.975697,,Mouse,1046.6666666666667,508.0,,,Fixation
1670285518.989439,,Mouse,1047.3333333333333,509.0,,,Fixation
1670285518.992352,,Eye Tracker,1048.0,510.0,Valid,Valid,Fixation
1670285519.005455,,Mouse,1045.5,509.0,,,Fixation
1670285519.009007,,Eye Tracker,1043.0,508.0,Valid,Valid,Fixation
1670285519.021444,,Mouse,1043.5,509.0,,,Fixation
1670285519.025662,,Eye Tracker,1044.0,510.0,Valid,Valid,Fixation
1670285519.03744,,Mouse,1045.0,511.5,,,Fixation
1670285519.042316,,Eye Tracker,1046.0,513.0,Valid,Valid,Fixation
1670285519.053456,,Mouse,1045.5,513.0,,,Fixation
1670285519.058971,,Eye Tracker,1045.0,513.0,Valid,Valid,Fixation
1670285519.0694861,,Mouse,1044.5,513.0,,,Fixation
1670285519.0756261,,Eye Tracker,1044.0,513.0,Valid,Valid,Fixation
1670285519.092281,,Mouse,1042.0,512.0,,,Fixation
