Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1670290331.3659909,MouseEvent,,1557.0,125.66666666666667,,,Fixation,,,MouseEvent,"Down, Left"
1670290331.3659909,,Mouse,1569.0,123.33333333333333,,,Fixation,1497.0,145.0,,
1670290331.378275,,Eye Tracker,1581.0,121.0,Valid,Valid,Fixation,,,,
1670290331.39493,,Eye Tracker,1571.0,143.0,Valid,Valid,Fixation,,,,
1670290331.4115849,,Eye Tracker,1557.0,154.0,Valid,Valid,Fixation,,,,
1670290331.428241,,Eye Tracker,1562.0,154.0,Valid,Valid,Fixation,,,,
1670290331.444895,,Eye Tracker,1557.0,157.0,Valid,Valid,Fixation,,,,
1670290331.461549,,Eye Tracker,1560.0,154.0,Valid,Valid,Fixation,,,,
1670290331.478204,,Eye Tracker,1560.0,152.0,Valid,Valid,Fixation,,,,
1670290331.494859,,Eye Tracker,1558.0,155.0,Valid,Valid,Fixation,,,,
1670290331.511514,,Eye Tracker,1554.0,160.0,Valid,Valid,Fixation,,,,
1670290331.528169,,Eye Tracker,1556.0,149.0,Valid,Valid,Fixation,,,,
1670290331.544823,,Eye Tracker,1558.0,149.0,Valid,Valid,Fixation,,,,
1670290331.547994,,Mouse,1556.5,153.5,,,Fixation,1497.0,145.0,,
1670290331.561478,,Eye Tracker,1555.0,158.0,Valid,Valid,Fixation,,,,
1670290331.56793,,Mouse,1556.5,156.5,,,Fixation,1495.0,145.0,,
1670290331.5781329,,Eye Tracker,1558.0,155.0,Valid,Valid,Fixation,,,,
1670290331.5790238,,Mouse,1558.0,152.5,,,Fixation,1492.0,144.0,,
1670290331.594787,,Eye Tracker,1558.0,150.0,Valid,Valid,Fixation,,,,
1670290331.597985,,Mouse,1557.0,150.5,,,Fixation,1485.0,142.0,,
1670290331.6114419,,Eye Tracker,1556.0,151.0,Valid,Valid,Fixation,,,,
1670290331.6189349,,Mouse,1554.5,153.0,,,Fixation,1481.0,139.0,,
1670290331.6280959,,Eye Tracker,1553.0,155.0,Valid,Valid,Fixation,,,,
1670290331.637918,,Mouse,1551.0,154.0,,,Fixation,1477.0,138.0,,
1670290331.6447508,,Eye Tracker,1549.0,153.0,Valid,Valid,Fixation,,,,
1670290331.661406,,Eye Tracker,1549.0,158.0,Valid,Valid,Fixation,,,,
1670290331.678061,,Eye Tracker,1549.0,158.0,Valid,Valid,Fixation,,,,
1670290331.694716,,Eye Tracker,1546.0,157.0,Valid,Valid,Fixation,,,,
1670290331.71137,,Eye Tracker,1538.0,160.0,Valid,Valid,Fixation,,,,
1670290331.728025,,Eye Tracker,1535.0,157.0,Valid,Valid,Fixation,,,,
1670290331.74468,,Eye Tracker,1539.0,163.0,Valid,Valid,Fixation,,,,
1670290331.761334,,Eye Tracker,1535.0,164.0,Valid,Valid,Fixation,,,,
1670290331.777989,,Eye Tracker,1536.0,162.0,Valid,Valid,Fixation,,,,
1670290331.7946439,,Eye Tracker,1520.0,165.0,Valid,Valid,Fixation,,,,
1670290331.811298,,Eye Tracker,1495.0,144.0,Valid,Valid,Saccade,,,,
1670290331.8279529,,Eye Tracker,1486.0,148.0,Valid,Valid,Fixation,,,,
1670290331.8446078,,Eye Tracker,1485.0,149.0,Valid,Valid,Fixation,,,,
1670290331.8612618,,Eye Tracker,1466.0,128.0,Valid,Invalid,Fixation,,,,
1670290331.877917,,Eye Tracker,1468.0,124.0,Valid,Invalid,Fixation,,,,
1670290331.894572,,Eye Tracker,1465.0,117.0,Valid,Invalid,Fixation,,,,
