Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1670290823.188011,,,,MouseEvent,"Down, Left"
1670290823.188011,Mouse,1596.0,697.0,,
1670290823.18942,Mouse,1596.0,697.0,,
1670290823.21799,Mouse,1595.0,697.0,,
1670290823.2291,Mouse,1595.0,697.0,,
1670290823.248919,Mouse,1593.0,697.0,,
1670290823.258953,Mouse,1593.0,697.0,,
1670290823.269183,Mouse,1592.0,697.0,,
1670290823.280004,Mouse,1591.0,697.0,,
1670290823.299201,Mouse,1591.0,696.0,,
1670290823.319968,Mouse,1587.0,695.0,,
1670290823.329976,Mouse,1585.0,694.0,,
1670290823.348968,Mouse,1579.0,692.0,,
1670290823.359954,Mouse,1577.0,691.0,,
1670290823.36998,Mouse,1574.0,690.0,,
1670290823.388993,Mouse,1569.0,687.0,,
1670290823.399971,Mouse,1566.0,686.0,,
1670290823.409996,Mouse,1565.0,686.0,,
1670290823.429222,Mouse,1562.0,684.0,,
1670290823.43924,Mouse,1561.0,684.0,,
1670290823.449984,Mouse,1561.0,683.0,,
1670290823.489946,Mouse,1559.0,682.0,,
1670290823.500001,Mouse,1558.0,682.0,,
1670290823.519017,Mouse,1556.0,681.0,,
1670290823.529974,Mouse,1553.0,679.0,,
1670290823.540284,Mouse,1548.0,677.0,,
1670290823.559171,Mouse,1541.0,673.0,,
1670290823.57004,Mouse,1535.0,669.0,,
1670290823.589952,Mouse,1526.0,666.0,,
1670290823.600159,Mouse,1522.0,663.0,,
1670290823.611126,Mouse,1518.0,660.0,,
1670290823.630936,Mouse,1514.0,657.0,,
1670290823.649944,Mouse,1508.0,655.0,,
1670290823.660972,Mouse,1506.0,654.0,,
1670290823.671211,Mouse,1505.0,653.0,,
1670290823.689916,Mouse,1502.0,651.0,,
1670290823.701076,Mouse,1501.0,651.0,,
1670290823.719964,Mouse,1499.0,650.0,,
1670290823.729977,Mouse,1497.0,649.0,,
1670290823.740941,Mouse,1495.0,648.0,,
1670290823.750961,Mouse,1493.0,647.0,,
1670290823.760965,Mouse,1491.0,646.0,,
1670290823.77099,Mouse,1487.0,645.0,,
1670290823.781966,Mouse,1484.0,645.0,,
1670290823.801939,Mouse,1477.0,643.0,,
1670290823.820918,Mouse,1470.0,642.0,,
1670290823.831928,Mouse,1463.0,641.0,,
1670290823.841953,Mouse,1459.0,641.0,,
1670290823.860978,Mouse,1452.0,641.0,,
1670290823.871985,Mouse,1448.0,642.0,,
1670290823.882015,Mouse,1443.0,642.0,,
1670290823.901127,Mouse,1437.0,642.0,,
1670290823.911954,Mouse,1432.0,642.0,,
1670290823.931061,Mouse,1426.0,642.0,,
1670290823.941213,Mouse,1421.0,642.0,,
1670290823.951973,Mouse,1414.0,642.0,,
1670290823.972047,Mouse,1401.0,641.0,,
1670290823.990949,Mouse,1389.0,638.0,,
1670290824.002166,Mouse,1382.0,637.0,,
1670290824.021205,Mouse,1370.0,634.0,,
1670290824.041958,Mouse,1357.0,631.0,,
1670290824.051972,Mouse,1350.0,629.0,,
1670290824.070954,Mouse,1335.0,625.0,,
1670290824.081947,Mouse,1327.0,623.0,,
1670290824.091977,Mouse,1322.0,622.0,,
1670290824.102003,Mouse,1314.0,620.0,,
1670290824.122979,Mouse,1301.0,620.0,,
1670290824.133212,Mouse,1294.0,618.0,,
1670290824.151895,Mouse,1284.0,617.0,,
1670290824.163207,Mouse,1276.0,616.0,,
1670290824.182973,Mouse,1265.0,615.0,,
1670290824.20218,Mouse,1254.0,614.0,,
1670290824.212994,Mouse,1248.0,612.0,,
1670290824.223215,Mouse,1243.0,610.0,,
1670290824.241919,Mouse,1230.0,607.0,,
1670290824.252931,Mouse,1222.0,605.0,,
1670290824.263233,Mouse,1216.0,604.0,,
1670290824.282881,Mouse,1201.0,600.0,,
1670290824.292994,Mouse,1193.0,599.0,,
1670290824.303925,Mouse,1188.0,597.0,,
1670290824.313987,Mouse,1182.0,596.0,,
1670290824.333224,Mouse,1171.0,595.0,,
1670290824.343986,Mouse,1165.0,593.0,,
1670290824.363109,Mouse,1157.0,591.0,,
1670290824.382926,Mouse,1147.0,589.0,,
1670290824.394178,Mouse,1142.0,587.0,,
1670290824.412959,Mouse,1134.0,585.0,,
1670290824.423295,Mouse,1128.0,584.0,,
1670290824.434205,Mouse,1124.0,583.0,,
1670290824.452903,Mouse,1116.0,580.0,,
1670290824.463098,Mouse,1110.0,580.0,,
1670290824.473981,Mouse,1108.0,579.0,,
1670290824.484096,Mouse,1102.0,577.0,,
1670290824.50293,Mouse,1092.0,574.0,,
1670290824.513946,Mouse,1084.0,573.0,,
1670290824.533218,Mouse,1073.0,569.0,,
1670290824.552968,Mouse,1062.0,566.0,,
1670290824.564099,Mouse,1056.0,565.0,,
1670290824.582956,Mouse,1044.0,564.0,,
1670290824.593147,Mouse,1037.0,563.0,,
1670290824.604004,Mouse,1035.0,562.0,,
1670290824.623941,Mouse,1027.0,560.0,,
1670290824.63411,Mouse,1025.0,560.0,,
1670290824.644951,Mouse,1019.0,558.0,,
1670290824.654983,Mouse,1014.0,556.0,,
1670290824.673959,Mouse,1004.0,554.0,,
1670290824.685198,Mouse,999.0,553.0,,
1670290824.69523,Mouse,994.0,550.0,,
1670290824.713926,Mouse,986.0,547.0,,
1670290824.723941,Mouse,980.0,546.0,,
1670290824.734918,Mouse,976.0,543.0,,
1670290824.753961,Mouse,963.0,540.0,,
1670290824.764339,Mouse,962.0,539.0,,
1670290824.774974,Mouse,957.0,537.0,,
1670290824.795059,Mouse,952.0,535.0,,
1670290824.816241,Mouse,946.0,533.0,,
1670290824.835122,Mouse,942.0,531.0,,
1670290824.84515,Mouse,939.0,530.0,,
1670290824.855937,Mouse,937.0,529.0,,
1670290824.865942,Mouse,934.0,528.0,,
1670290824.885053,Mouse,926.0,526.0,,
1670290824.895145,Mouse,924.0,525.0,,
1670290824.905953,Mouse,921.0,524.0,,
1670290824.925001,Mouse,915.0,523.0,,
1670290824.945917,Mouse,910.0,520.0,,
1670290824.964927,Mouse,904.0,517.0,,
1670290824.974982,Mouse,901.0,515.0,,
1670290824.985984,Mouse,898.0,515.0,,
