Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669176109.192,MouseEvent,,106.33333333333333,1020.6666666666666,,,Fixation
1669176109.206729,,Mouse,105.66666666666667,1019.3333333333334,,,Fixation
1669176109.223384,,Eye Tracker,105.0,1018.0,Valid,Valid,Fixation
1669176109.254488,,Eye Tracker,108.0,1016.0,Valid,Valid,Fixation
1669176109.271143,,Eye Tracker,109.0,1017.0,Valid,Valid,Fixation
1669176109.287797,,Eye Tracker,112.0,1016.0,Valid,Valid,Fixation
1669176109.304452,,Eye Tracker,109.0,1016.0,Valid,Valid,Fixation
1669176109.321107,,Eye Tracker,109.0,1015.0,Valid,Valid,Fixation
1669176109.3377628,,Eye Tracker,110.0,1014.0,Valid,Valid,Fixation
1669176109.3544168,,Eye Tracker,111.0,1019.0,Valid,Valid,Fixation
1669176109.3710718,,Eye Tracker,113.0,1016.0,Valid,Valid,Fixation
1669176109.387727,,Eye Tracker,110.0,1013.0,Valid,Valid,Fixation
1669176109.4043808,,Eye Tracker,111.0,1011.0,Valid,Valid,Fixation
1669176109.421036,,Eye Tracker,112.0,1012.0,Valid,Valid,Fixation
1669176109.421089,,Eye Tracker,112.0,1015.0,Valid,Valid,Fixation
1669176109.437088,,Eye Tracker,110.0,1012.0,Valid,Valid,Fixation
1669176109.437691,,Eye Tracker,108.0,1008.0,Valid,Valid,Fixation
1669176109.453006,,Eye Tracker,112.0,1006.0,Valid,Valid,Fixation
1669176109.454345,,Eye Tracker,111.0,1011.0,Valid,Valid,Fixation
1669176109.4690049,,Eye Tracker,109.0,1013.0,Valid,Valid,Fixation
1669176109.471001,,Eye Tracker,112.0,1014.0,Valid,Valid,Fixation
1669176109.484998,,Eye Tracker,108.0,1018.0,Valid,Valid,Fixation
1669176109.4876559,,Eye Tracker,109.0,1016.0,Valid,Valid,Fixation
1669176109.5009868,,Eye Tracker,116.0,1006.0,Valid,Valid,Fixation
1669176109.50431,,Eye Tracker,118.0,1004.0,Valid,Valid,Fixation
1669176109.517032,,Eye Tracker,119.0,1007.0,Valid,Valid,Fixation
1669176109.5209649,,Eye Tracker,112.0,1009.0,Valid,Valid,Fixation
1669176109.533069,,Eye Tracker,113.0,1013.0,Valid,Valid,Fixation
1669176109.5376198,,Eye Tracker,117.0,1013.0,Valid,Valid,Fixation
1669176109.549018,,Eye Tracker,110.0,1014.0,Valid,Valid,Fixation
1669176109.5542738,,Eye Tracker,105.0,1012.0,Valid,Valid,Fixation
1669176109.57093,,Mouse,106.0,1010.5,,,Fixation
1669176109.587585,,Eye Tracker,107.0,1009.0,Valid,Valid,Fixation
1669176109.60424,,Eye Tracker,108.0,1011.0,Valid,Valid,Fixation
1669176109.620895,,Eye Tracker,108.0,1010.0,Valid,Valid,Fixation
1669176109.6375499,,Mouse,107.5,1007.5,,,Fixation
1669176109.6542048,,Eye Tracker,107.0,1005.0,Valid,Valid,Fixation
1669176109.6708589,,Eye Tracker,108.0,1008.0,Valid,Valid,Fixation
1669176109.6875138,,Mouse,108.5,1009.0,,,Fixation
1669176109.7041688,,Eye Tracker,109.0,1010.0,Valid,Valid,Fixation
1669176109.7208228,,Eye Tracker,107.0,1015.0,Valid,Valid,Fixation
1669176109.737478,,Eye Tracker,111.0,1019.0,Valid,Valid,Fixation
1669176109.741004,,Eye Tracker,109.0,1018.0,Valid,Valid,Fixation
1669176109.754134,,Mouse,107.5,1016.0,,,Fixation
1669176109.7570179,,Eye Tracker,106.0,1014.0,Valid,Valid,Fixation
1669176109.770788,,Eye Tracker,111.0,1015.0,Valid,Valid,Fixation
1669176109.7730289,,Eye Tracker,113.0,1022.0,Valid,Valid,Fixation
1669176109.787443,,Eye Tracker,114.0,1015.0,Valid,Valid,Fixation
1669176109.789033,,Eye Tracker,115.0,1007.0,Valid,Valid,Fixation
1669176109.804098,,Eye Tracker,109.0,1020.0,Valid,Valid,Fixation
1669176109.805084,,Eye Tracker,102.0,1021.0,Valid,Valid,Fixation
1669176109.820752,,Eye Tracker,101.0,1022.0,Valid,Valid,Fixation
1669176109.8210368,,Eye Tracker,103.0,1020.0,Valid,Valid,Fixation
1669176109.837054,,Eye Tracker,105.0,1017.0,Valid,Valid,Fixation
1669176109.8374069,,Eye Tracker,102.0,1020.0,Valid,Valid,Fixation
1669176109.853005,,Eye Tracker,111.0,1011.0,Valid,Valid,Fixation
1669176109.8540618,,Eye Tracker,114.0,1014.0,Valid,Valid,Fixation
1669176109.8690739,,Eye Tracker,113.0,1021.0,Valid,Valid,Fixation
1669176109.8707168,,Eye Tracker,113.0,1025.0,Valid,Valid,Fixation
1669176109.8850389,,Eye Tracker,112.0,1023.0,Valid,Valid,Fixation
1669176109.887372,,Eye Tracker,115.0,1023.0,Valid,Valid,Fixation
1669176109.901022,,Eye Tracker,115.0,1023.0,Valid,Valid,Fixation
1669176109.904027,,Eye Tracker,116.0,1020.0,Valid,Valid,Fixation
1669176109.91706,,Eye Tracker,123.0,1019.0,Valid,Valid,Fixation
1669176109.920682,,Eye Tracker,122.0,1020.0,Valid,Valid,Fixation
1669176109.955184,,Eye Tracker,117.0,1020.0,Valid,Valid,Fixation
1669176109.97184,,Eye Tracker,118.0,1018.0,Valid,Valid,Fixation
1669176109.9884949,,Mouse,118.5,1015.5,,,Fixation
1669176109.989065,,Eye Tracker,119.0,1013.0,Valid,Valid,Fixation
1669176110.0050218,,Eye Tracker,114.0,1009.0,Valid,Valid,Fixation
1669176110.005149,,Eye Tracker,115.0,1010.0,Valid,Valid,Fixation
1669176110.0218039,,Eye Tracker,118.0,1012.0,Valid,Valid,Fixation
1669176110.0384588,,Eye Tracker,108.0,1019.0,Valid,Valid,Fixation
1669176110.0551128,,Eye Tracker,103.0,1017.0,Valid,Valid,Fixation
1669176110.0717678,,Eye Tracker,111.0,1011.0,Valid,Valid,Fixation
1669176110.088423,,Eye Tracker,110.0,1011.0,Valid,Valid,Fixation
1669176110.105078,,Eye Tracker,108.0,1009.0,Valid,Valid,Fixation
1669176110.121733,,Eye Tracker,107.0,1008.0,Valid,Valid,Fixation
1669176110.138388,,Eye Tracker,101.0,1012.0,Valid,Valid,Fixation
1669176110.155043,,Eye Tracker,103.0,1013.0,Valid,Valid,Fixation
1669176110.1716979,,Eye Tracker,107.0,1012.0,Valid,Valid,Fixation
1669176110.1883528,,Eye Tracker,108.0,1010.0,Valid,Valid,Fixation
1669176110.205008,,Eye Tracker,110.0,1011.0,Valid,Valid,Fixation
1669176110.212174,,Eye Tracker,110.0,1010.0,Valid,Valid,Fixation
1669176110.2216618,,Eye Tracker,109.0,1010.0,Valid,Valid,Fixation
1669176110.238317,,Eye Tracker,110.0,1012.0,Valid,Valid,Fixation
1669176110.253321,,Eye Tracker,112.0,1009.0,Valid,Valid,Fixation
1669176110.254972,,Eye Tracker,114.0,1008.0,Valid,Valid,Fixation
1669176110.2692409,,Eye Tracker,108.0,1014.0,Valid,Valid,Fixation
1669176110.271626,,Eye Tracker,108.0,1017.0,Valid,Valid,Fixation
1669176110.2850678,,Eye Tracker,112.0,1015.0,Valid,Valid,Fixation
1669176110.288281,,Eye Tracker,110.0,1016.0,Valid,Valid,Fixation
1669176110.301328,,Eye Tracker,121.0,1012.0,Valid,Valid,Fixation
1669176110.304937,,Eye Tracker,126.0,1008.0,Valid,Valid,Fixation
1669176110.317124,,Eye Tracker,125.0,1012.0,Valid,Valid,Fixation
1669176110.321591,,Eye Tracker,131.0,1012.0,Valid,Valid,Fixation
1669176110.3332229,,Eye Tracker,130.0,1008.0,Valid,Valid,Fixation
