Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669166472.802169,,,,MouseEvent,"Down, Left"
1669166472.802169,Mouse,1407.0,401.0,,
1669166473.062814,Mouse,1407.0,401.0,,
1669166473.073096,Mouse,1407.0,402.0,,
1669166473.083873,Mouse,1408.0,408.0,,
1669166473.102902,Mouse,1409.0,416.0,,
1669166473.122789,Mouse,1410.0,429.0,,
1669166473.142881,Mouse,1413.0,444.0,,
1669166473.162779,Mouse,1414.0,458.0,,
1669166473.172893,Mouse,1416.0,465.0,,
1669166473.192765,Mouse,1418.0,478.0,,
1669166473.202879,Mouse,1419.0,486.0,,
1669166473.213761,Mouse,1419.0,491.0,,
1669166473.223765,Mouse,1420.0,499.0,,
1669166473.233926,Mouse,1421.0,508.0,,
1669166473.254777,Mouse,1422.0,524.0,,
1669166473.273808,Mouse,1423.0,536.0,,
1669166473.29381,Mouse,1423.0,547.0,,
1669166473.304061,Mouse,1423.0,552.0,,
1669166473.323835,Mouse,1423.0,563.0,,
1669166473.333838,Mouse,1423.0,567.0,,
1669166473.343944,Mouse,1423.0,569.0,,
1669166473.363823,Mouse,1423.0,576.0,,
1669166473.373874,Mouse,1423.0,579.0,,
1669166473.393955,Mouse,1423.0,584.0,,
1669166473.404047,Mouse,1423.0,586.0,,
1669166473.424799,Mouse,1423.0,595.0,,
1669166473.4439,Mouse,1423.0,603.0,,
1669166473.463846,Mouse,1420.0,616.0,,
1669166473.473864,Mouse,1419.0,623.0,,
1669166473.483866,Mouse,1415.0,632.0,,
1669166473.504114,Mouse,1407.0,650.0,,
1669166473.523844,Mouse,1399.0,669.0,,
1669166473.534066,Mouse,1396.0,676.0,,
1669166473.554767,Mouse,1385.0,694.0,,
1669166473.574819,Mouse,1376.0,708.0,,
1669166473.595887,Mouse,1365.0,721.0,,
1669166473.614799,Mouse,1356.0,731.0,,
1669166473.624826,Mouse,1352.0,735.0,,
1669166473.644766,Mouse,1344.0,743.0,,
1669166473.654816,Mouse,1343.0,744.0,,
