Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669169199.095,MouseEvent,,1649.0,317.3333333333333,,,Fixation
1669169199.110244,,Mouse,1649.0,318.6666666666667,,,Fixation
1669169199.126899,,Eye Tracker,1649.0,320.0,Valid,Valid,Fixation
1669169199.157739,,Eye Tracker,1646.0,320.0,Valid,Valid,Fixation
1669169199.174395,,Eye Tracker,1645.0,316.0,Valid,Valid,Fixation
1669169199.208441,,Eye Tracker,1645.0,316.0,Valid,Valid,Fixation
1669169199.225095,,Eye Tracker,1646.0,316.0,Valid,Valid,Fixation
1669169199.24175,,Eye Tracker,1647.0,314.0,Valid,Valid,Fixation
1669169199.258405,,Eye Tracker,1648.0,314.0,Valid,Valid,Fixation
1669169199.269503,,Eye Tracker,1648.0,320.0,Valid,Valid,Fixation
1669169199.27506,,Eye Tracker,1644.0,322.0,Valid,Valid,Fixation
1669169199.285513,,Eye Tracker,1641.0,325.0,Valid,Valid,Fixation
1669169199.291714,,Eye Tracker,1640.0,329.0,Valid,Valid,Fixation
1669169199.3014941,,Eye Tracker,1644.0,328.0,Valid,Valid,Fixation
1669169199.308369,,Eye Tracker,1641.0,330.0,Valid,Valid,Fixation
1669169199.317488,,Eye Tracker,1640.0,332.0,Valid,Valid,Fixation
1669169199.325025,,Eye Tracker,1640.0,333.0,Valid,Valid,Fixation
1669169199.334543,,Eye Tracker,1640.0,336.0,Valid,Valid,Fixation
1669169199.341679,,Eye Tracker,1637.0,339.0,Valid,Valid,Fixation
1669169199.349525,,Eye Tracker,1640.0,339.0,Valid,Valid,Fixation
1669169199.358334,,Eye Tracker,1646.0,334.0,Valid,Valid,Fixation
1669169199.359563,,Eye Tracker,1643.0,336.0,Valid,Valid,Fixation
1669169199.373526,,Eye Tracker,1647.0,336.0,Valid,Valid,Fixation
1669169199.374989,,Eye Tracker,1645.0,334.0,Valid,Valid,Fixation
1669169199.389515,,Eye Tracker,1644.0,332.0,Valid,Valid,Fixation
1669169199.391643,,Eye Tracker,1645.0,332.0,Valid,Valid,Fixation
1669169199.408298,,Eye Tracker,1649.0,329.0,Valid,Valid,Fixation
1669169199.424953,,Eye Tracker,1651.0,330.0,Valid,Valid,Fixation
1669169199.441607,,Eye Tracker,1649.0,329.0,Valid,Valid,Fixation
1669169199.458262,,Eye Tracker,1648.0,329.0,Valid,Valid,Fixation
1669169199.4749181,,Eye Tracker,1646.0,330.0,Valid,Valid,Fixation
1669169199.4915721,,Eye Tracker,1647.0,331.0,Valid,Valid,Fixation
1669169199.508227,,Eye Tracker,1638.0,335.0,Valid,Valid,Fixation
1669169199.524882,,Eye Tracker,1639.0,331.0,Valid,Valid,Fixation
1669169199.541537,,Eye Tracker,1643.0,329.0,Valid,Valid,Fixation
1669169199.558191,,Eye Tracker,1637.0,330.0,Valid,Valid,Fixation
1669169199.574846,,Eye Tracker,1636.0,332.0,Valid,Valid,Fixation
1669169199.591501,,Eye Tracker,1638.0,334.0,Valid,Valid,Fixation
1669169199.608155,,Mouse,1638.5,333.5,,,Fixation
1669169199.624811,,Eye Tracker,1639.0,333.0,Valid,Valid,Fixation
1669169199.6414661,,Mouse,1639.0,331.5,,,Fixation
1669169199.65812,,Eye Tracker,1639.0,330.0,Valid,Valid,Fixation
1669169199.661505,,Mouse,1637.3333333333333,329.3333333333333,,,Fixation
1669169199.6747751,,Mouse,1635.6666666666667,328.6666666666667,,,Fixation
1669169199.677499,,Eye Tracker,1634.0,328.0,Valid,Valid,Fixation
1669169199.69143,,Eye Tracker,1628.0,333.0,Valid,Valid,Fixation
1669169199.693517,,Mouse,1630.5,335.0,,,Fixation
1669169199.708084,,Eye Tracker,1633.0,337.0,Valid,Valid,Fixation
1669169199.709528,,Eye Tracker,1638.0,335.0,Valid,Valid,Fixation
1669169199.724739,,Mouse,1634.5,336.5,,,Fixation
1669169199.725517,,Eye Tracker,1631.0,338.0,Valid,Valid,Fixation
1669169199.741394,,Mouse,1628.5,338.5,,,Fixation
1669169199.741496,,Eye Tracker,1626.0,339.0,Valid,Valid,Fixation
1669169199.757519,,Eye Tracker,1629.0,340.0,Valid,Valid,Fixation
1669169199.758048,,Mouse,1629.0,340.0,,,Fixation
1669169199.773533,,Eye Tracker,1629.0,340.0,Valid,Valid,Fixation
1669169199.774704,,Eye Tracker,1631.0,339.0,Valid,Valid,Fixation
1669169199.789521,,Mouse,1630.5,338.5,,,Fixation
1669169199.791359,,Eye Tracker,1630.0,338.0,Valid,Valid,Fixation
1669169199.808014,,Eye Tracker,1627.0,338.0,Valid,Valid,Fixation
1669169199.824668,,Mouse,1627.5,337.0,,,Fixation
1669169199.8413231,,Eye Tracker,1628.0,336.0,Valid,Valid,Fixation
1669169199.857978,,Mouse,1630.0,335.0,,,Fixation
1669169199.8746321,,Eye Tracker,1632.0,334.0,Valid,Valid,Fixation
1669169199.891287,,Eye Tracker,1630.0,335.0,Valid,Valid,Fixation
1669169199.907942,,Mouse,1627.5,336.0,,,Fixation
1669169199.924596,,Eye Tracker,1625.0,337.0,Valid,Valid,Fixation
1669169199.941252,,Mouse,1626.0,336.0,,,Fixation
1669169199.957907,,Eye Tracker,1627.0,335.0,Valid,Valid,Fixation
1669169199.973501,,Mouse,1628.0,333.5,,,Fixation
1669169199.974561,,Eye Tracker,1629.0,332.0,Valid,Valid,Fixation
1669169199.989526,,Eye Tracker,1626.0,334.0,Valid,Valid,Fixation
1669169199.991216,,Mouse,1626.0,334.0,,,Fixation
1669169200.005518,,Eye Tracker,1626.0,334.0,Valid,Valid,Fixation
1669169200.007871,,Mouse,1626.0,334.0,,,Fixation
1669169200.021567,,Eye Tracker,1626.0,334.0,Valid,Valid,Fixation
1669169200.024525,,Mouse,1625.0,335.0,,,Fixation
1669169200.03752,,Eye Tracker,1624.0,336.0,Valid,Valid,Fixation
1669169200.0411801,,Mouse,1625.0,335.5,,,Fixation
1669169200.053517,,Eye Tracker,1626.0,335.0,Valid,Valid,Fixation
1669169200.057835,,Mouse,1625.5,332.0,,,Fixation
