Recording timestamp,Position X,Position Y
1669872022.909839,1862.0,50.0
1669872022.91984,1862.0,51.0
1669872022.951579,1862.0,52.0
1669872022.969893,1861.0,53.0
1669872023.823023,1861.0,54.0
1669872023.913859,1860.0,54.0
1669872024.165183,1860.0,53.0
1669872024.176224,1860.0,52.0
1669872024.426134,1860.0,51.0
1669872024.455976,1860.0,49.0
1669872024.466984,1860.0,48.0
1669872024.486957,1860.0,47.0
1669872024.79667,1860.0,46.0
1669872024.817603,1859.0,46.0
1669872024.82809,1858.0,47.0
1669872024.846673,1857.0,48.0
1669872024.867654,1856.0,49.0
1669872024.917044,1855.0,50.0
1669872025.057968,1854.0,51.0
1669872025.079212,1854.0,52.0
1669872025.08831,1853.0,52.0
1669872025.098363,1853.0,53.0
1669872025.109381,1852.0,53.0
1669872025.139175,1851.0,54.0
1669872025.239957,1850.0,55.0
1669872025.289567,1849.0,56.0
1669872025.359487,1848.0,57.0
1669872025.569696,1847.0,57.0
1669872025.58055,1846.0,57.0
1669872025.590822,1846.0,56.0
1669872025.609988,1845.0,55.0
1669872025.631162,1843.0,54.0
1669872025.650913,1842.0,53.0
1669872025.662023,1841.0,52.0
1669872025.671569,1841.0,51.0
1669872025.681664,1840.0,50.0
1669872025.690942,1839.0,50.0
1669872025.701056,1838.0,49.0
1669872025.712152,1837.0,48.0
1669872025.722582,1836.0,47.0
1669872025.731524,1835.0,45.0
1669872025.741179,1834.0,44.0
1669872025.761589,1832.0,43.0
1669872025.771038,1832.0,42.0
1669872025.821503,1831.0,42.0
1669872025.870755,1831.0,41.0
1669872025.901092,1830.0,40.0
1669872025.922065,1829.0,40.0
1669872025.950682,1828.0,39.0
1669872025.972424,1827.0,39.0
1669872025.982076,1826.0,39.0
1669872025.992241,1825.0,39.0
1669872026.002322,1824.0,39.0
1669872026.023392,1823.0,40.0
1669872026.053408,1821.0,41.0
1669872026.072225,1820.0,41.0
1669872026.081551,1820.0,42.0
1669872026.103026,1819.0,43.0
1669872026.162834,1816.0,44.0
1669872026.184189,1814.0,45.0
1669872026.194214,1813.0,46.0
1669872026.202242,1812.0,46.0
1669872026.213707,1811.0,47.0
1669872026.223548,1810.0,48.0
1669872026.253471,1809.0,49.0
1669872026.273478,1807.0,50.0
1669872026.282609,1807.0,51.0
1669872026.293626,1806.0,52.0
1669872026.303952,1805.0,52.0
1669872026.323344,1805.0,53.0
1669872026.384261,1803.0,53.0
1669872026.453157,1802.0,54.0
1669872026.473889,1801.0,54.0
1669872026.525252,1800.0,54.0
1669872026.544234,1799.0,55.0
1669872026.575535,1798.0,55.0
1669872026.736361,1797.0,56.0
1669872026.786231,1796.0,56.0
1669872026.794921,1794.0,56.0
1669872026.805167,1793.0,56.0
1669872026.816313,1792.0,56.0
1669872026.835242,1789.0,55.0
1669872026.844885,1788.0,54.0
1669872026.876078,1787.0,53.0
1669872026.89635,1786.0,52.0
1669872026.906335,1785.0,52.0
1669872026.916239,1784.0,51.0
1669872026.935198,1784.0,50.0
1669872026.96449,1783.0,49.0
1669872026.985991,1782.0,48.0
1669872027.086731,1781.0,48.0
1669872027.095982,1780.0,48.0
1669872027.106055,1779.0,48.0
1669872027.117226,1778.0,48.0
1669872027.126448,1777.0,48.0
1669872027.136315,1776.0,48.0
1669872027.14664,1775.0,48.0
1669872027.156619,1774.0,49.0
1669872027.166659,1773.0,50.0
1669872027.177223,1772.0,51.0
1669872027.186549,1770.0,51.0
1669872027.197747,1769.0,52.0
1669872027.207747,1768.0,52.0
1669872027.218303,1767.0,53.0
1669872027.238027,1766.0,53.0
1669872027.248232,1764.0,54.0
1669872027.258221,1763.0,54.0
1669872027.27717,1762.0,54.0
1669872027.317539,1762.0,55.0
1669872027.346782,1761.0,55.0
1669872027.377902,1760.0,56.0
1669872027.387749,1759.0,56.0
1669872027.428114,1758.0,56.0
1669872027.43732,1757.0,56.0
1669872027.467737,1756.0,56.0
1669872027.497604,1755.0,57.0
1669872027.599239,1754.0,57.0
1669872027.618125,1753.0,57.0
1669872027.628635,1752.0,57.0
1669872027.638544,1751.0,57.0
1669872027.647463,1749.0,57.0
1669872027.657461,1748.0,57.0
1669872027.669171,1745.0,57.0
1669872027.67894,1744.0,57.0
1669872027.688879,1741.0,57.0
1669872027.699306,1740.0,57.0
1669872027.709514,1737.0,57.0
1669872027.719542,1736.0,57.0
1669872027.729878,1734.0,57.0
1669872027.739232,1733.0,57.0
1669872027.880403,1732.0,57.0
1669872027.889898,1731.0,58.0
1669872027.900365,1730.0,58.0
1669872027.908943,1729.0,58.0
1669872027.920345,1728.0,58.0
1669872027.930385,1725.0,59.0
1669872027.940275,1724.0,59.0
1669872027.949166,1722.0,59.0
1669872027.959913,1720.0,59.0
1669872027.970496,1717.0,61.0
1669872027.980189,1716.0,61.0
1669872027.98843,1714.0,61.0
1669872027.999085,1710.0,61.0
1669872028.020431,1707.0,61.0
1669872028.029499,1705.0,61.0
1669872028.040003,1704.0,61.0
1669872028.222592,1703.0,61.0
1669872028.262496,1702.0,61.0
1669872028.291211,1701.0,62.0
1669872028.301197,1700.0,62.0
1669872028.312187,1699.0,62.0
