Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669872202.694777,MouseEvent,,2188.3333333333335,-151.0,,,Fixation,,,MouseEvent,"Down, Left"
1669872202.694777,,Mouse,2191.6666666666665,-153.0,,,Fixation,1880.0,70.0,,
1669872202.701753,,Eye Tracker,2195.0,-155.0,Valid,Valid,Fixation,,,,
1669872202.718408,,Eye Tracker,2196.0,-161.0,Valid,Valid,Fixation,,,,
1669872202.735063,,Eye Tracker,2185.0,-157.0,Valid,Valid,Fixation,,,,
1669872202.751718,,Eye Tracker,2186.0,-160.0,Valid,Valid,Fixation,,,,
1669872202.768372,,Eye Tracker,2187.0,-165.0,Valid,Valid,Fixation,,,,
1669872202.785027,,Eye Tracker,2185.0,-162.0,Valid,Valid,Fixation,,,,
1669872202.801682,,Eye Tracker,2169.0,-117.0,Invalid,Valid,Fixation,,,,
1669872202.818336,,Eye Tracker,2179.0,-117.0,Invalid,Valid,Fixation,,,,
1669872202.834992,,Eye Tracker,2184.0,-120.0,Invalid,Valid,Fixation,,,,
1669872202.851647,,Eye Tracker,2184.0,-123.0,Invalid,Valid,Fixation,,,,
1669872202.868301,,Eye Tracker,2179.0,-125.0,Invalid,Valid,Fixation,,,,
1669872202.884956,,Eye Tracker,2184.0,-130.0,Invalid,Valid,Fixation,,,,
1669872202.901611,,Eye Tracker,2194.0,-135.0,Invalid,Valid,Fixation,,,,
1669872202.918265,,Eye Tracker,2188.0,-137.0,Invalid,Valid,Fixation,,,,
1669872202.93492,,Eye Tracker,2180.0,-141.0,Invalid,Valid,Fixation,,,,
1669872202.951575,,Eye Tracker,2187.0,-145.0,Invalid,Valid,Fixation,,,,
1669872202.968229,,Eye Tracker,2185.0,-148.0,Invalid,Valid,Fixation,,,,
1669872202.984883,,Eye Tracker,2187.0,-142.0,Invalid,Valid,Fixation,,,,
1669872203.001538,,Eye Tracker,2186.0,-141.0,Invalid,Valid,Fixation,,,,
1669872203.018193,,Eye Tracker,2182.0,-142.0,Invalid,Valid,Fixation,,,,
1669872203.034848,,Eye Tracker,2182.0,-144.0,Invalid,Valid,Fixation,,,,
1669872203.044202,,Mouse,2182.5,-144.0,,,Fixation,1880.0,70.0,,
1669872203.051503,,Eye Tracker,2183.0,-144.0,Invalid,Valid,Fixation,,,,
1669872203.064221,,Mouse,2180.0,-142.5,,,Fixation,1880.0,70.0,,
1669872203.068158,,Eye Tracker,2177.0,-141.0,Invalid,Valid,Fixation,,,,
1669872203.084812,,Eye Tracker,2178.0,-142.0,Invalid,Valid,Fixation,,,,
1669872203.101467,,Eye Tracker,2201.0,-174.0,Valid,Valid,Fixation,,,,
1669872203.118122,,Eye Tracker,2197.0,-174.0,Valid,Valid,Fixation,,,,
1669872203.1347759,,Eye Tracker,2171.0,-134.0,Invalid,Valid,Fixation,,,,
1669872203.151431,,Eye Tracker,2173.0,-132.0,Invalid,Valid,Fixation,,,,
1669872203.168086,,Eye Tracker,2171.0,-137.0,Invalid,Valid,Fixation,,,,
1669872203.18474,,Eye Tracker,2175.0,-131.0,Invalid,Valid,Fixation,,,,
1669872203.201395,,Eye Tracker,2174.0,-122.0,Invalid,Valid,Fixation,,,,
1669872203.21805,,Eye Tracker,2165.0,-126.0,Invalid,Valid,Fixation,,,,
1669872203.234704,,Eye Tracker,2168.0,-127.0,Invalid,Valid,Fixation,,,,
1669872203.235238,,Mouse,2170.0,-130.5,,,Fixation,1880.0,70.0,,
1669872203.251359,,Eye Tracker,2172.0,-134.0,Invalid,Valid,Fixation,,,,
1669872203.268014,,Eye Tracker,2156.0,-136.0,Invalid,Valid,Fixation,,,,
1669872203.284669,,Eye Tracker,2153.0,-136.0,Invalid,Valid,Fixation,,,,
1669872203.301323,,Eye Tracker,2158.0,-139.0,Invalid,Valid,Fixation,,,,
1669872203.317978,,Eye Tracker,2154.0,-132.0,Invalid,Valid,Fixation,,,,
1669872203.334634,,Eye Tracker,2161.0,-125.0,Invalid,Valid,Fixation,,,,
1669872203.351288,,Eye Tracker,2160.0,-122.0,Invalid,Valid,Fixation,,,,
1669872203.355216,,Mouse,2159.0,-122.33333333333333,,,Fixation,1879.0,70.0,,
1669872203.365229,,Mouse,2158.0,-122.66666666666667,,,Fixation,1879.0,70.0,,
1669872203.367943,,Eye Tracker,2157.0,-123.0,Invalid,Valid,Fixation,,,,
1669872203.384598,,Eye Tracker,2161.0,-123.0,Invalid,Valid,Fixation,,,,
1669872203.385236,,Mouse,2161.0,-125.5,,,Fixation,1878.0,69.0,,
1669872203.401252,,Eye Tracker,2161.0,-128.0,Invalid,Valid,Fixation,,,,
1669872203.416244,,Mouse,2159.0,-129.5,,,Fixation,1877.0,68.0,,
1669872203.417907,,Eye Tracker,2157.0,-131.0,Invalid,Valid,Fixation,,,,
1669872203.434562,,Eye Tracker,2155.0,-134.0,Invalid,Valid,Fixation,,,,
1669872203.435449,,Mouse,2153.5,-132.0,,,Fixation,1877.0,68.0,,
1669872203.451216,,Eye Tracker,2152.0,-130.0,Invalid,Valid,Fixation,,,,
1669872203.467871,,Eye Tracker,2149.0,-123.0,Invalid,Valid,Fixation,,,,
1669872203.484526,,Eye Tracker,2155.0,-117.0,Invalid,Valid,Fixation,,,,
1669872203.496457,,Mouse,2156.0,-114.0,,,Fixation,1876.0,68.0,,
1669872203.50118,,Eye Tracker,2157.0,-111.0,Invalid,Valid,Fixation,,,,
1669872203.517835,,Eye Tracker,2149.0,-113.0,Invalid,Valid,Fixation,,,,
1669872203.5344899,,Eye Tracker,2148.0,-114.0,Invalid,Valid,Fixation,,,,
