Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669869342.795396,,Eye Tracker,-192.0,-39.0,Valid,Valid,Fixation
1669869342.812051,,Eye Tracker,-190.0,-42.0,Valid,Valid,Fixation
1669869342.828705,,Eye Tracker,-194.0,-43.0,Valid,Valid,Fixation
1669869342.84536,,Eye Tracker,-199.0,-43.0,Valid,Valid,Fixation
1669869342.862016,,Eye Tracker,-200.0,-47.0,Valid,Valid,Fixation
1669869342.87867,,Eye Tracker,-205.0,-53.0,Valid,Valid,Fixation
1669869342.895325,,Eye Tracker,-206.0,-56.0,Valid,Valid,Fixation
1669869342.91198,,Eye Tracker,-204.0,-52.0,Valid,Valid,Fixation
1669869342.928634,,Eye Tracker,-205.0,-51.0,Valid,Valid,Fixation
1669869342.945289,,Eye Tracker,-205.0,-52.0,Valid,Valid,Fixation
1669869342.961944,,Eye Tracker,-204.0,-51.0,Valid,Valid,Fixation
1669869342.978599,,Eye Tracker,-209.0,-55.0,Valid,Valid,Fixation
1669869342.995253,,Eye Tracker,-149.0,-54.0,Valid,Valid,Saccade
1669869343.011908,,Eye Tracker,-38.0,-61.0,Valid,Valid,Saccade
1669869343.028563,,Eye Tracker,41.0,-53.0,Valid,Valid,Saccade
1669869343.045217,,Eye Tracker,45.0,-35.0,Valid,Valid,Fixation
1669869343.061872,,Eye Tracker,55.0,-26.0,Valid,Valid,Fixation
1669869343.078528,,Eye Tracker,60.0,-28.0,Valid,Valid,Fixation
1669869343.095182,,Eye Tracker,65.0,-26.0,Valid,Valid,Fixation
1669869343.111837,,Eye Tracker,78.0,-22.0,Valid,Valid,Fixation
1669869343.128492,,Eye Tracker,75.0,-9.0,Valid,Valid,Fixation
1669869343.145146,,Eye Tracker,76.0,-1.0,Valid,Valid,Fixation
1669869343.161801,,Eye Tracker,79.0,-4.0,Valid,Valid,Fixation
1669869343.178456,,Eye Tracker,68.0,2.0,Valid,Valid,Fixation
1669869343.19511,,Eye Tracker,-23.0,8.0,Valid,Valid,Saccade
1669869343.211765,,Eye Tracker,-95.0,23.0,Valid,Valid,Saccade
