Recording timestamp,Position X,Position Y
1669869344.102526,38.0,95.0
1669869344.111754,39.0,95.0
1669869344.12253,41.0,95.0
1669869344.132524,44.0,96.0
1669869344.142568,48.0,96.0
1669869344.15151,52.0,96.0
1669869344.163542,54.0,96.0
1669869344.173542,59.0,98.0
1669869344.182282,62.0,98.0
1669869344.191284,65.0,98.0
1669869344.203284,69.0,98.0
1669869344.213284,72.0,98.0
1669869344.222315,74.0,98.0
1669869344.233309,76.0,98.0
1669869344.244309,78.0,98.0
1669869344.253309,79.0,98.0
1669869344.26331,82.0,98.0
1669869344.274312,83.0,98.0
1669869344.283343,84.0,98.0
1669869344.29331,85.0,98.0
1669869344.304312,87.0,98.0
1669869344.314312,89.0,98.0
1669869344.322343,92.0,98.0
1669869344.333341,98.0,98.0
1669869344.34431,103.0,98.0
1669869344.353311,109.0,98.0
1669869344.36331,116.0,98.0
1669869344.37431,124.0,99.0
1669869344.383309,132.0,100.0
1669869344.393309,140.0,102.0
1669869344.403312,147.0,103.0
1669869344.414312,154.0,103.0
1669869344.423309,162.0,104.0
1669869344.43431,171.0,107.0
1669869344.443319,180.0,107.0
1669869344.45231,190.0,109.0
1669869344.463312,200.0,110.0
1669869344.474311,209.0,111.0
1669869344.483311,216.0,112.0
1669869344.493312,224.0,113.0
1669869344.50431,230.0,115.0
1669869344.514369,238.0,115.0
1669869344.525371,245.0,116.0
1669869344.533325,252.0,117.0
1669869344.544376,260.0,119.0
1669869344.55435,267.0,120.0
1669869344.564311,275.0,120.0
1669869344.574309,281.0,121.0
1669869344.58431,288.0,123.0
1669869344.595311,295.0,124.0
1669869344.605312,301.0,124.0
1669869344.615341,305.0,125.0
1669869344.623363,312.0,125.0
1669869344.635325,315.0,125.0
1669869344.646385,318.0,125.0
1669869344.655363,321.0,125.0
1669869344.664375,323.0,125.0
1669869344.766746,324.0,125.0
1669869344.786395,325.0,125.0
1669869344.845302,326.0,125.0
1669869344.866337,327.0,125.0
1669869344.884302,328.0,125.0
1669869344.925405,329.0,125.0
1669869344.936401,330.0,125.0
1669869344.946379,331.0,125.0
1669869344.955377,332.0,125.0
1669869344.964341,333.0,125.0
1669869344.976338,334.0,125.0
1669869344.985339,337.0,125.0
1669869344.996432,339.0,124.0
1669869345.004518,343.0,124.0
1669869345.014377,345.0,123.0
1669869345.025384,350.0,121.0
1669869345.036377,354.0,121.0
1669869345.044377,360.0,121.0
1669869345.054408,363.0,120.0
1669869345.06541,368.0,120.0
1669869345.075409,373.0,119.0
1669869345.086261,378.0,118.0
1669869345.096222,382.0,117.0
1669869345.107215,385.0,116.0
1669869345.117186,387.0,116.0
1669869345.127186,389.0,116.0
1669869345.136185,392.0,115.0
1669869345.147192,393.0,114.0
1669869345.157242,394.0,114.0
1669869345.167218,396.0,114.0
1669869345.176187,397.0,114.0
1669869345.186216,398.0,114.0
1669869345.197232,400.0,114.0
1669869345.207778,401.0,114.0
1669869345.215873,402.0,114.0
1669869345.225913,403.0,113.0
1669869345.246839,404.0,113.0
1669869345.256618,406.0,113.0
1669869345.267355,407.0,113.0
1669869345.277354,409.0,113.0
1669869345.287365,412.0,113.0
1669869345.298354,416.0,113.0
1669869345.306354,420.0,113.0
1669869345.318356,422.0,113.0
1669869345.328354,426.0,113.0
1669869345.337364,429.0,113.0
1669869345.346354,433.0,113.0
1669869345.356361,438.0,113.0
1669869345.367363,445.0,113.0
1669869345.377354,451.0,113.0
1669869345.386355,458.0,113.0
1669869345.397357,465.0,113.0
1669869345.408354,473.0,114.0
1669869345.417385,479.0,115.0
1669869345.427361,485.0,116.0
1669869345.436361,489.0,116.0
1669869345.447354,496.0,118.0
1669869345.458357,499.0,118.0
1669869345.467354,503.0,118.0
1669869345.476355,504.0,118.0
1669869345.487364,506.0,118.0
1669869345.587355,507.0,118.0
1669869345.597391,508.0,118.0
1669869345.607357,509.0,118.0
1669869345.619354,511.0,118.0
1669869345.628361,512.0,118.0
1669869345.638354,515.0,118.0
1669869345.647357,518.0,118.0
1669869345.659357,520.0,118.0
1669869345.669355,523.0,118.0
1669869345.678354,525.0,118.0
1669869345.688354,526.0,118.0
1669869345.870493,527.0,118.0
1669869345.959502,528.0,119.0
1669869345.969492,528.0,121.0
1669869345.979495,529.0,123.0
1669869345.988546,530.0,124.0
1669869346.000518,532.0,126.0
1669869346.010511,533.0,129.0
1669869346.021547,534.0,130.0
1669869346.028559,534.0,131.0
1669869346.078501,535.0,132.0
1669869346.090046,535.0,133.0
1669869346.100039,536.0,136.0
1669869346.110041,536.0,138.0
1669869346.120047,539.0,141.0
1669869346.131038,540.0,145.0
1669869346.141039,542.0,147.0
1669869346.151047,542.0,148.0
1669869346.161039,542.0,149.0
1669869346.171039,543.0,151.0
1669869346.181042,544.0,152.0
1669869346.191165,544.0,153.0
1669869346.20004,544.0,154.0
1669869346.210048,545.0,155.0
1669869346.221047,545.0,156.0
1669869346.231039,545.0,157.0
1669869346.24017,545.0,159.0
1669869346.249352,546.0,160.0
1669869346.261349,546.0,162.0
1669869346.270348,546.0,165.0
1669869346.280356,547.0,167.0
1669869346.291115,547.0,169.0
1669869346.302116,548.0,173.0
1669869346.312116,548.0,178.0
1669869346.322114,549.0,184.0
1669869346.331115,549.0,188.0
1669869346.342159,549.0,191.0
1669869346.352114,549.0,197.0
1669869346.362113,549.0,202.0
1669869346.371114,549.0,207.0
1669869346.382115,549.0,213.0
1669869346.392114,549.0,217.0
1669869346.402113,549.0,223.0
1669869346.41115,549.0,228.0
1669869346.421161,549.0,232.0
1669869346.432117,549.0,236.0
1669869346.442158,549.0,240.0
1669869346.451115,549.0,245.0
1669869346.461151,549.0,249.0
1669869346.472153,549.0,252.0
1669869346.482151,549.0,254.0
1669869346.492114,549.0,257.0
1669869346.501114,549.0,260.0
1669869346.512116,549.0,262.0
1669869346.522115,549.0,265.0
1669869346.532117,549.0,266.0
1669869346.541113,549.0,267.0
1669869346.55213,549.0,268.0
1669869346.562114,549.0,269.0
1669869346.581162,549.0,270.0
1669869346.602126,549.0,272.0
1669869346.612114,549.0,273.0
1669869346.622114,549.0,276.0
1669869346.632115,549.0,277.0
1669869346.643114,549.0,279.0
1669869346.653114,549.0,281.0
1669869346.663156,549.0,285.0
1669869346.672159,549.0,289.0
1669869346.683115,549.0,292.0
1669869346.693114,549.0,298.0
1669869346.703118,549.0,302.0
1669869346.712116,549.0,306.0
1669869346.723115,549.0,310.0
1669869346.733146,549.0,313.0
1669869346.743115,549.0,317.0
1669869346.752114,549.0,320.0
1669869346.762017,549.0,324.0
1669869346.773046,549.0,326.0
1669869346.783057,549.0,329.0
1669869346.793205,549.0,333.0
1669869346.802719,549.0,337.0
1669869346.813719,549.0,340.0
1669869346.823712,549.0,344.0
1669869346.833713,549.0,347.0
1669869346.842961,549.0,350.0
1669869346.853713,549.0,353.0
1669869346.863743,549.0,356.0
1669869346.873721,549.0,358.0
1669869346.882712,549.0,361.0
1669869346.893712,549.0,362.0
1669869346.903712,549.0,366.0
1669869346.913966,549.0,368.0
1669869346.922742,549.0,371.0
1669869346.932713,549.0,374.0
1669869346.943719,549.0,376.0
1669869346.953719,549.0,378.0
1669869346.962711,549.0,380.0
1669869346.972714,549.0,382.0
1669869346.983775,549.0,386.0
1669869346.993742,549.0,388.0
1669869347.003957,549.0,392.0
1669869347.012772,549.0,395.0
1669869347.023712,549.0,399.0
1669869347.033713,549.0,402.0
1669869347.043969,549.0,404.0
1669869347.052959,549.0,408.0
1669869347.063743,549.0,409.0
1669869347.073713,549.0,412.0
1669869347.084738,549.0,415.0
1669869347.093731,549.0,417.0
1669869347.103765,549.0,418.0
1669869347.113742,549.0,420.0
1669869347.123742,549.0,422.0
1669869347.13398,549.0,426.0
1669869347.14397,549.0,428.0
1669869347.154711,549.0,431.0
1669869347.164743,549.0,434.0
1669869347.174971,549.0,436.0
1669869347.183964,549.0,439.0
1669869347.194742,549.0,441.0
1669869347.204719,549.0,442.0
1669869347.214723,549.0,444.0
1669869347.223711,549.0,445.0
1669869347.234714,549.0,447.0
1669869347.24495,549.0,448.0
1669869347.254743,548.0,450.0
1669869347.273941,548.0,451.0
1669869347.305223,548.0,452.0
1669869347.31488,548.0,453.0
1669869347.354624,547.0,453.0
1669869347.365624,547.0,454.0
1669869347.405876,546.0,455.0
1669869347.425654,545.0,456.0
1669869347.444882,544.0,456.0
1669869347.455655,543.0,456.0
1669869347.465629,541.0,456.0
1669869347.474874,540.0,456.0
1669869347.495624,537.0,458.0
1669869347.515623,535.0,459.0
1669869347.524656,533.0,459.0
1669869347.535872,532.0,460.0
1669869347.545868,532.0,461.0
1669869347.555654,530.0,461.0
1669869347.564663,528.0,462.0
1669869347.575623,526.0,463.0
1669869347.585623,525.0,464.0
1669869347.59563,523.0,464.0
1669869347.604624,519.0,466.0
1669869347.614632,516.0,467.0
1669869347.625623,512.0,468.0
1669869347.635632,510.0,468.0
1669869347.645632,506.0,470.0
1669869347.655623,505.0,470.0
1669869347.666623,503.0,470.0
1669869347.676632,501.0,471.0
1669869347.686623,499.0,471.0
1669869347.695625,498.0,471.0
1669869347.716624,495.0,472.0
1669869347.728552,494.0,472.0
1669869347.73555,492.0,472.0
1669869347.74655,490.0,473.0
1669869347.75655,489.0,473.0
1669869347.766581,487.0,473.0
1669869347.775812,485.0,473.0
1669869347.785581,484.0,473.0
1669869347.79715,482.0,473.0
1669869347.807113,481.0,474.0
1669869347.817137,480.0,474.0
1669869347.827036,479.0,474.0
1669869347.848039,478.0,474.0
1669869347.858161,477.0,474.0
