Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669869658.395,MouseEvent,,542.0,553.6666666666666,,,Fixation
1669869658.411421,,Mouse,541.0,553.3333333333334,,,Fixation
1669869658.428076,,Eye Tracker,540.0,553.0,Valid,Valid,Fixation
1669869658.439379,,Eye Tracker,540.0,551.0,Valid,Valid,Fixation
1669869658.455359,,Eye Tracker,542.0,552.0,Valid,Valid,Fixation
1669869658.459733,,Eye Tracker,541.0,551.0,Valid,Valid,Fixation
1669869658.476389,,Eye Tracker,542.0,555.0,Valid,Valid,Fixation
1669869658.479436,,Eye Tracker,548.0,560.0,Valid,Valid,Fixation
1669869658.493043,,Eye Tracker,550.0,562.0,Valid,Valid,Fixation
1669869658.495393,,Eye Tracker,550.0,563.0,Valid,Valid,Fixation
1669869658.509698,,Eye Tracker,558.0,562.0,Valid,Valid,Fixation
1669869658.519363,,Eye Tracker,558.0,562.0,Valid,Valid,Fixation
1669869658.526353,,Eye Tracker,557.0,561.0,Valid,Valid,Fixation
1669869658.543008,,Eye Tracker,560.0,561.0,Valid,Valid,Fixation
1669869658.5596619,,Eye Tracker,560.0,560.0,Valid,Valid,Fixation
1669869658.575367,,Eye Tracker,558.0,559.0,Valid,Valid,Fixation
1669869658.576317,,Eye Tracker,556.0,561.0,Valid,Valid,Fixation
1669869658.591356,,Eye Tracker,556.0,563.0,Valid,Valid,Fixation
1669869658.592972,,Eye Tracker,556.0,564.0,Valid,Valid,Fixation
1669869658.607359,,Eye Tracker,554.0,564.0,Valid,Valid,Fixation
1669869658.609626,,Eye Tracker,552.0,565.0,Valid,Valid,Fixation
1669869658.623384,,Eye Tracker,553.0,566.0,Valid,Valid,Fixation
1669869658.626281,,Eye Tracker,555.0,570.0,Valid,Valid,Fixation
1669869658.6394,,Eye Tracker,553.0,573.0,Valid,Valid,Fixation
1669869658.642936,,Eye Tracker,556.0,576.0,Valid,Valid,Fixation
1669869658.655436,,Eye Tracker,556.0,576.0,Valid,Valid,Fixation
1669869658.65959,,Eye Tracker,556.0,572.0,Valid,Valid,Fixation
1669869658.671369,,Eye Tracker,555.0,572.0,Valid,Valid,Fixation
1669869658.676245,,Eye Tracker,557.0,574.0,Valid,Valid,Fixation
1669869658.687409,,Eye Tracker,560.0,575.0,Valid,Valid,Fixation
1669869658.6929,,Eye Tracker,558.0,576.0,Valid,Valid,Fixation
1669869658.709554,,Eye Tracker,562.0,573.0,Valid,Valid,Fixation
1669869658.7262099,,Mouse,564.0,571.5,,,Fixation
1669869658.72737,,Eye Tracker,566.0,570.0,Valid,Valid,Fixation
1669869658.742865,,Mouse,566.5,571.0,,,Fixation
1669869658.7595189,,Eye Tracker,567.0,572.0,Valid,Valid,Fixation
1669869658.7673619,,Mouse,565.5,572.0,,,Fixation
1669869658.776174,,Eye Tracker,564.0,572.0,Valid,Valid,Fixation
1669869658.7834,,Mouse,564.6666666666666,573.0,,,Fixation
1669869658.8074,,Mouse,565.3333333333334,574.0,,,Fixation
1669869658.810432,,Eye Tracker,566.0,575.0,Valid,Valid,Fixation
1669869658.827086,,Mouse,567.0,577.0,,,Fixation
1669869658.843741,,Eye Tracker,568.0,579.0,Valid,Valid,Fixation
1669869658.860396,,Mouse,566.5,578.5,,,Fixation
1669869658.87705,,Eye Tracker,565.0,578.0,Valid,Valid,Fixation
1669869658.893705,,Mouse,564.5,578.0,,,Fixation
1669869658.91036,,Eye Tracker,564.0,578.0,Valid,Valid,Fixation
1669869658.927015,,Mouse,565.0,577.0,,,Fixation
