Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669869876.375173,,Eye Tracker,1785.0,313.0,Valid,Valid,Fixation
1669869876.391828,,Eye Tracker,1782.0,307.0,Valid,Valid,Fixation
1669869876.408484,,Eye Tracker,1782.0,306.0,Valid,Valid,Fixation
1669869876.425138,,Eye Tracker,1781.0,311.0,Valid,Valid,Fixation
1669869876.441793,,Eye Tracker,1742.0,291.0,Valid,Valid,Saccade
1669869876.458448,,Eye Tracker,1706.0,263.0,Valid,Valid,Saccade
1669869876.475102,,Eye Tracker,1707.0,257.0,Valid,Valid,Fixation
1669869876.491757,,Eye Tracker,1702.0,260.0,Valid,Valid,Fixation
1669869876.508412,,Eye Tracker,1702.0,263.0,Valid,Valid,Fixation
1669869876.525066,,Eye Tracker,1695.0,269.0,Valid,Valid,Fixation
1669869876.541721,,Eye Tracker,1691.0,275.0,Valid,Valid,Fixation
1669869876.558376,,Eye Tracker,1687.0,271.0,Valid,Valid,Fixation
1669869876.575031,,Eye Tracker,1680.0,275.0,Valid,Valid,Fixation
1669869876.591685,,Eye Tracker,1604.0,272.0,Valid,Valid,Saccade
1669869876.60834,,Eye Tracker,1453.0,254.0,Valid,Valid,Saccade
1669869876.624995,,Eye Tracker,1429.0,239.0,Valid,Valid,Saccade
1669869876.641649,,Eye Tracker,1418.0,246.0,Valid,Valid,Fixation
1669869876.658305,,Eye Tracker,1420.0,245.0,Valid,Valid,Fixation
1669869876.67496,,Eye Tracker,1425.0,242.0,Valid,Valid,Fixation
1669869876.691614,,Eye Tracker,1424.0,243.0,Valid,Valid,Fixation
1669869876.708269,,Eye Tracker,1418.0,242.0,Valid,Valid,Fixation
1669869876.724924,,Eye Tracker,1421.0,239.0,Valid,Valid,Fixation
1669869876.741578,,Eye Tracker,1425.0,240.0,Valid,Valid,Fixation
1669869876.758233,,Eye Tracker,1424.0,239.0,Valid,Valid,Fixation
1669869876.774888,,Eye Tracker,1428.0,236.0,Valid,Valid,Fixation
1669869876.791542,,Eye Tracker,1429.0,236.0,Valid,Valid,Fixation
1669869876.808197,,Eye Tracker,1428.0,238.0,Valid,Valid,Fixation
1669869876.824852,,Eye Tracker,1424.0,234.0,Valid,Valid,Fixation
1669869876.841507,,Eye Tracker,1427.0,232.0,Valid,Valid,Fixation
1669869876.858161,,Eye Tracker,1432.0,236.0,Valid,Valid,Fixation
1669869876.874816,,Eye Tracker,1432.0,229.0,Valid,Valid,Fixation
1669869876.891471,,Eye Tracker,1429.0,228.0,Valid,Valid,Fixation
1669869876.908126,,Eye Tracker,1426.0,232.0,Valid,Valid,Fixation
1669869876.924781,,Eye Tracker,1408.0,241.0,Valid,Valid,Fixation
1669869876.941436,,Eye Tracker,1213.0,271.0,Valid,Valid,Saccade
1669869876.95809,,Eye Tracker,1134.0,285.0,Valid,Valid,Saccade
1669869876.974745,,Eye Tracker,1075.0,304.0,Valid,Valid,Saccade
1669869876.9914,,Eye Tracker,1074.0,307.0,Valid,Valid,Fixation
1669869877.008054,,Eye Tracker,1073.0,305.0,Valid,Valid,Fixation
1669869877.02471,,Eye Tracker,1069.0,298.0,Valid,Valid,Fixation
1669869877.041365,,Eye Tracker,1077.0,293.0,Valid,Valid,Fixation
1669869877.058019,,Eye Tracker,1073.0,291.0,Valid,Valid,Fixation
1669869877.074674,,Eye Tracker,1072.0,290.0,Valid,Valid,Fixation
1669869877.091329,,Eye Tracker,1072.0,300.0,Valid,Valid,Fixation
1669869877.107983,,Eye Tracker,1067.0,301.0,Valid,Valid,Fixation
1669869877.124638,,Eye Tracker,1070.0,302.0,Valid,Valid,Fixation
1669869877.141293,,Eye Tracker,1069.0,307.0,Valid,Valid,Fixation
1669869877.157949,,Eye Tracker,1069.0,305.0,Valid,Valid,Fixation
1669869877.174603,,Eye Tracker,1073.0,302.0,Valid,Valid,Fixation
1669869877.191258,,Eye Tracker,1078.0,300.0,Valid,Valid,Fixation
1669869877.207913,,Eye Tracker,1070.0,305.0,Valid,Valid,Fixation
1669869877.224567,,Eye Tracker,1071.0,312.0,Valid,Valid,Fixation
1669869877.241222,,Eye Tracker,1076.0,309.0,Valid,Valid,Fixation
1669869877.257877,,Eye Tracker,1079.0,308.0,Valid,Valid,Fixation
1669869877.274531,,Eye Tracker,1078.0,311.0,Valid,Valid,Fixation
1669869877.291186,,Eye Tracker,1079.0,309.0,Valid,Valid,Fixation
1669869877.307841,,Eye Tracker,1080.0,312.0,Valid,Valid,Fixation
1669869877.324495,,Eye Tracker,1078.0,316.0,Valid,Valid,Fixation
1669869877.34115,,Eye Tracker,1075.0,316.0,Valid,Valid,Fixation
1669869877.357805,,Eye Tracker,1073.0,317.0,Valid,Valid,Fixation
1669869877.37446,,Eye Tracker,1078.0,318.0,Valid,Valid,Fixation
1669869877.391114,,Eye Tracker,1079.0,317.0,Valid,Valid,Fixation
