Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669870044.9109368,MouseEvent,,1807.75,869.25,,,Fixation,,,MouseEvent,"Down, Left"
1669870044.9109368,,Mouse,1807.5,869.5,,,Fixation,1804.0,903.0,,
1669870044.9121659,,Mouse,1807.25,869.75,,,Fixation,1802.0,915.0,,
1669870044.9237049,,Eye Tracker,1807.0,870.0,Valid,Valid,Fixation,,,,
1669870044.9304948,,Mouse,1810.5,866.0,,,Fixation,1800.0,924.0,,
1669870044.9403598,,Eye Tracker,1814.0,862.0,Valid,Valid,Fixation,,,,
1669870044.957016,,Eye Tracker,1805.0,871.0,Valid,Valid,Fixation,,,,
1669870044.9736698,,Eye Tracker,1805.0,875.0,Valid,Valid,Fixation,,,,
1669870044.990325,,Eye Tracker,1808.0,871.0,Valid,Valid,Fixation,,,,
1669870045.00698,,Eye Tracker,1803.0,876.0,Valid,Valid,Fixation,,,,
1669870045.023635,,Eye Tracker,1688.0,843.0,Valid,Valid,Saccade,,,,
1669870045.040289,,Eye Tracker,1621.0,812.0,Valid,Valid,Saccade,,,,
1669870045.056944,,Eye Tracker,1387.0,658.0,Valid,Valid,Saccade,,,,
1669870045.0735989,,Eye Tracker,1372.0,636.0,Valid,Valid,Fixation,,,,
1669870045.0902529,,Eye Tracker,1370.0,641.0,Valid,Valid,Fixation,,,,
1669870045.092604,,Mouse,1370.5,645.0,,,Fixation,1798.0,925.0,,
1669870045.1069078,,Eye Tracker,1371.0,649.0,Valid,Valid,Fixation,,,,
1669870045.111826,,Mouse,1370.3333333333333,648.6666666666666,,,Fixation,1791.0,925.0,,
1669870045.122566,,Mouse,1369.6666666666667,648.3333333333334,,,Fixation,1787.0,925.0,,
1669870045.1235628,,Eye Tracker,1369.0,648.0,Valid,Valid,Fixation,,,,
1669870045.1327078,,Mouse,1367.5,647.5,,,Fixation,1782.0,925.0,,
1669870045.1402168,,Eye Tracker,1366.0,647.0,Valid,Valid,Fixation,,,,
1669870045.1515558,,Mouse,1365.0,647.5,,,Fixation,1776.0,925.0,,
1669870045.1568718,,Eye Tracker,1364.0,648.0,Valid,Valid,Fixation,,,,
1669870045.162576,,Mouse,1363.6666666666667,649.0,,,Fixation,1772.0,925.0,,
1669870045.172874,,Mouse,1363.3333333333333,650.0,,,Fixation,1770.0,925.0,,
1669870045.173527,,Eye Tracker,1363.0,651.0,Valid,Valid,Fixation,,,,
1669870045.1901808,,Eye Tracker,1408.0,680.0,Valid,Valid,Saccade,,,,
1669870045.191872,,Mouse,1481.0,727.5,,,Saccade,1766.0,925.0,,
1669870045.206836,,Eye Tracker,1554.0,775.0,Valid,Valid,Saccade,,,,
1669870045.2125878,,Mouse,1639.5,828.0,,,Saccade,1765.0,925.0,,
1669870045.223491,,Eye Tracker,1725.0,881.0,Valid,Valid,Saccade,,,,
1669870045.240145,,Eye Tracker,1756.0,885.0,Valid,Valid,Saccade,,,,
1669870045.2568,,Eye Tracker,1753.0,879.0,Valid,Valid,Fixation,,,,
1669870045.273455,,Eye Tracker,1749.0,880.0,Valid,Valid,Fixation,,,,
1669870045.2901099,,Eye Tracker,1745.0,884.0,Valid,Valid,Fixation,,,,
1669870045.3026078,,Mouse,1743.0,886.0,,,Fixation,1764.0,925.0,,
1669870045.306764,,Eye Tracker,1741.0,888.0,Valid,Valid,Fixation,,,,
1669870045.3225558,,Mouse,1740.0,887.0,,,Fixation,1758.0,923.0,,
