Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669875711.763888,,,,MouseEvent,"Down, Left"
1669875711.763888,Mouse,1494.0,147.0,,
1669875712.506973,Mouse,1494.0,148.0,,
1669875712.948802,Mouse,1494.0,148.0,,
1669875712.9798,Mouse,1493.0,147.0,,
1669875712.999338,Mouse,1492.0,146.0,,
1669875713.018815,Mouse,1491.0,145.0,,
1669875713.029097,Mouse,1491.0,145.0,,
1669875713.088798,Mouse,1490.0,144.0,,
1669875713.109845,Mouse,1488.0,141.0,,
1669875713.128868,Mouse,1486.0,139.0,,
1669875713.149859,Mouse,1485.0,137.0,,
1669875713.188879,Mouse,1484.0,137.0,,
1669875713.199793,Mouse,1484.0,136.0,,
1669875713.401142,Mouse,1483.0,135.0,,
1669875713.420989,Mouse,1482.0,134.0,,
1669875713.45187,Mouse,1480.0,133.0,,
1669875713.470834,Mouse,1478.0,131.0,,
1669875713.491857,Mouse,1477.0,130.0,,
1669875713.510994,Mouse,1475.0,129.0,,
1669875713.521529,Mouse,1475.0,129.0,,
1669875713.540752,Mouse,1473.0,128.0,,
1669875713.560842,Mouse,1471.0,127.0,,
1669875713.581958,Mouse,1470.0,126.0,,
1669875713.600828,Mouse,1468.0,126.0,,
1669875713.62214,Mouse,1468.0,125.0,,
1669875713.650793,Mouse,1467.0,125.0,,
1669875713.670803,Mouse,1466.0,124.0,,
1669875713.700834,Mouse,1465.0,124.0,,
1669875713.73186,Mouse,1465.0,124.0,,
1669875713.801811,Mouse,1464.0,123.0,,
1669875713.812007,Mouse,1463.0,123.0,,
1669875713.842493,Mouse,1463.0,123.0,,
1669875713.861791,Mouse,1462.0,122.0,,
1669875713.871836,Mouse,1460.0,121.0,,
1669875713.883059,Mouse,1459.0,120.0,,
1669875713.893141,Mouse,1457.0,120.0,,
1669875713.912888,Mouse,1455.0,119.0,,
1669875713.923812,Mouse,1454.0,119.0,,
1669875713.942851,Mouse,1452.0,118.0,,
1669875713.963795,Mouse,1451.0,118.0,,
1669875713.99277,Mouse,1450.0,117.0,,
1669875714.003805,Mouse,1450.0,117.0,,
1669875714.044224,Mouse,1449.0,117.0,,
1669875714.072853,Mouse,1448.0,116.0,,
1669875714.093826,Mouse,1446.0,115.0,,
1669875714.122812,Mouse,1444.0,115.0,,
1669875714.133796,Mouse,1443.0,115.0,,
1669875714.153838,Mouse,1440.0,115.0,,
1669875714.173749,Mouse,1438.0,114.0,,
1669875714.192773,Mouse,1436.0,114.0,,
1669875714.202777,Mouse,1435.0,114.0,,
1669875714.212845,Mouse,1434.0,114.0,,
1669875714.223804,Mouse,1431.0,114.0,,
1669875714.243837,Mouse,1429.0,114.0,,
1669875714.264775,Mouse,1428.0,113.0,,
1669875714.283745,Mouse,1426.0,113.0,,
1669875714.294517,Mouse,1425.0,113.0,,
1669875714.304784,Mouse,1423.0,113.0,,
1669875714.323809,Mouse,1421.0,113.0,,
1669875714.344927,Mouse,1417.0,113.0,,
1669875714.363794,Mouse,1414.0,113.0,,
1669875714.374085,Mouse,1413.0,113.0,,
1669875714.384834,Mouse,1411.0,113.0,,
1669875714.404775,Mouse,1407.0,113.0,,
1669875714.414902,Mouse,1405.0,113.0,,
1669875714.436012,Mouse,1402.0,113.0,,
1669875714.454792,Mouse,1401.0,114.0,,
1669875714.476104,Mouse,1398.0,114.0,,
1669875714.494821,Mouse,1396.0,114.0,,
1669875714.515914,Mouse,1394.0,114.0,,
1669875714.534832,Mouse,1393.0,114.0,,
1669875714.544942,Mouse,1393.0,114.0,,
1669875714.574966,Mouse,1390.0,114.0,,
1669875714.594794,Mouse,1389.0,114.0,,
1669875714.605819,Mouse,1389.0,114.0,,
1669875714.624796,Mouse,1387.0,114.0,,
1669875714.634968,Mouse,1386.0,114.0,,
1669875714.645933,Mouse,1385.0,114.0,,
1669875714.664838,Mouse,1381.0,114.0,,
1669875714.675033,Mouse,1380.0,114.0,,
1669875714.686707,Mouse,1379.0,114.0,,
1669875714.704869,Mouse,1377.0,114.0,,
1669875714.725822,Mouse,1374.0,115.0,,
1669875714.735824,Mouse,1372.0,115.0,,
1669875714.746071,Mouse,1371.0,115.0,,
1669875714.765936,Mouse,1367.0,115.0,,
1669875714.777094,Mouse,1366.0,115.0,,
1669875714.795766,Mouse,1364.0,115.0,,
1669875714.805847,Mouse,1363.0,115.0,,
1669875714.816808,Mouse,1362.0,115.0,,
1669875714.845942,Mouse,1360.0,115.0,,
1669875714.865845,Mouse,1359.0,115.0,,
1669875714.896799,Mouse,1358.0,115.0,,
1669875714.906832,Mouse,1357.0,116.0,,
1669875714.92682,Mouse,1355.0,116.0,,
1669875714.956761,Mouse,1354.0,116.0,,
1669875714.976913,Mouse,1354.0,116.0,,
1669875714.996845,Mouse,1352.0,116.0,,
1669875715.328939,Mouse,1351.0,116.0,,
1669875715.347795,Mouse,1347.0,116.0,,
1669875715.357853,Mouse,1345.0,116.0,,
1669875715.368799,Mouse,1343.0,115.0,,
1669875715.38779,Mouse,1339.0,115.0,,
1669875715.397801,Mouse,1336.0,115.0,,
1669875715.408805,Mouse,1335.0,115.0,,
1669875715.42886,Mouse,1334.0,115.0,,
1669875715.448824,Mouse,1333.0,115.0,,
1669875715.469105,Mouse,1333.0,115.0,,
1669875715.488829,Mouse,1332.0,115.0,,
1669875715.500038,Mouse,1331.0,115.0,,
1669875715.518804,Mouse,1326.0,115.0,,
1669875715.529086,Mouse,1323.0,115.0,,
1669875715.539794,Mouse,1320.0,115.0,,
1669875715.558817,Mouse,1313.0,115.0,,
1669875715.579793,Mouse,1308.0,115.0,,
1669875715.598916,Mouse,1303.0,115.0,,
