Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669876458.964345,,Eye Tracker,1593.0,711.0,Valid,Valid,Fixation
1669876458.980999,,Eye Tracker,1593.0,713.0,Valid,Valid,Fixation
1669876458.997654,,Eye Tracker,1595.0,715.0,Valid,Valid,Fixation
1669876459.014309,,Eye Tracker,1594.0,716.0,Valid,Valid,Fixation
1669876459.030963,,Eye Tracker,1592.0,715.0,Valid,Valid,Fixation
1669876459.047618,,Eye Tracker,1596.0,714.0,Valid,Valid,Fixation
1669876459.064273,,Eye Tracker,1596.0,717.0,Valid,Valid,Fixation
1669876459.080928,,Eye Tracker,1588.0,720.0,Valid,Valid,Fixation
1669876459.097582,,Eye Tracker,1592.0,721.0,Valid,Valid,Fixation
1669876459.114237,,Eye Tracker,1597.0,718.0,Valid,Valid,Fixation
1669876459.130892,,Eye Tracker,1588.0,714.0,Valid,Valid,Fixation
1669876459.147546,,Eye Tracker,1588.0,710.0,Valid,Valid,Fixation
1669876459.164201,,Eye Tracker,1594.0,714.0,Valid,Valid,Fixation
1669876459.180856,,Eye Tracker,1593.0,717.0,Valid,Valid,Fixation
1669876459.197511,,Eye Tracker,1593.0,714.0,Valid,Valid,Fixation
1669876459.214166,,Eye Tracker,1592.0,719.0,Valid,Valid,Fixation
1669876459.230821,,Eye Tracker,1590.0,725.0,Valid,Valid,Fixation
1669876459.247475,,Eye Tracker,1591.0,724.0,Valid,Valid,Fixation
1669876459.26413,,Eye Tracker,1591.0,724.0,Valid,Valid,Fixation
1669876459.280785,,Eye Tracker,1593.0,727.0,Valid,Valid,Fixation
1669876459.297439,,Eye Tracker,1597.0,723.0,Valid,Valid,Fixation
1669876459.314094,,Eye Tracker,1592.0,711.0,Valid,Valid,Fixation
1669876459.330749,,Eye Tracker,1592.0,711.0,Valid,Valid,Fixation
1669876459.347404,,Eye Tracker,1593.0,719.0,Valid,Valid,Fixation
1669876459.364058,,Eye Tracker,1589.0,722.0,Valid,Valid,Fixation
1669876459.380713,,Eye Tracker,1594.0,721.0,Valid,Valid,Fixation
1669876459.397368,,Eye Tracker,1598.0,717.0,Valid,Valid,Fixation
1669876459.414022,,Eye Tracker,1593.0,719.0,Valid,Valid,Fixation
1669876459.430677,,Eye Tracker,1597.0,718.0,Valid,Valid,Fixation
1669876459.447333,,Eye Tracker,1602.0,715.0,Valid,Valid,Fixation
1669876459.463987,,Eye Tracker,1602.0,716.0,Valid,Valid,Fixation
1669876459.480642,,Eye Tracker,1601.0,713.0,Valid,Valid,Fixation
1669876459.497297,,Eye Tracker,1600.0,714.0,Valid,Valid,Fixation
1669876459.513951,,Eye Tracker,1596.0,714.0,Valid,Valid,Fixation
1669876459.530606,,Eye Tracker,1594.0,715.0,Valid,Valid,Fixation
1669876459.547261,,Eye Tracker,1592.0,714.0,Valid,Valid,Fixation
1669876459.563915,,Eye Tracker,1592.0,713.0,Valid,Valid,Fixation
1669876459.58057,,Eye Tracker,1590.0,717.0,Valid,Valid,Fixation
1669876459.597225,,Eye Tracker,1588.0,710.0,Valid,Valid,Fixation
1669876459.61388,,Eye Tracker,1583.0,707.0,Valid,Valid,Fixation
1669876459.630534,,Eye Tracker,1585.0,713.0,Valid,Valid,Fixation
1669876459.647189,,Eye Tracker,1591.0,711.0,Valid,Valid,Fixation
1669876459.663844,,Eye Tracker,1534.0,689.0,Valid,Valid,Saccade
1669876459.680498,,Eye Tracker,1477.0,650.0,Valid,Valid,Saccade
1669876459.697153,,Eye Tracker,1446.0,614.0,Valid,Valid,Saccade
1669876459.713809,,Eye Tracker,1442.0,613.0,Valid,Valid,Fixation
1669876459.730463,,Eye Tracker,1444.0,613.0,Valid,Valid,Fixation
1669876459.747118,,Eye Tracker,1442.0,614.0,Valid,Valid,Fixation
1669876459.763773,,Eye Tracker,1447.0,615.0,Valid,Valid,Fixation
1669876459.780427,,Eye Tracker,1451.0,614.0,Valid,Valid,Fixation
1669876459.797082,,Eye Tracker,1452.0,612.0,Valid,Valid,Fixation
1669876459.813737,,Eye Tracker,1449.0,613.0,Valid,Valid,Fixation
1669876459.830391,,Eye Tracker,1448.0,610.0,Valid,Valid,Fixation
1669876459.847046,,Eye Tracker,1448.0,612.0,Valid,Valid,Fixation
1669876459.863701,,Eye Tracker,1448.0,618.0,Valid,Valid,Fixation
1669876459.880356,,Eye Tracker,1448.0,618.0,Valid,Valid,Fixation
1669876459.89701,,Eye Tracker,1473.0,637.0,Valid,Valid,Saccade
1669876459.913665,,Eye Tracker,1499.0,666.0,Valid,Valid,Saccade
1669876459.93032,,Eye Tracker,1506.0,673.0,Valid,Valid,Fixation
