Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669876956.980267,MouseEvent,,1789.3333333333333,919.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1669876956.980267,,Mouse,1787.6666666666667,919.3333333333334,,,Fixation,1803.0,896.0,,
1669876956.989719,,Eye Tracker,1786.0,919.0,Valid,Valid,Fixation,,,,
1669876957.006374,,Eye Tracker,1786.0,917.0,Valid,Valid,Fixation,,,,
1669876957.023029,,Eye Tracker,1785.0,916.0,Valid,Valid,Fixation,,,,
1669876957.039683,,Eye Tracker,1788.0,917.0,Valid,Valid,Fixation,,,,
1669876957.056338,,Eye Tracker,1793.0,912.0,Valid,Valid,Fixation,,,,
1669876957.072993,,Eye Tracker,1795.0,910.0,Valid,Valid,Fixation,,,,
1669876957.089648,,Eye Tracker,1794.0,916.0,Valid,Valid,Fixation,,,,
1669876957.106302,,Eye Tracker,1795.0,919.0,Valid,Valid,Fixation,,,,
1669876957.122957,,Eye Tracker,1790.0,917.0,Valid,Valid,Fixation,,,,
1669876957.139612,,Eye Tracker,1786.0,914.0,Valid,Valid,Fixation,,,,
1669876957.156266,,Eye Tracker,1794.0,915.0,Valid,Valid,Fixation,,,,
1669876957.172921,,Eye Tracker,1795.0,913.0,Valid,Valid,Fixation,,,,
1669876957.189576,,Eye Tracker,1792.0,912.0,Valid,Valid,Fixation,,,,
1669876957.191181,,Mouse,1791.3333333333333,913.3333333333334,,,Fixation,1803.0,896.0,,
1669876957.201368,,Mouse,1790.6666666666667,914.6666666666666,,,Fixation,1802.0,895.0,,
1669876957.2062309,,Eye Tracker,1790.0,916.0,Valid,Valid,Fixation,,,,
1669876957.212112,,Mouse,1790.0,915.5,,,Fixation,1800.0,893.0,,
1669876957.222886,,Eye Tracker,1790.0,915.0,Valid,Valid,Fixation,,,,
1669876957.231421,,Mouse,1790.5,915.5,,,Fixation,1796.0,889.0,,
1669876957.239541,,Eye Tracker,1791.0,916.0,Valid,Valid,Fixation,,,,
1669876957.2520869,,Mouse,1790.0,919.0,,,Fixation,1793.0,886.0,,
1669876957.256195,,Eye Tracker,1789.0,922.0,Valid,Valid,Fixation,,,,
1669876957.271329,,Mouse,1789.5,919.5,,,Fixation,1790.0,883.0,,
1669876957.27285,,Eye Tracker,1790.0,917.0,Valid,Valid,Fixation,,,,
1669876957.289505,,Eye Tracker,1790.0,911.0,Valid,Valid,Fixation,,,,
1669876957.292289,,Mouse,1787.5,911.0,,,Fixation,1787.0,882.0,,
1669876957.306159,,Eye Tracker,1785.0,911.0,Valid,Valid,Fixation,,,,
1669876957.311102,,Mouse,1785.0,911.0,,,Fixation,1784.0,880.0,,
1669876957.321114,,Mouse,1785.0,911.0,,,Fixation,1782.0,879.0,,
1669876957.322814,,Eye Tracker,1785.0,911.0,Valid,Valid,Fixation,,,,
1669876957.339469,,Eye Tracker,1791.0,911.0,Valid,Valid,Fixation,,,,
1669876957.3421,,Mouse,1790.0,911.0,,,Fixation,1780.0,877.0,,
1669876957.356124,,Eye Tracker,1789.0,911.0,Valid,Valid,Fixation,,,,
1669876957.3611119,,Mouse,1787.0,908.5,,,Fixation,1778.0,876.0,,
1669876957.372778,,Eye Tracker,1785.0,906.0,Valid,Valid,Fixation,,,,
1669876957.382092,,Mouse,1783.0,904.5,,,Fixation,1776.0,875.0,,
