Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668148482.436,MouseEvent,,98.0,985.6666666666666,,,Fixation
1668148482.44724,,Mouse,98.0,985.3333333333334,,,Fixation
1668148482.4510162,,Eye Tracker,98.0,985.0,Valid,Valid,Fixation
1668148482.46319,,Eye Tracker,99.0,986.0,Valid,Valid,Fixation
1668148482.4676702,,Eye Tracker,101.0,987.0,Valid,Valid,Fixation
1668148482.4793131,,Eye Tracker,102.0,989.0,Valid,Valid,Fixation
1668148482.4987402,,Eye Tracker,102.0,992.0,Valid,Valid,Fixation
1668148482.5153952,,Eye Tracker,105.0,993.0,Valid,Valid,Fixation
1668148482.5320492,,Mouse,104.5,995.0,,,Fixation
1668148482.5654292,,Eye Tracker,104.0,997.0,Valid,Valid,Fixation
1668148482.5820832,,Eye Tracker,108.0,996.0,Valid,Valid,Fixation
1668148482.5987382,,Eye Tracker,87.0,1002.0,Valid,Valid,Fixation
1668148482.6153932,,Eye Tracker,64.0,1014.0,Valid,Valid,Saccade
1668148482.6320472,,Eye Tracker,63.0,1013.0,Valid,Valid,Fixation
1668148482.648703,,Eye Tracker,63.0,1011.0,Valid,Valid,Fixation
1668148482.665358,,Eye Tracker,66.0,1009.0,Valid,Valid,Fixation
1668148482.682012,,Eye Tracker,73.0,1008.0,Valid,Valid,Fixation
1668148482.698667,,Mouse,75.5,1007.0,,,Fixation
1668148482.715322,,Eye Tracker,78.0,1006.0,Valid,Valid,Fixation
1668148482.731976,,Eye Tracker,74.0,1006.0,Valid,Valid,Fixation
1668148482.748631,,Eye Tracker,77.0,1006.0,Valid,Valid,Fixation
1668148482.7652862,,Eye Tracker,84.0,1004.0,Valid,Valid,Fixation
1668148482.7819402,,Eye Tracker,83.0,1006.0,Valid,Valid,Fixation
1668148482.7985952,,Mouse,83.5,1007.5,,,Fixation
1668148482.8152502,,Eye Tracker,84.0,1009.0,Valid,Valid,Fixation
1668148482.8319051,,Eye Tracker,89.0,1007.0,Valid,Valid,Fixation
1668148482.8485591,,Mouse,87.5,1008.0,,,Fixation
1668148482.865214,,Eye Tracker,86.0,1009.0,Valid,Valid,Fixation
1668148482.8711562,,Mouse,85.5,1009.0,,,Fixation
1668148482.88187,,Eye Tracker,85.0,1009.0,Valid,Valid,Fixation
1668148482.887146,,Mouse,81.0,1008.0,,,Fixation
1668148482.898524,,Eye Tracker,77.0,1007.0,Valid,Valid,Fixation
1668148482.90316,,Mouse,75.0,1007.5,,,Fixation
1668148482.915179,,Eye Tracker,73.0,1008.0,Valid,Valid,Fixation
1668148482.9191632,,Eye Tracker,67.0,1011.0,Valid,Valid,Fixation
1668148482.9318342,,Eye Tracker,68.0,1013.0,Valid,Valid,Fixation
1668148482.9351742,,Eye Tracker,73.0,1012.0,Valid,Valid,Fixation
1668148482.948488,,Mouse,73.0,1010.5,,,Fixation
1668148482.9511771,,Eye Tracker,73.0,1009.0,Valid,Valid,Fixation
1668148482.9651432,,Mouse,71.5,1010.5,,,Fixation
1668148482.96721,,Eye Tracker,70.0,1012.0,Valid,Valid,Fixation
1668148482.9817982,,Mouse,68.0,1012.5,,,Fixation
1668148482.983148,,Eye Tracker,66.0,1013.0,Valid,Valid,Fixation
1668148482.9984522,,Mouse,63.5,1012.0,,,Fixation
1668148482.9995,,Eye Tracker,61.0,1011.0,Valid,Valid,Fixation
1668148483.0151072,,Mouse,59.5,1011.5,,,Fixation
1668148483.015156,,Eye Tracker,58.0,1012.0,Valid,Valid,Fixation
1668148483.0311792,,Mouse,58.333333333333336,1013.0,,,Fixation
1668148483.0317621,,Mouse,58.666666666666664,1014.0,,,Fixation
1668148483.047208,,Eye Tracker,59.0,1015.0,Valid,Valid,Fixation
1668148483.0484161,,Mouse,59.5,1016.0,,,Fixation
1668148483.065071,,Eye Tracker,60.0,1017.0,Valid,Valid,Fixation
1668148483.081727,,Mouse,61.0,1016.0,,,Fixation
1668148483.098382,,Eye Tracker,62.0,1015.0,Valid,Valid,Fixation
1668148483.115036,,Mouse,62.5,1012.0,,,Fixation
1668148483.1316912,,Eye Tracker,63.0,1009.0,Valid,Valid,Fixation
1668148483.1483462,,Mouse,59.0,1010.0,,,Fixation
1668148483.1650002,,Eye Tracker,55.0,1011.0,Valid,Valid,Fixation
1668148483.1816552,,Mouse,53.5,1013.0,,,Fixation
1668148483.1983101,,Eye Tracker,52.0,1015.0,Valid,Valid,Fixation
1668148483.2149642,,Eye Tracker,49.0,1010.0,Valid,Valid,Fixation
1668148483.2316191,,Eye Tracker,45.0,1009.0,Valid,Valid,Fixation
1668148483.248274,,Eye Tracker,54.0,1011.0,Valid,Valid,Fixation
1668148483.264928,,Mouse,61.5,1006.5,,,Fixation
1668148483.281584,,Eye Tracker,69.0,1002.0,Valid,Valid,Fixation
1668148483.298239,,Eye Tracker,99.0,986.0,Valid,Valid,Saccade
1668148483.314893,,Mouse,100.33333333333333,985.6666666666666,,,Saccade
1668148483.3315482,,Mouse,101.66666666666667,985.3333333333334,,,Fixation
1668148483.3482032,,Eye Tracker,103.0,985.0,Valid,Valid,Fixation
1668148483.3648582,,Mouse,104.5,984.5,,,Fixation
1668148483.3815122,,Eye Tracker,106.0,984.0,Valid,Valid,Fixation
1668148483.3981671,,Mouse,112.0,990.0,,,Fixation
1668148483.399255,,Eye Tracker,118.0,996.0,Valid,Invalid,Fixation
1668148483.414822,,Mouse,114.0,998.5,,,Fixation
1668148483.415249,,Eye Tracker,110.0,1001.0,Valid,Invalid,Fixation
1668148483.431476,,Mouse,104.66666666666667,1001.6666666666666,,,Fixation
1668148483.4391751,,Mouse,99.33333333333333,1002.3333333333334,,,Fixation
1668148483.448131,,Eye Tracker,94.0,1003.0,Valid,Invalid,Fixation
1668148483.455178,,Mouse,92.5,1002.5,,,Fixation
1668148483.464786,,Eye Tracker,91.0,1002.0,Valid,Invalid,Fixation
1668148483.471187,,Mouse,92.0,1002.0,,,Fixation
