Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668150234.229309,,,,MouseEvent,"Down, Left"
1668150234.229309,Mouse,564.0,546.0,,
1668150235.455356,Mouse,564.0,546.0,,
1668150235.50434,Mouse,565.0,546.0,,
1668150235.564313,Mouse,565.0,547.0,,
1668150235.625084,Mouse,566.0,547.0,,
1668150235.66525,Mouse,567.0,548.0,,
1668150235.684054,Mouse,567.0,549.0,,
1668150235.69412,Mouse,568.0,549.0,,
1668150235.755114,Mouse,568.0,549.0,,
1668150235.814989,Mouse,569.0,550.0,,
1668150235.87607,Mouse,569.0,550.0,,
1668150235.916055,Mouse,569.0,551.0,,
1668150235.936023,Mouse,570.0,552.0,,
1668150235.94607,Mouse,570.0,553.0,,
1668150235.95712,Mouse,570.0,553.0,,
1668150235.967127,Mouse,570.0,554.0,,
1668150235.986129,Mouse,571.0,556.0,,
1668150235.997094,Mouse,571.0,557.0,,
1668150236.016052,Mouse,573.0,560.0,,
1668150236.026072,Mouse,573.0,561.0,,
1668150236.037034,Mouse,573.0,562.0,,
1668150236.047086,Mouse,574.0,563.0,,
1668150236.066082,Mouse,574.0,566.0,,
1668150236.073058,,,,MouseEvent,"Up, Left"
1668150236.073058,Mouse,574.0,566.0,,
1668150236.087055,Mouse,574.0,570.0,,
1668150236.106088,Mouse,575.0,572.0,,
1668150236.127063,Mouse,575.0,574.0,,
1668150236.146073,Mouse,575.0,576.0,,
1668150236.156213,Mouse,576.0,576.0,,
1668150236.167117,Mouse,576.0,577.0,,
1668150236.186137,Mouse,576.0,578.0,,
1668150236.196276,Mouse,576.0,580.0,,
1668150236.207071,Mouse,576.0,581.0,,
1668150236.217107,Mouse,575.0,582.0,,
1668150236.257056,Mouse,575.0,584.0,,
1668150236.267041,Mouse,575.0,584.0,,
1668150236.618339,,,,MouseEvent,"Up, Left"
1668150236.618339,Mouse,575.0,584.0,,
1668150236.810089,Mouse,575.0,584.0,,
1668150236.883685,Mouse,575.0,584.0,,
1668150236.90007,Mouse,573.0,583.0,,
1668150236.919247,Mouse,572.0,581.0,,
1668150237.021344,Mouse,572.0,581.0,,
1668150237.080093,Mouse,571.0,580.0,,
1668150237.161417,,,,MouseEvent,"Down, Left"
1668150237.161417,Mouse,571.0,580.0,,
1668150237.4021,Mouse,571.0,580.0,,
1668150237.431061,Mouse,571.0,581.0,,
1668150237.441215,Mouse,570.0,581.0,,
1668150237.472328,Mouse,570.0,581.0,,
1668150237.49306,Mouse,570.0,582.0,,
1668150237.493548,,,,MouseEvent,"Up, Left"
1668150237.493548,Mouse,570.0,582.0,,
1668150237.5524,Mouse,570.0,582.0,,
1668150237.573368,Mouse,569.0,584.0,,
1668150237.592112,Mouse,569.0,586.0,,
1668150237.613348,Mouse,569.0,587.0,,
1668150237.632172,Mouse,569.0,587.0,,
1668150237.692102,Mouse,569.0,588.0,,
1668150237.71331,Mouse,568.0,589.0,,
1668150237.732064,Mouse,568.0,591.0,,
1668150237.743329,Mouse,568.0,591.0,,
1668150237.772282,Mouse,568.0,592.0,,
1668150237.793047,Mouse,568.0,593.0,,
1668150237.813304,Mouse,568.0,594.0,,
1668150237.834077,Mouse,567.0,595.0,,
1668150237.874058,Mouse,567.0,595.0,,
1668150238.084262,,,,MouseEvent,"Up, Left"
1668150238.084262,Mouse,567.0,595.0,,
1668150238.085082,Mouse,567.0,596.0,,
1668150238.114219,Mouse,567.0,598.0,,
1668150238.125081,Mouse,567.0,599.0,,
1668150238.135348,Mouse,567.0,602.0,,
1668150238.154261,Mouse,567.0,605.0,,
1668150238.274217,Mouse,567.0,605.0,,
1668150238.295375,Mouse,568.0,605.0,,
1668150238.314995,Mouse,568.0,604.0,,
1668150238.325077,Mouse,568.0,603.0,,
1668150238.335096,Mouse,568.0,602.0,,
1668150238.356322,Mouse,568.0,600.0,,
1668150238.375112,Mouse,567.0,595.0,,
1668150238.385991,Mouse,567.0,591.0,,
1668150238.396343,Mouse,567.0,590.0,,
1668150238.415028,Mouse,567.0,586.0,,
1668150238.436245,Mouse,567.0,585.0,,
1668150238.47634,Mouse,567.0,585.0,,
1668150238.517034,Mouse,567.0,584.0,,
1668150238.536264,Mouse,567.0,583.0,,
1668150238.557102,Mouse,567.0,582.0,,
1668150238.5761,Mouse,567.0,580.0,,
1668150238.586072,Mouse,567.0,579.0,,
1668150238.806445,,,,MouseEvent,"Down, Left"
1668150238.806445,Mouse,567.0,579.0,,
1668150239.069063,Mouse,567.0,579.0,,
1668150239.088259,Mouse,567.0,579.0,,
1668150239.138179,Mouse,566.0,580.0,,
1668150239.159112,Mouse,566.0,581.0,,
1668150239.178051,Mouse,565.0,582.0,,
1668150239.188057,Mouse,565.0,583.0,,
1668150239.199068,Mouse,565.0,584.0,,
1668150239.217984,Mouse,565.0,585.0,,
1668150239.249057,Mouse,565.0,586.0,,
1668150239.268074,Mouse,565.0,587.0,,
1668150239.289038,Mouse,565.0,587.0,,
1668150239.319056,Mouse,565.0,587.0,,
1668150239.349321,Mouse,565.0,588.0,,
1668150239.359346,Mouse,564.0,589.0,,
1668150239.370111,Mouse,563.0,590.0,,
1668150239.399081,Mouse,563.0,592.0,,
1668150239.420043,Mouse,563.0,592.0,,
1668150239.439059,Mouse,563.0,593.0,,
1668150239.46007,Mouse,563.0,594.0,,
1668150239.479366,Mouse,563.0,596.0,,
1668150239.490105,Mouse,563.0,597.0,,
1668150239.509998,Mouse,563.0,599.0,,
1668150239.52003,Mouse,563.0,600.0,,
1668150239.541092,Mouse,563.0,600.0,,
1668150239.5512,Mouse,563.0,601.0,,
1668150239.570032,Mouse,563.0,602.0,,
1668150239.591326,Mouse,563.0,605.0,,
1668150239.62119,Mouse,563.0,606.0,,
1668150239.640066,Mouse,562.0,606.0,,
1668150239.650084,Mouse,562.0,607.0,,
1668150239.671055,Mouse,562.0,608.0,,
1668150239.690112,Mouse,562.0,609.0,,
1668150239.711116,Mouse,562.0,610.0,,
1668150239.740076,Mouse,562.0,611.0,,
1668150239.751192,Mouse,562.0,611.0,,
1668150239.770061,Mouse,562.0,613.0,,
1668150239.780088,Mouse,562.0,614.0,,
1668150239.791048,Mouse,562.0,615.0,,
1668150239.801057,Mouse,562.0,616.0,,
1668150239.82001,Mouse,561.0,619.0,,
1668150239.841037,Mouse,560.0,620.0,,
1668150239.85104,Mouse,560.0,621.0,,
1668150239.871044,Mouse,559.0,622.0,,
1668150239.882205,Mouse,559.0,623.0,,
1668150239.89226,Mouse,559.0,623.0,,
1668150239.911082,Mouse,559.0,625.0,,
1668150239.922325,Mouse,558.0,626.0,,
1668150239.941051,Mouse,558.0,627.0,,
1668150239.972077,Mouse,558.0,628.0,,
1668150239.991215,Mouse,558.0,628.0,,
1668150240.00203,Mouse,558.0,629.0,,
1668150240.01207,Mouse,558.0,631.0,,
1668150240.032005,Mouse,557.0,632.0,,
1668150240.043055,Mouse,557.0,632.0,,
1668150240.063029,Mouse,557.0,634.0,,
1668150240.093032,Mouse,556.0,636.0,,
1668150240.103032,Mouse,556.0,636.0,,
1668150240.122118,Mouse,556.0,637.0,,
1668150240.18313,Mouse,556.0,638.0,,
1668150240.213094,Mouse,556.0,639.0,,
1668150240.233025,Mouse,556.0,640.0,,
1668150240.252213,Mouse,556.0,642.0,,
1668150240.263065,Mouse,556.0,643.0,,
1668150240.282156,Mouse,556.0,645.0,,
1668150240.303038,Mouse,556.0,647.0,,
1668150240.313094,Mouse,556.0,648.0,,
1668150240.33207,Mouse,556.0,650.0,,
1668150240.343341,Mouse,556.0,652.0,,
1668150240.363032,Mouse,557.0,656.0,,
1668150240.373059,Mouse,557.0,657.0,,
1668150240.38405,Mouse,557.0,658.0,,
1668150240.404341,Mouse,557.0,660.0,,
1668150240.423064,Mouse,558.0,663.0,,
1668150240.43406,Mouse,558.0,664.0,,
1668150240.44407,Mouse,558.0,665.0,,
1668150240.462993,Mouse,558.0,667.0,,
1668150240.47398,Mouse,558.0,669.0,,
1668150240.484214,Mouse,558.0,670.0,,
1668150240.514146,Mouse,559.0,671.0,,
1668150240.543985,Mouse,559.0,672.0,,
