Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668143563.05,MouseEvent,,1085.3333333333333,343.6666666666667,,,Fixation
1668143563.064552,,Mouse,1080.6666666666667,346.3333333333333,,,Fixation
1668143563.0812058,,Eye Tracker,1076.0,349.0,Valid,Valid,Fixation
1668143563.112844,,Eye Tracker,1079.0,349.0,Valid,Valid,Fixation
1668143563.129499,,Eye Tracker,1091.0,328.0,Valid,Valid,Fixation
1668143563.146154,,Eye Tracker,1090.0,333.0,Valid,Valid,Fixation
1668143563.1961179,,Eye Tracker,1091.0,337.0,Valid,Valid,Fixation
1668143563.212772,,Eye Tracker,1098.0,323.0,Valid,Valid,Fixation
1668143563.279533,,Eye Tracker,1101.0,317.0,Valid,Valid,Fixation
1668143563.2961879,,Eye Tracker,1107.0,311.0,Valid,Valid,Fixation
1668143563.312842,,Eye Tracker,1108.0,304.0,Valid,Valid,Fixation
1668143563.3294969,,Mouse,1100.0,304.0,,,Fixation
1668143563.346152,,Eye Tracker,1092.0,304.0,Valid,Valid,Fixation
1668143563.3627338,,Mouse,1074.5,313.0,,,Saccade
1668143563.3628058,,Eye Tracker,1057.0,322.0,Valid,Valid,Saccade
1668143563.378707,,Mouse,837.5,464.0,,,Saccade
1668143563.379461,,Eye Tracker,618.0,606.0,Valid,Valid,Saccade
1668143563.39469,,Mouse,621.0,604.0,,,Fixation
1668143563.396116,,Eye Tracker,624.0,602.0,Valid,Valid,Fixation
1668143563.410692,,Mouse,623.6666666666666,602.3333333333334,,,Fixation
1668143563.41277,,Mouse,623.3333333333334,602.6666666666666,,,Fixation
1668143563.42671,,Eye Tracker,623.0,603.0,Valid,Valid,Fixation
1668143563.429425,,Eye Tracker,624.0,603.0,Valid,Valid,Fixation
1668143563.4427059,,Mouse,623.3333333333334,602.3333333333334,,,Fixation
1668143563.44608,,Mouse,622.6666666666666,601.6666666666666,,,Fixation
1668143563.458727,,Eye Tracker,622.0,601.0,Valid,Valid,Fixation
1668143563.462734,,Mouse,624.0,599.0,,,Fixation
1668143563.474701,,Eye Tracker,626.0,597.0,Valid,Valid,Fixation
1668143563.479389,,Mouse,626.0,595.5,,,Fixation
1668143563.490704,,Eye Tracker,626.0,594.0,Valid,Valid,Fixation
1668143563.4960449,,Mouse,625.6666666666666,594.3333333333334,,,Fixation
1668143563.506687,,Mouse,625.3333333333334,594.6666666666666,,,Fixation
1668143563.5126998,,Eye Tracker,625.0,595.0,Valid,Valid,Fixation
1668143563.522701,,Mouse,624.0,594.0,,,Fixation
1668143563.5293539,,Eye Tracker,623.0,593.0,Valid,Valid,Fixation
1668143563.538706,,Eye Tracker,623.0,586.0,Valid,Valid,Fixation
1668143563.546009,,Mouse,622.6666666666666,585.6666666666666,,,Fixation
1668143563.55469,,Mouse,622.3333333333334,585.3333333333334,,,Fixation
1668143563.562664,,Eye Tracker,622.0,585.0,Valid,Valid,Fixation
1668143563.579318,,Mouse,619.5,589.5,,,Fixation
1668143563.595973,,Eye Tracker,617.0,594.0,Valid,Valid,Fixation
1668143563.612628,,Mouse,615.5,594.5,,,Fixation
1668143563.629282,,Eye Tracker,614.0,595.0,Valid,Valid,Fixation
1668143563.645937,,Mouse,613.0,592.5,,,Fixation
1668143563.662592,,Eye Tracker,612.0,590.0,Valid,Valid,Fixation
1668143563.679246,,Mouse,613.3333333333334,589.0,,,Fixation
1668143563.6959019,,Mouse,614.6666666666666,588.0,,,Fixation
1668143563.7125568,,Eye Tracker,616.0,587.0,Valid,Valid,Fixation
1668143563.7292109,,Eye Tracker,616.0,583.0,Valid,Valid,Fixation
1668143563.745866,,Mouse,616.3333333333334,583.0,,,Fixation
1668143563.762521,,Mouse,616.6666666666666,583.0,,,Fixation
1668143563.779176,,Eye Tracker,617.0,583.0,Valid,Valid,Fixation
1668143563.786699,,Mouse,616.6666666666666,583.0,,,Fixation
1668143563.79583,,Mouse,616.3333333333334,583.0,,,Fixation
