Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668146314.201,MouseEvent,,1122.3333333333333,544.3333333333334,,,Fixation
1668146314.216144,,Mouse,1098.6666666666667,525.6666666666666,,,Fixation
1668146314.2327979,,Eye Tracker,1075.0,507.0,Valid,Valid,Saccade
1668146314.2635589,,Eye Tracker,960.0,385.0,Valid,Valid,Saccade
1668146314.2802129,,Eye Tracker,875.0,278.0,Valid,Valid,Saccade
1668146314.296868,,Eye Tracker,829.0,245.0,Valid,Valid,Saccade
1668146314.346902,,Eye Tracker,825.0,244.0,Valid,Valid,Fixation
1668146314.3635569,,Eye Tracker,830.0,246.0,Valid,Valid,Fixation
1668146314.380212,,Eye Tracker,830.0,247.0,Valid,Valid,Fixation
1668146314.396866,,Eye Tracker,830.0,242.0,Valid,Valid,Fixation
1668146314.413521,,Eye Tracker,831.0,241.0,Valid,Valid,Fixation
1668146314.430176,,Eye Tracker,832.0,241.0,Valid,Valid,Fixation
1668146314.44683,,Eye Tracker,835.0,244.0,Valid,Valid,Fixation
1668146314.463485,,Eye Tracker,810.0,245.0,Valid,Valid,Fixation
1668146314.48014,,Eye Tracker,770.0,248.0,Valid,Valid,Saccade
1668146314.496794,,Eye Tracker,763.0,253.0,Valid,Valid,Unclassified
1668146314.513449,,Eye Tracker,773.0,256.0,Valid,Valid,Unclassified
1668146314.530104,,Eye Tracker,784.0,256.0,Valid,Valid,Unclassified
1668146314.546759,,Mouse,1102.5,429.5,,,Saccade
1668146314.563413,,Eye Tracker,1421.0,603.0,Valid,Valid,Saccade
1668146314.5800679,,Mouse,1432.0,611.5,,,Saccade
1668146314.596723,,Eye Tracker,1443.0,620.0,Valid,Valid,Saccade
1668146314.613377,,Eye Tracker,1466.0,644.0,Valid,Valid,Saccade
1668146314.630033,,Mouse,1467.6666666666667,644.3333333333334,,,Saccade
1668146314.646688,,Mouse,1469.3333333333333,644.6666666666666,,,Fixation
1668146314.663342,,Eye Tracker,1471.0,645.0,Valid,Valid,Fixation
1668146314.679997,,Mouse,1471.0,644.5,,,Fixation
1668146314.696652,,Eye Tracker,1471.0,644.0,Valid,Valid,Fixation
1668146314.713306,,Mouse,1470.0,642.5,,,Fixation
1668146314.729961,,Eye Tracker,1469.0,641.0,Valid,Valid,Fixation
1668146314.746616,,Mouse,1469.5,641.0,,,Fixation
1668146314.76327,,Eye Tracker,1470.0,641.0,Valid,Valid,Fixation
1668146314.7799249,,Mouse,1471.0,641.5,,,Fixation
1668146314.79658,,Eye Tracker,1472.0,642.0,Valid,Valid,Fixation
1668146314.813235,,Mouse,1474.0,641.5,,,Fixation
1668146314.829889,,Eye Tracker,1476.0,641.0,Valid,Valid,Fixation
1668146314.846544,,Mouse,1475.3333333333333,641.3333333333334,,,Fixation
1668146314.863199,,Mouse,1474.6666666666667,641.6666666666666,,,Fixation
1668146314.879853,,Eye Tracker,1474.0,642.0,Valid,Valid,Fixation
1668146314.896508,,Mouse,1473.5,641.0,,,Fixation
1668146314.913164,,Eye Tracker,1473.0,640.0,Valid,Valid,Fixation
1668146314.929818,,Mouse,1474.5,640.0,,,Fixation
1668146314.946473,,Eye Tracker,1476.0,640.0,Valid,Valid,Fixation
1668146314.963128,,Mouse,1476.0,640.5,,,Fixation
1668146314.9797819,,Eye Tracker,1476.0,641.0,Valid,Valid,Fixation
1668146314.996437,,Eye Tracker,1475.0,643.0,Valid,Valid,Fixation
1668146315.013092,,Mouse,1493.0,654.0,,,Saccade
1668146315.029746,,Eye Tracker,1511.0,665.0,Valid,Valid,Saccade
1668146315.046401,,Eye Tracker,1551.0,682.0,Valid,Valid,Saccade
1668146315.063056,,Eye Tracker,1554.0,682.0,Valid,Valid,Fixation
1668146315.079711,,Eye Tracker,1554.0,688.0,Valid,Valid,Fixation
1668146315.096365,,Mouse,1555.0,688.5,,,Fixation
1668146315.11302,,Eye Tracker,1556.0,689.0,Valid,Valid,Fixation
1668146315.129675,,Mouse,1556.5,687.5,,,Fixation
1668146315.146329,,Eye Tracker,1557.0,686.0,Valid,Valid,Fixation
1668146315.162984,,Eye Tracker,1553.0,689.0,Valid,Valid,Fixation
1668146315.1796389,,Mouse,1552.5,688.5,,,Fixation
1668146315.1962929,,Eye Tracker,1552.0,688.0,Valid,Valid,Fixation
1668146315.20831,,Eye Tracker,1549.0,681.0,Valid,Valid,Fixation
1668146315.212949,,Eye Tracker,1546.0,683.0,Valid,Valid,Fixation
1668146315.229604,,Mouse,1546.5,686.5,,,Fixation
1668146315.246258,,Eye Tracker,1547.0,690.0,Valid,Valid,Fixation
1668146315.262913,,Mouse,1547.0,690.0,,,Fixation
1668146315.279568,,Eye Tracker,1547.0,690.0,Valid,Valid,Fixation
1668146315.296222,,Mouse,1547.5,688.5,,,Fixation
1668146315.312877,,Eye Tracker,1548.0,687.0,Valid,Valid,Fixation
1668146315.329532,,Mouse,1547.6666666666667,687.3333333333334,,,Fixation
1668146315.3461869,,Mouse,1547.3333333333333,687.6666666666666,,,Fixation
1668146315.362841,,Eye Tracker,1547.0,688.0,Valid,Valid,Fixation
1668146315.3794959,,Eye Tracker,1543.0,692.0,Valid,Valid,Fixation
1668146315.396151,,Mouse,1543.6666666666667,691.3333333333334,,,Fixation
1668146315.412805,,Mouse,1544.3333333333333,690.6666666666666,,,Fixation
1668146315.42946,,Eye Tracker,1545.0,690.0,Valid,Valid,Fixation
1668146315.446115,,Mouse,1547.0,688.5,,,Fixation
