Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668146588.670586,,,,MouseEvent,"Down, Left"
1668146588.670586,Mouse,1795.0,885.0,,
1668146588.841449,Mouse,1794.0,885.0,,
1668146588.861554,Mouse,1793.0,885.0,,
1668146588.87248,Mouse,1789.0,885.0,,
1668146588.882737,Mouse,1787.0,885.0,,
1668146588.892768,Mouse,1784.0,885.0,,
1668146588.913514,Mouse,1772.0,884.0,,
1668146588.923778,Mouse,1762.0,882.0,,
1668146588.942469,Mouse,1746.0,882.0,,
1668146588.953615,Mouse,1735.0,882.0,,
1668146588.972482,Mouse,1719.0,882.0,,
1668146588.98261,Mouse,1713.0,883.0,,
1668146588.992716,Mouse,1708.0,883.0,,
1668146589.003496,Mouse,1706.0,883.0,,
1668146589.022399,Mouse,1703.0,883.0,,
1668146589.032508,Mouse,1703.0,883.0,,
1668146589.043429,Mouse,1701.0,883.0,,
1668146589.062436,Mouse,1700.0,883.0,,
1668146589.07244,Mouse,1699.0,883.0,,
1668146589.083544,Mouse,1698.0,883.0,,
1668146589.093613,Mouse,1697.0,883.0,,
1668146589.112532,Mouse,1694.0,884.0,,
1668146589.123594,Mouse,1693.0,884.0,,
1668146589.142487,Mouse,1688.0,884.0,,
1668146589.152537,Mouse,1685.0,884.0,,
1668146589.173407,Mouse,1678.0,882.0,,
1668146589.192741,Mouse,1674.0,879.0,,
1668146589.21346,Mouse,1671.0,878.0,,
1668146589.233406,Mouse,1666.0,873.0,,
1668146589.24354,Mouse,1663.0,871.0,,
1668146589.254699,Mouse,1660.0,868.0,,
1668146589.27347,Mouse,1657.0,865.0,,
1668146589.283733,Mouse,1655.0,864.0,,
1668146589.304475,Mouse,1649.0,858.0,,
1668146589.32388,Mouse,1644.0,852.0,,
1668146589.34443,Mouse,1636.0,844.0,,
1668146589.363426,Mouse,1625.0,833.0,,
1668146589.37346,Mouse,1619.0,827.0,,
1668146589.384641,Mouse,1613.0,821.0,,
1668146589.394745,Mouse,1607.0,815.0,,
1668146589.404779,Mouse,1602.0,808.0,,
1668146589.425673,Mouse,1596.0,801.0,,
1668146589.444507,Mouse,1591.0,797.0,,
1668146589.46541,Mouse,1584.0,791.0,,
1668146589.484495,Mouse,1572.0,782.0,,
1668146589.494496,Mouse,1565.0,778.0,,
1668146589.50474,Mouse,1560.0,774.0,,
1668146589.515729,Mouse,1554.0,771.0,,
1668146589.534437,Mouse,1542.0,763.0,,
1668146589.544635,Mouse,1538.0,760.0,,
1668146589.555465,Mouse,1532.0,756.0,,
1668146589.574735,Mouse,1522.0,749.0,,
1668146589.595464,Mouse,1509.0,739.0,,
1668146589.614756,Mouse,1496.0,731.0,,
1668146589.635486,Mouse,1485.0,724.0,,
1668146589.645797,Mouse,1482.0,721.0,,
1668146589.664419,Mouse,1473.0,715.0,,
1668146589.674452,Mouse,1468.0,711.0,,
1668146589.685471,Mouse,1465.0,709.0,,
1668146589.704385,Mouse,1457.0,701.0,,
1668146589.714463,Mouse,1453.0,697.0,,
1668146589.725485,Mouse,1450.0,688.0,,
1668146589.745396,Mouse,1439.0,672.0,,
1668146589.755464,Mouse,1434.0,667.0,,
1668146589.766481,Mouse,1429.0,659.0,,
1668146589.785475,Mouse,1418.0,647.0,,
1668146589.806491,Mouse,1404.0,633.0,,
1668146589.816692,Mouse,1396.0,625.0,,
1668146589.835583,Mouse,1384.0,613.0,,
1668146589.856438,Mouse,1370.0,605.0,,
1668146589.875507,Mouse,1363.0,602.0,,
1668146589.896476,Mouse,1352.0,598.0,,
1668146589.906718,Mouse,1349.0,597.0,,
1668146589.9265,Mouse,1338.0,595.0,,
1668146589.937485,Mouse,1334.0,595.0,,
1668146589.947545,Mouse,1328.0,595.0,,
1668146589.966439,Mouse,1320.0,595.0,,
1668146589.977503,Mouse,1316.0,597.0,,
1668146589.996489,Mouse,1309.0,601.0,,
1668146590.006508,Mouse,1307.0,603.0,,
1668146590.016634,Mouse,1305.0,605.0,,
1668146590.027451,Mouse,1300.0,608.0,,
1668146590.046764,Mouse,1292.0,613.0,,
1668146590.067456,Mouse,1283.0,617.0,,
1668146590.08651,Mouse,1273.0,622.0,,
1668146590.107508,Mouse,1266.0,627.0,,
1668146590.117558,Mouse,1263.0,629.0,,
1668146590.136462,Mouse,1258.0,633.0,,
1668146590.147505,Mouse,1257.0,634.0,,
1668146590.166731,Mouse,1254.0,636.0,,
1668146590.186427,Mouse,1249.0,638.0,,
1668146590.197422,Mouse,1247.0,639.0,,
1668146590.216409,Mouse,1242.0,639.0,,
1668146590.226434,Mouse,1237.0,640.0,,
1668146590.237409,Mouse,1235.0,641.0,,
1668146590.257465,Mouse,1229.0,641.0,,
1668146590.267482,Mouse,1225.0,641.0,,
1668146590.278746,Mouse,1223.0,641.0,,
1668146590.297466,Mouse,1219.0,641.0,,
1668146590.318434,Mouse,1214.0,641.0,,
1668146590.337456,Mouse,1210.0,641.0,,
1668146590.347486,Mouse,1208.0,641.0,,
1668146590.368783,Mouse,1205.0,641.0,,
1668146590.387469,Mouse,1202.0,641.0,,
1668146590.408729,Mouse,1199.0,641.0,,
1668146590.428393,Mouse,1193.0,641.0,,
1668146590.438543,Mouse,1192.0,641.0,,
1668146590.449502,Mouse,1189.0,641.0,,
1668146590.468435,Mouse,1185.0,641.0,,
1668146590.478443,Mouse,1183.0,641.0,,
1668146590.489444,Mouse,1181.0,641.0,,
1668146590.499721,Mouse,1181.0,641.0,,
1668146590.56876,Mouse,1179.0,640.0,,
1668146590.579517,Mouse,1178.0,639.0,,
1668146590.598733,Mouse,1178.0,636.0,,
1668146590.608754,Mouse,1177.0,632.0,,
1668146590.619493,Mouse,1176.0,628.0,,
1668146590.629743,Mouse,1175.0,623.0,,
1668146590.648492,Mouse,1173.0,610.0,,
1668146590.659413,Mouse,1172.0,602.0,,
1668146590.669608,Mouse,1170.0,594.0,,
1668146590.688442,Mouse,1166.0,584.0,,
1668146590.698498,Mouse,1164.0,578.0,,
1668146590.709366,Mouse,1162.0,575.0,,
1668146590.728508,Mouse,1160.0,569.0,,
1668146590.73874,Mouse,1160.0,568.0,,
1668146590.749513,Mouse,1159.0,567.0,,
1668146590.779486,Mouse,1159.0,567.0,,
