Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668474647.762108,,Eye Tracker,1943.0,967.0,Valid,Valid,Fixation
1668474647.778763,,Eye Tracker,1943.0,967.0,Valid,Valid,Fixation
1668474647.795417,,Eye Tracker,1940.0,968.0,Valid,Valid,Fixation
1668474647.812072,,Eye Tracker,1935.0,967.0,Valid,Valid,Fixation
1668474647.828727,,Eye Tracker,1936.0,969.0,Valid,Valid,Fixation
1668474647.845381,,Eye Tracker,1909.0,975.0,Valid,Valid,Saccade
1668474647.862037,,Eye Tracker,1878.0,974.0,Valid,Valid,Saccade
1668474647.878691,,Eye Tracker,1863.0,976.0,Valid,Valid,Fixation
1668474647.895345,,Eye Tracker,1858.0,982.0,Valid,Valid,Fixation
1668474647.912,,Eye Tracker,1857.0,984.0,Valid,Valid,Fixation
1668474647.928655,,Eye Tracker,1857.0,983.0,Valid,Valid,Fixation
1668474647.945309,,Eye Tracker,1855.0,978.0,Valid,Valid,Fixation
1668474647.961964,,Eye Tracker,1851.0,976.0,Valid,Valid,Fixation
1668474647.978619,,Eye Tracker,1853.0,983.0,Valid,Valid,Fixation
1668474647.995274,,Eye Tracker,1847.0,985.0,Valid,Valid,Fixation
1668474648.011929,,Eye Tracker,1880.0,990.0,Valid,Valid,Saccade
1668474648.028584,,Eye Tracker,1911.0,989.0,Valid,Valid,Saccade
1668474648.045239,,Eye Tracker,1905.0,985.0,Valid,Valid,Fixation
1668474648.061893,,Eye Tracker,1904.0,984.0,Valid,Valid,Fixation
1668474648.078548,,Eye Tracker,1900.0,987.0,Valid,Valid,Fixation
1668474648.095203,,Eye Tracker,1900.0,992.0,Valid,Valid,Fixation
1668474648.111857,,Eye Tracker,1899.0,988.0,Valid,Valid,Fixation
1668474648.128512,,Eye Tracker,1896.0,989.0,Valid,Valid,Fixation
1668474648.145168,,Eye Tracker,1909.0,994.0,Valid,Valid,Fixation
1668474648.161822,,Eye Tracker,1909.0,996.0,Valid,Valid,Fixation
1668474648.178477,,Eye Tracker,1902.0,993.0,Valid,Valid,Fixation
1668474648.195132,,Eye Tracker,1904.0,986.0,Valid,Valid,Fixation
1668474648.211786,,Eye Tracker,1898.0,984.0,Valid,Valid,Fixation
1668474648.228441,,Eye Tracker,1889.0,989.0,Valid,Valid,Fixation
1668474648.245096,,Eye Tracker,1890.0,992.0,Valid,Valid,Fixation
1668474648.26175,,Eye Tracker,1890.0,993.0,Valid,Valid,Fixation
1668474648.278405,,Eye Tracker,1887.0,993.0,Valid,Valid,Fixation
1668474648.295061,,Eye Tracker,1888.0,991.0,Valid,Valid,Fixation
1668474648.311716,,Eye Tracker,1891.0,992.0,Valid,Valid,Fixation
1668474648.32837,,Eye Tracker,1893.0,991.0,Valid,Valid,Fixation
1668474648.345025,,Eye Tracker,1897.0,991.0,Valid,Valid,Fixation
1668474648.36168,,Eye Tracker,1898.0,989.0,Valid,Valid,Fixation
1668474648.378334,,Eye Tracker,1890.0,986.0,Valid,Valid,Fixation
1668474648.394989,,Eye Tracker,1890.0,989.0,Valid,Valid,Fixation
1668474648.411644,,Eye Tracker,1885.0,993.0,Valid,Valid,Fixation
1668474648.428298,,Eye Tracker,1880.0,994.0,Valid,Valid,Fixation
1668474648.444953,,Eye Tracker,1877.0,997.0,Valid,Valid,Fixation
1668474648.461608,,Eye Tracker,1869.0,998.0,Valid,Valid,Fixation
1668474648.478263,,Eye Tracker,1869.0,998.0,Valid,Valid,Fixation
1668474648.494918,,Eye Tracker,1865.0,1000.0,Valid,Valid,Fixation
1668474648.511573,,Eye Tracker,1867.0,998.0,Valid,Valid,Fixation
1668474648.528227,,Eye Tracker,1861.0,994.0,Valid,Valid,Fixation
