Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1668474744.524209,MouseEvent,,508.25,801.25,,,EyesNotFound,,,MouseEvent,"Down, Left"
1668474744.524209,,Mouse,509.6666666666667,784.6666666666666,,,EyesNotFound,576.0,557.0,,
1668474744.5243418,,Eye Tracker,511.0833333333333,768.0833333333334,Invalid,Invalid,EyesNotFound,,,,
1668474744.540997,,Eye Tracker,512.5,751.5,Invalid,Invalid,EyesNotFound,,,,
1668474744.557652,,Eye Tracker,513.9166666666666,734.9166666666666,Invalid,Invalid,EyesNotFound,,,,
1668474744.574306,,Eye Tracker,515.3333333333334,718.3333333333334,Invalid,Invalid,EyesNotFound,,,,
1668474744.590961,,Eye Tracker,516.75,701.75,Invalid,Invalid,EyesNotFound,,,,
1668474744.607616,,Eye Tracker,518.1666666666666,685.1666666666667,Invalid,Invalid,EyesNotFound,,,,
1668474744.624271,,Eye Tracker,519.5833333333334,668.5833333333334,Invalid,Invalid,EyesNotFound,,,,
1668474744.640926,,Eye Tracker,521.0,652.0,Valid,Valid,Saccade,,,,
1668474744.6575809,,Eye Tracker,557.0,687.0,Valid,Valid,Saccade,,,,
1668474744.6742358,,Eye Tracker,610.0,727.0,Valid,Valid,Saccade,,,,
1668474744.6908898,,Eye Tracker,592.0,575.0,Valid,Valid,Saccade,,,,
1668474744.707545,,Eye Tracker,586.0,565.0,Valid,Valid,Fixation,,,,
1668474744.7242,,Eye Tracker,584.0,562.0,Valid,Valid,Fixation,,,,
1668474744.740854,,Eye Tracker,587.0,563.0,Valid,Valid,Fixation,,,,
1668474744.757509,,Eye Tracker,585.0,564.0,Valid,Valid,Fixation,,,,
1668474744.774164,,Eye Tracker,583.0,567.0,Valid,Valid,Fixation,,,,
1668474744.790818,,Eye Tracker,586.0,567.0,Valid,Valid,Fixation,,,,
1668474744.807474,,Eye Tracker,584.0,565.0,Valid,Valid,Fixation,,,,
