Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1668474934.008657,MouseEvent,,1769.6666666666667,228.33333333333334,,,Fixation,,,MouseEvent,"Down, Left"
1668474934.008657,,Mouse,1770.3333333333333,227.66666666666666,,,Fixation,1702.0,293.0,,
1668474934.008854,,Eye Tracker,1771.0,227.0,Valid,Valid,Fixation,,,,
1668474934.025508,,Eye Tracker,1771.0,223.0,Valid,Valid,Fixation,,,,
1668474934.0421631,,Eye Tracker,1769.0,226.0,Valid,Valid,Fixation,,,,
1668474934.058818,,Eye Tracker,1761.0,250.0,Valid,Valid,Fixation,,,,
1668474934.075472,,Eye Tracker,1454.0,219.0,Valid,Valid,Saccade,,,,
1668474934.088279,,Mouse,1447.5,216.0,,,Fixation,1702.0,293.0,,
1668474934.092128,,Eye Tracker,1441.0,213.0,Valid,Valid,Fixation,,,,
1668474934.108783,,Eye Tracker,1443.0,209.0,Valid,Valid,Fixation,,,,
1668474934.125438,,Eye Tracker,1444.0,199.0,Valid,Valid,Fixation,,,,
1668474934.142092,,Eye Tracker,1440.0,205.0,Valid,Valid,Fixation,,,,
1668474934.158747,,Eye Tracker,1438.0,211.0,Valid,Valid,Fixation,,,,
1668474934.175402,,Eye Tracker,1439.0,214.0,Valid,Valid,Fixation,,,,
1668474934.192056,,Eye Tracker,1435.0,220.0,Valid,Valid,Fixation,,,,
1668474934.2087111,,Eye Tracker,1425.0,214.0,Valid,Valid,Fixation,,,,
1668474934.225366,,Eye Tracker,1731.0,213.0,Valid,Valid,Saccade,,,,
1668474934.229315,,Mouse,1729.6666666666667,219.66666666666666,,,Saccade,1702.0,293.0,,
1668474934.239341,,Mouse,1728.3333333333333,226.33333333333334,,,Fixation,1701.0,293.0,,
1668474934.2420201,,Eye Tracker,1727.0,233.0,Valid,Valid,Fixation,,,,
1668474934.249527,,Mouse,1729.0,233.5,,,Fixation,1700.0,293.0,,
1668474934.258676,,Eye Tracker,1731.0,234.0,Valid,Valid,Fixation,,,,
1668474934.270317,,Mouse,1731.5,231.5,,,Fixation,1698.0,293.0,,
1668474934.275331,,Eye Tracker,1732.0,229.0,Valid,Valid,Fixation,,,,
1668474934.290276,,Mouse,1731.0,232.0,,,Fixation,1693.0,296.0,,
1668474934.291985,,Eye Tracker,1730.0,235.0,Valid,Valid,Fixation,,,,
1668474934.30033,,Mouse,1730.0,234.5,,,Fixation,1690.0,297.0,,
1668474934.30864,,Eye Tracker,1730.0,234.0,Valid,Valid,Fixation,,,,
1668474934.3113,,Mouse,1729.5,231.5,,,Fixation,1686.0,299.0,,
1668474934.325295,,Eye Tracker,1729.0,229.0,Valid,Valid,Fixation,,,,
1668474934.330359,,Mouse,1729.0,231.0,,,Fixation,1680.0,303.0,,
1668474934.341949,,Eye Tracker,1729.0,233.0,Valid,Valid,Fixation,,,,
1668474934.351235,,Mouse,1731.0,232.0,,,Fixation,1670.0,307.0,,
1668474934.358604,,Eye Tracker,1733.0,231.0,Valid,Valid,Fixation,,,,
1668474934.3703141,,Mouse,1733.0,229.0,,,Fixation,1654.0,311.0,,
1668474934.375259,,Eye Tracker,1733.0,227.0,Valid,Valid,Fixation,,,,
1668474934.391315,,Mouse,1733.5,229.0,,,Fixation,1636.0,316.0,,
1668474934.3919141,,Eye Tracker,1734.0,231.0,Valid,Valid,Fixation,,,,
1668474934.408569,,Eye Tracker,1732.0,233.0,Valid,Valid,Fixation,,,,
1668474934.410283,,Mouse,1699.3333333333333,234.66666666666666,,,Fixation,1622.0,319.0,,
1668474934.420305,,Mouse,1666.6666666666667,236.33333333333334,,,Saccade,1616.0,319.0,,
1668474934.425224,,Eye Tracker,1634.0,238.0,Valid,Valid,Saccade,,,,
1668474934.430358,,Mouse,1578.5,230.0,,,Saccade,1609.0,319.0,,
1668474934.441879,,Eye Tracker,1523.0,222.0,Valid,Valid,Saccade,,,,
1668474934.450331,,Mouse,1399.0,220.5,,,Saccade,1604.0,319.0,,
1668474934.458533,,Eye Tracker,1275.0,219.0,Valid,Valid,Saccade,,,,
1668474934.470283,,Mouse,1273.5,228.5,,,Fixation,1597.0,317.0,,
1668474934.475188,,Eye Tracker,1272.0,238.0,Valid,Valid,Fixation,,,,
1668474934.481252,,Mouse,1272.5,244.5,,,Fixation,1594.0,316.0,,
1668474934.491843,,Eye Tracker,1273.0,251.0,Valid,Valid,Fixation,,,,
1668474934.500283,,Mouse,1274.5,252.5,,,Fixation,1580.0,309.0,,
1668474934.508497,,Eye Tracker,1276.0,254.0,Valid,Valid,Fixation,,,,
1668474934.521267,,Mouse,1277.0,256.5,,,Fixation,1558.0,302.0,,
1668474934.525152,,Eye Tracker,1278.0,259.0,Valid,Valid,Fixation,,,,
