Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-13 19:48:52.343986,,,,MouseEvent,"Down, Left"
2022-12-13 19:48:52.343986,Mouse,1880.0,69.0,,
2022-12-13 19:48:52.676945,Mouse,1880.0,69.0,,
2022-12-13 19:48:52.807933,Mouse,1880.0,69.0,,
2022-12-13 19:48:52.836952,Mouse,1879.0,70.0,,
2022-12-13 19:48:52.847841,Mouse,1879.0,71.0,,
2022-12-13 19:48:52.866886,Mouse,1878.0,73.0,,
2022-12-13 19:48:52.948158,Mouse,1878.0,73.0,,
2022-12-13 19:48:53.028011,Mouse,1878.0,74.0,,
2022-12-13 19:48:53.047930,Mouse,1877.0,75.0,,
2022-12-13 19:48:53.058960,Mouse,1877.0,75.0,,
2022-12-13 19:48:53.378881,Mouse,1876.0,75.0,,
2022-12-13 19:48:53.388952,Mouse,1874.0,77.0,,
2022-12-13 19:48:53.399922,Mouse,1872.0,77.0,,
2022-12-13 19:48:53.419873,Mouse,1869.0,78.0,,
2022-12-13 19:48:53.429896,Mouse,1867.0,79.0,,
2022-12-13 19:48:53.440856,Mouse,1866.0,79.0,,
2022-12-13 19:48:53.480918,Mouse,1866.0,79.0,,
2022-12-13 19:48:53.509924,Mouse,1865.0,80.0,,
2022-12-13 19:48:53.530902,Mouse,1863.0,81.0,,
2022-12-13 19:48:53.559896,Mouse,1861.0,81.0,,
2022-12-13 19:48:53.589917,Mouse,1860.0,82.0,,
2022-12-13 19:48:53.610923,Mouse,1859.0,83.0,,
2022-12-13 19:48:53.620926,Mouse,1858.0,83.0,,
2022-12-13 19:48:53.640027,Mouse,1856.0,83.0,,
2022-12-13 19:48:53.679915,Mouse,1856.0,84.0,,
2022-12-13 19:48:53.701025,Mouse,1854.0,85.0,,
2022-12-13 19:48:53.719870,Mouse,1853.0,86.0,,
2022-12-13 19:48:53.741157,Mouse,1852.0,86.0,,
2022-12-13 19:48:53.832161,Mouse,1852.0,86.0,,
2022-12-13 19:48:53.860888,Mouse,1849.0,86.0,,
2022-12-13 19:48:53.880906,Mouse,1849.0,86.0,,
2022-12-13 19:48:53.900847,Mouse,1848.0,86.0,,
2022-12-13 19:48:53.922174,Mouse,1848.0,86.0,,
2022-12-13 19:48:53.962927,Mouse,1847.0,86.0,,
2022-12-13 19:48:53.981951,Mouse,1846.0,86.0,,
2022-12-13 19:48:53.992864,Mouse,1845.0,86.0,,
2022-12-13 19:48:54.002987,Mouse,1845.0,86.0,,
2022-12-13 19:48:54.042931,Mouse,1844.0,86.0,,
2022-12-13 19:48:54.071892,Mouse,1843.0,86.0,,
2022-12-13 19:48:54.082979,Mouse,1842.0,86.0,,
2022-12-13 19:48:54.101990,Mouse,1841.0,86.0,,
2022-12-13 19:48:54.122870,Mouse,1839.0,86.0,,
2022-12-13 19:48:54.132921,Mouse,1838.0,86.0,,
2022-12-13 19:48:54.151828,Mouse,1837.0,86.0,,
2022-12-13 19:48:54.181920,Mouse,1837.0,86.0,,
2022-12-13 19:48:54.202904,Mouse,1835.0,86.0,,
2022-12-13 19:48:54.221841,Mouse,1834.0,86.0,,
2022-12-13 19:48:54.231935,Mouse,1833.0,86.0,,
2022-12-13 19:48:54.242126,Mouse,1831.0,86.0,,
2022-12-13 19:48:54.252919,Mouse,1831.0,86.0,,
2022-12-13 19:48:54.272885,Mouse,1829.0,86.0,,
2022-12-13 19:48:54.293884,Mouse,1828.0,86.0,,
2022-12-13 19:48:54.304163,Mouse,1827.0,86.0,,
2022-12-13 19:48:54.322859,Mouse,1826.0,86.0,,
2022-12-13 19:48:54.333934,Mouse,1826.0,86.0,,
2022-12-13 19:48:54.343952,Mouse,1825.0,86.0,,
2022-12-13 19:48:54.363129,Mouse,1823.0,86.0,,
2022-12-13 19:48:54.373886,Mouse,1822.0,86.0,,
2022-12-13 19:48:54.392927,Mouse,1819.0,86.0,,
2022-12-13 19:48:54.412873,Mouse,1814.0,86.0,,
2022-12-13 19:48:54.423869,Mouse,1812.0,86.0,,
2022-12-13 19:48:54.433942,Mouse,1811.0,86.0,,
2022-12-13 19:48:54.444234,Mouse,1810.0,86.0,,
2022-12-13 19:48:54.465107,Mouse,1807.0,86.0,,
2022-12-13 19:48:54.483957,Mouse,1803.0,86.0,,
2022-12-13 19:48:54.505156,Mouse,1802.0,86.0,,
2022-12-13 19:48:54.523872,Mouse,1800.0,86.0,,
2022-12-13 19:48:54.544904,Mouse,1797.0,86.0,,
2022-12-13 19:48:54.564161,Mouse,1796.0,86.0,,
2022-12-13 19:48:54.583879,Mouse,1794.0,86.0,,
2022-12-13 19:48:54.613917,Mouse,1794.0,86.0,,
2022-12-13 19:48:54.623994,Mouse,1794.0,86.0,,
2022-12-13 19:48:54.634829,Mouse,1793.0,86.0,,
2022-12-13 19:48:54.644879,Mouse,1793.0,86.0,,
2022-12-13 19:48:54.663904,Mouse,1791.0,86.0,,
2022-12-13 19:48:54.674839,Mouse,1791.0,86.0,,
2022-12-13 19:48:54.684879,Mouse,1790.0,86.0,,
2022-12-13 19:48:54.704187,Mouse,1789.0,86.0,,
2022-12-13 19:48:54.714919,Mouse,1788.0,86.0,,
2022-12-13 19:48:54.734171,Mouse,1787.0,86.0,,
2022-12-13 19:48:54.753881,Mouse,1784.0,86.0,,
2022-12-13 19:48:54.765067,Mouse,1783.0,86.0,,
2022-12-13 19:48:54.784918,Mouse,1782.0,87.0,,
2022-12-13 19:48:54.805913,Mouse,1779.0,87.0,,
2022-12-13 19:48:54.815932,Mouse,1778.0,87.0,,
2022-12-13 19:48:54.835169,Mouse,1776.0,88.0,,
2022-12-13 19:48:54.845943,Mouse,1775.0,88.0,,
2022-12-13 19:48:54.864978,Mouse,1773.0,88.0,,
2022-12-13 19:48:54.885916,Mouse,1768.0,89.0,,
2022-12-13 19:48:54.895937,Mouse,1767.0,89.0,,
