Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-13 18:28:10.134342,,Eye Tracker,37.0,166.0,Valid,Valid,Fixation
2022-12-13 18:28:10.150997,,Eye Tracker,38.0,166.0,Valid,Valid,Fixation
2022-12-13 18:28:10.167652,,Eye Tracker,40.0,166.0,Valid,Valid,Fixation
2022-12-13 18:28:10.184306,,Eye Tracker,42.0,162.0,Valid,Valid,Fixation
2022-12-13 18:28:10.200961,,Eye Tracker,43.0,161.0,Valid,Valid,Fixation
2022-12-13 18:28:10.217616,,Eye Tracker,40.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:10.234271,,Eye Tracker,41.0,165.0,Valid,Valid,Fixation
2022-12-13 18:28:10.250926,,Eye Tracker,47.0,167.0,Valid,Valid,Fixation
2022-12-13 18:28:10.267581,,Eye Tracker,48.0,169.0,Valid,Valid,Fixation
2022-12-13 18:28:10.284236,,Eye Tracker,47.0,170.0,Valid,Valid,Fixation
2022-12-13 18:28:10.300890,,Eye Tracker,48.0,172.0,Valid,Valid,Fixation
2022-12-13 18:28:10.317545,,Eye Tracker,48.0,174.0,Valid,Valid,Fixation
2022-12-13 18:28:10.334201,,Eye Tracker,50.0,173.0,Valid,Valid,Fixation
2022-12-13 18:28:10.350855,,Eye Tracker,55.0,174.0,Valid,Valid,Fixation
2022-12-13 18:28:10.367510,,Eye Tracker,54.0,175.0,Valid,Valid,Fixation
2022-12-13 18:28:10.384165,,Eye Tracker,53.0,168.0,Valid,Valid,Fixation
2022-12-13 18:28:10.400820,,Eye Tracker,52.0,171.0,Valid,Valid,Fixation
2022-12-13 18:28:10.417475,,Eye Tracker,56.0,179.0,Valid,Valid,Fixation
2022-12-13 18:28:10.434130,,Eye Tracker,119.0,172.0,Valid,Valid,Saccade
2022-12-13 18:28:10.450784,,Eye Tracker,216.0,180.0,Valid,Valid,Saccade
2022-12-13 18:28:10.467439,,Eye Tracker,247.0,177.0,Valid,Valid,Saccade
2022-12-13 18:28:10.484094,,Eye Tracker,261.0,181.0,Valid,Valid,Fixation
2022-12-13 18:28:10.500748,,Eye Tracker,262.0,175.0,Valid,Valid,Fixation
2022-12-13 18:28:10.517404,,Eye Tracker,252.0,169.0,Valid,Valid,Fixation
2022-12-13 18:28:10.534059,,Eye Tracker,246.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:10.550714,,Eye Tracker,240.0,158.0,Valid,Valid,Fixation
2022-12-13 18:28:10.567368,,Eye Tracker,240.0,158.0,Valid,Valid,Fixation
2022-12-13 18:28:10.584024,,Eye Tracker,235.0,156.0,Valid,Valid,Fixation
2022-12-13 18:28:10.600679,,Eye Tracker,233.0,156.0,Valid,Valid,Fixation
2022-12-13 18:28:10.617333,,Eye Tracker,235.0,156.0,Valid,Valid,Fixation
2022-12-13 18:28:10.633988,,Eye Tracker,239.0,157.0,Valid,Valid,Fixation
2022-12-13 18:28:10.650643,,Eye Tracker,242.0,159.0,Valid,Valid,Fixation
2022-12-13 18:28:10.667297,,Eye Tracker,243.0,159.0,Valid,Valid,Fixation
2022-12-13 18:28:10.683952,,Eye Tracker,247.0,157.0,Valid,Valid,Fixation
2022-12-13 18:28:10.700607,,Eye Tracker,248.0,150.0,Valid,Valid,Fixation
2022-12-13 18:28:10.717261,,Eye Tracker,244.0,151.0,Valid,Valid,Fixation
2022-12-13 18:28:10.733916,,Eye Tracker,244.0,151.0,Valid,Valid,Fixation
2022-12-13 18:28:10.750572,,Eye Tracker,253.0,152.0,Valid,Valid,Fixation
2022-12-13 18:28:10.767226,,Eye Tracker,256.0,148.0,Valid,Valid,Fixation
2022-12-13 18:28:10.783881,,Eye Tracker,261.0,139.0,Valid,Valid,Fixation
2022-12-13 18:28:10.800536,,Eye Tracker,269.0,136.0,Valid,Valid,Fixation
2022-12-13 18:28:10.817191,,Eye Tracker,266.0,134.0,Valid,Valid,Fixation
2022-12-13 18:28:10.833846,,Eye Tracker,266.0,130.0,Valid,Valid,Fixation
2022-12-13 18:28:10.850501,,Eye Tracker,269.0,124.0,Valid,Valid,Fixation
2022-12-13 18:28:10.867156,,Eye Tracker,277.0,122.0,Valid,Valid,Fixation
2022-12-13 18:28:10.883810,,Eye Tracker,281.0,122.0,Valid,Valid,Fixation
2022-12-13 18:28:10.900465,,Eye Tracker,282.0,124.0,Valid,Valid,Fixation
2022-12-13 18:28:10.917121,,Eye Tracker,318.0,118.0,Valid,Valid,Saccade
2022-12-13 18:28:10.933775,,Eye Tracker,404.0,125.0,Valid,Valid,Saccade
2022-12-13 18:28:10.950430,,Eye Tracker,473.0,133.0,Valid,Valid,Saccade
2022-12-13 18:28:10.967085,,Eye Tracker,498.0,136.0,Valid,Valid,Saccade
2022-12-13 18:28:10.983739,,Eye Tracker,501.0,132.0,Valid,Valid,Fixation
2022-12-13 18:28:11.000394,,Eye Tracker,501.0,133.0,Valid,Valid,Fixation
2022-12-13 18:28:11.017049,,Eye Tracker,504.0,135.0,Valid,Valid,Fixation
2022-12-13 18:28:11.033703,,Eye Tracker,501.0,132.0,Valid,Valid,Fixation
2022-12-13 18:28:11.050358,,Eye Tracker,499.0,130.0,Valid,Valid,Fixation
2022-12-13 18:28:11.067014,,Eye Tracker,500.0,131.0,Valid,Valid,Fixation
2022-12-13 18:28:11.083670,,Eye Tracker,498.0,131.0,Valid,Valid,Fixation
2022-12-13 18:28:11.100324,,Eye Tracker,497.0,131.0,Valid,Valid,Fixation
2022-12-13 18:28:11.116979,,Eye Tracker,496.0,131.0,Valid,Valid,Fixation
2022-12-13 18:28:11.133634,,Eye Tracker,500.0,133.0,Valid,Valid,Fixation
2022-12-13 18:28:11.150288,,Eye Tracker,498.0,136.0,Valid,Valid,Fixation
2022-12-13 18:28:11.166943,,Eye Tracker,497.0,137.0,Valid,Valid,Fixation
2022-12-13 18:28:11.183598,,Eye Tracker,499.0,140.0,Valid,Valid,Fixation
2022-12-13 18:28:11.200252,,Eye Tracker,496.0,143.0,Valid,Valid,Fixation
2022-12-13 18:28:11.216907,,Eye Tracker,489.0,154.0,Valid,Valid,Fixation
2022-12-13 18:28:11.233562,,Eye Tracker,482.0,159.0,Valid,Valid,Fixation
2022-12-13 18:28:11.250216,,Eye Tracker,477.0,162.0,Valid,Valid,Fixation
2022-12-13 18:28:11.266872,,Eye Tracker,476.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.283527,,Eye Tracker,480.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.300181,,Eye Tracker,481.0,166.0,Valid,Valid,Fixation
2022-12-13 18:28:11.316836,,Eye Tracker,481.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.333492,,Eye Tracker,481.0,163.0,Valid,Valid,Fixation
2022-12-13 18:28:11.350147,,Eye Tracker,485.0,163.0,Valid,Valid,Fixation
2022-12-13 18:28:11.366801,,Eye Tracker,486.0,168.0,Valid,Valid,Fixation
2022-12-13 18:28:11.383456,,Eye Tracker,484.0,169.0,Valid,Valid,Fixation
2022-12-13 18:28:11.400111,,Eye Tracker,484.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.416765,,Eye Tracker,483.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.433421,,Eye Tracker,482.0,161.0,Valid,Valid,Fixation
2022-12-13 18:28:11.450076,,Eye Tracker,481.0,161.0,Valid,Valid,Fixation
2022-12-13 18:28:11.466730,,Eye Tracker,483.0,162.0,Valid,Valid,Fixation
2022-12-13 18:28:11.483385,,Eye Tracker,481.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.500040,,Eye Tracker,479.0,165.0,Valid,Valid,Fixation
2022-12-13 18:28:11.516694,,Eye Tracker,484.0,163.0,Valid,Valid,Fixation
2022-12-13 18:28:11.533349,,Eye Tracker,485.0,164.0,Valid,Valid,Fixation
2022-12-13 18:28:11.550004,,Eye Tracker,485.0,162.0,Valid,Valid,Fixation
2022-12-13 18:28:11.566659,,Eye Tracker,482.0,162.0,Valid,Valid,Fixation
2022-12-13 18:28:11.583314,,Eye Tracker,482.0,166.0,Valid,Valid,Fixation
2022-12-13 18:28:11.599969,,Eye Tracker,488.0,201.0,Valid,Valid,Saccade
2022-12-13 18:28:11.616625,,Eye Tracker,484.0,307.0,Valid,Valid,Saccade
2022-12-13 18:28:11.633279,,Eye Tracker,476.0,371.0,Valid,Valid,Saccade
2022-12-13 18:28:11.649934,,Eye Tracker,469.0,398.0,Valid,Valid,Saccade
2022-12-13 18:28:11.666589,,Eye Tracker,468.0,407.0,Valid,Valid,Fixation
2022-12-13 18:28:11.683243,,Eye Tracker,473.0,406.0,Valid,Valid,Fixation
2022-12-13 18:28:11.699898,,Eye Tracker,471.0,402.0,Valid,Valid,Fixation
2022-12-13 18:28:11.716553,,Eye Tracker,463.0,397.0,Valid,Valid,Fixation
2022-12-13 18:28:11.733207,,Eye Tracker,466.0,395.0,Valid,Valid,Fixation
2022-12-13 18:28:11.749862,,Eye Tracker,469.0,392.0,Valid,Valid,Fixation
2022-12-13 18:28:11.766517,,Eye Tracker,468.0,392.0,Valid,Valid,Fixation
2022-12-13 18:28:11.783172,,Eye Tracker,473.0,395.0,Valid,Valid,Fixation
2022-12-13 18:28:11.799827,,Eye Tracker,472.0,393.0,Valid,Valid,Fixation
2022-12-13 18:28:11.816483,,Eye Tracker,468.0,395.0,Valid,Valid,Fixation
2022-12-13 18:28:11.833137,,Eye Tracker,473.0,397.0,Valid,Valid,Fixation
2022-12-13 18:28:11.849792,,Eye Tracker,471.0,391.0,Valid,Valid,Fixation
2022-12-13 18:28:11.866447,,Eye Tracker,469.0,393.0,Valid,Valid,Fixation
2022-12-13 18:28:11.883102,,Eye Tracker,473.0,395.0,Valid,Valid,Fixation
2022-12-13 18:28:11.899756,,Eye Tracker,472.0,393.0,Valid,Valid,Fixation
2022-12-13 18:28:11.916411,,Eye Tracker,471.0,393.0,Valid,Valid,Fixation
2022-12-13 18:28:11.933066,,Eye Tracker,470.0,395.0,Valid,Valid,Fixation
2022-12-13 18:28:11.949721,,Eye Tracker,473.0,394.0,Valid,Valid,Fixation
2022-12-13 18:28:11.966376,,Eye Tracker,449.0,413.0,Valid,Valid,Saccade
2022-12-13 18:28:11.983031,,Eye Tracker,383.0,472.0,Valid,Valid,Saccade
