Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-13 18:31:21.537888,,Eye Tracker,1853.0,1015.0,Valid,Valid,Fixation
2022-12-13 18:31:21.554542,,Eye Tracker,1860.0,1015.0,Valid,Valid,Fixation
2022-12-13 18:31:21.571197,,Eye Tracker,1864.0,1013.0,Valid,Valid,Fixation
2022-12-13 18:31:21.587852,,Eye Tracker,1860.0,1013.0,Valid,Valid,Fixation
2022-12-13 18:31:21.604505,,Eye Tracker,1855.0,1011.0,Valid,Valid,Fixation
2022-12-13 18:31:21.621160,,Eye Tracker,1857.0,1008.0,Valid,Valid,Fixation
2022-12-13 18:31:21.637815,,Eye Tracker,1859.0,1009.0,Valid,Valid,Fixation
2022-12-13 18:31:21.654470,,Eye Tracker,1854.0,1013.0,Valid,Valid,Fixation
2022-12-13 18:31:21.671125,,Eye Tracker,1853.0,1011.0,Valid,Valid,Fixation
2022-12-13 18:31:21.687780,,Eye Tracker,1854.0,1008.0,Valid,Valid,Fixation
2022-12-13 18:31:21.704434,,Eye Tracker,1851.0,1010.0,Valid,Valid,Fixation
2022-12-13 18:31:21.721089,,Eye Tracker,1841.0,1010.0,Valid,Valid,Fixation
2022-12-13 18:31:21.737744,,Eye Tracker,1803.0,1008.0,Valid,Valid,Saccade
2022-12-13 18:31:21.754399,,Eye Tracker,1610.0,992.0,Valid,Valid,Saccade
2022-12-13 18:31:21.771053,,Eye Tracker,1570.0,987.0,Valid,Valid,Saccade
2022-12-13 18:31:21.787708,,Eye Tracker,1548.0,986.0,Valid,Valid,Fixation
2022-12-13 18:31:21.804363,,Eye Tracker,1545.0,986.0,Valid,Valid,Fixation
2022-12-13 18:31:21.821017,,Eye Tracker,1551.0,982.0,Valid,Valid,Fixation
2022-12-13 18:31:21.837671,,Eye Tracker,1555.0,982.0,Valid,Valid,Fixation
2022-12-13 18:31:21.854326,,Eye Tracker,1559.0,987.0,Valid,Valid,Fixation
2022-12-13 18:31:21.870980,,Eye Tracker,1565.0,987.0,Valid,Valid,Fixation
2022-12-13 18:31:21.887635,,Eye Tracker,1643.0,993.0,Valid,Valid,Saccade
2022-12-13 18:31:21.904291,,Eye Tracker,1721.0,1001.0,Valid,Valid,Saccade
2022-12-13 18:31:21.920946,,Eye Tracker,1762.0,1006.0,Valid,Valid,Saccade
2022-12-13 18:31:21.937599,,Eye Tracker,1771.0,1003.0,Valid,Valid,Fixation
2022-12-13 18:31:21.954254,,Eye Tracker,1770.0,1006.0,Valid,Valid,Fixation
2022-12-13 18:31:21.970910,,Eye Tracker,1766.0,1006.0,Valid,Valid,Fixation
2022-12-13 18:31:21.987564,,Eye Tracker,1760.0,1007.0,Valid,Valid,Fixation
2022-12-13 18:31:22.004219,,Eye Tracker,1754.0,1006.0,Valid,Valid,Fixation
2022-12-13 18:31:22.020874,,Eye Tracker,1748.0,1000.0,Valid,Valid,Fixation
2022-12-13 18:31:22.037528,,Eye Tracker,1741.0,1003.0,Valid,Valid,Fixation
2022-12-13 18:31:22.054183,,Eye Tracker,1712.0,1002.0,Valid,Valid,Saccade
2022-12-13 18:31:22.070838,,Eye Tracker,1644.0,999.0,Valid,Valid,Saccade
2022-12-13 18:31:22.087491,,Eye Tracker,1449.0,1003.0,Valid,Valid,Saccade
2022-12-13 18:31:22.104146,,Eye Tracker,1418.0,998.0,Valid,Valid,Saccade
2022-12-13 18:31:22.120801,,Eye Tracker,1408.0,997.0,Valid,Valid,Fixation
2022-12-13 18:31:22.137456,,Eye Tracker,1416.0,1000.0,Valid,Valid,Fixation
2022-12-13 18:31:22.154110,,Eye Tracker,1424.0,1000.0,Valid,Valid,Fixation
2022-12-13 18:31:22.170765,,Eye Tracker,1426.0,997.0,Valid,Valid,Fixation
2022-12-13 18:31:22.187420,,Eye Tracker,1432.0,993.0,Valid,Valid,Fixation
2022-12-13 18:31:22.204074,,Eye Tracker,1431.0,995.0,Valid,Valid,Fixation
2022-12-13 18:31:22.220730,,Eye Tracker,1432.0,996.0,Valid,Valid,Fixation
2022-12-13 18:31:22.237385,,Eye Tracker,1431.0,997.0,Valid,Valid,Fixation
2022-12-13 18:31:22.254039,,Eye Tracker,1475.0,1004.0,Valid,Valid,Saccade
2022-12-13 18:31:22.270694,,Eye Tracker,1531.0,1009.0,Valid,Valid,Saccade
2022-12-13 18:31:22.287349,,Eye Tracker,1552.0,1011.0,Valid,Valid,Fixation
2022-12-13 18:31:22.304003,,Eye Tracker,1555.0,1010.0,Valid,Valid,Fixation
2022-12-13 18:31:22.320657,,Eye Tracker,1550.0,1014.0,Valid,Valid,Fixation
