Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670923411.545,MouseEvent,,1053.3333333333333,546.6666666666666,,,Fixation
1670923411.5513232,,Mouse,1054.6666666666667,547.3333333333334,,,Fixation
1670923411.5601091,,Eye Tracker,1056.0,548.0,Valid,Valid,Fixation
1670923411.567286,,Eye Tracker,1053.0,543.0,Valid,Valid,Fixation
1670923411.576764,,Eye Tracker,1053.0,537.0,Valid,Valid,Fixation
1670923411.583378,,Eye Tracker,1053.0,540.0,Valid,Valid,Fixation
1670923411.599275,,Eye Tracker,1055.0,545.0,Valid,Valid,Fixation
1670923411.606784,,Eye Tracker,1062.0,544.0,Valid,Valid,Fixation
1670923411.615261,,Eye Tracker,1065.0,547.0,Valid,Valid,Fixation
1670923411.623439,,Eye Tracker,1059.0,547.0,Valid,Valid,Fixation
1670923411.6312551,,Eye Tracker,1059.0,544.0,Valid,Valid,Fixation
1670923411.647284,,Eye Tracker,1060.0,540.0,Valid,Valid,Fixation
1670923411.657483,,Eye Tracker,1059.0,542.0,Valid,Valid,Fixation
1670923411.663264,,Eye Tracker,1053.0,549.0,Valid,Valid,Fixation
1670923411.674138,,Eye Tracker,1053.0,550.0,Valid,Valid,Fixation
1670923411.679258,,Eye Tracker,1057.0,549.0,Valid,Valid,Fixation
1670923411.690792,,Mouse,1057.6666666666667,547.6666666666666,,,Fixation
1670923411.6952891,,Mouse,1058.3333333333333,546.3333333333334,,,Fixation
1670923411.707447,,Eye Tracker,1059.0,545.0,Valid,Valid,Fixation
1670923411.7112901,,Mouse,1059.3333333333333,545.0,,,Fixation
1670923411.724102,,Mouse,1059.6666666666667,545.0,,,Fixation
1670923411.727258,,Eye Tracker,1060.0,545.0,Valid,Valid,Fixation
1670923411.740756,,Eye Tracker,1057.0,547.0,Valid,Valid,Fixation
1670923411.7432592,,Mouse,1044.5,538.5,,,Fixation
1670923411.757411,,Eye Tracker,1032.0,530.0,Valid,Valid,Saccade
1670923411.7592552,,Mouse,1022.5,526.5,,,Saccade
1670923411.774066,,Eye Tracker,1013.0,523.0,Valid,Valid,Fixation
1670923411.775291,,Mouse,1009.5,520.5,,,Fixation
1670923411.7907221,,Eye Tracker,1006.0,518.0,Valid,Valid,Fixation
1670923411.791289,,Mouse,1006.0,516.0,,,Fixation
1670923411.8072982,,Eye Tracker,1006.0,514.0,Valid,Valid,Fixation
1670923411.8073761,,Mouse,1008.0,514.0,,,Fixation
1670923411.823306,,Mouse,1010.0,514.0,,,Fixation
1670923411.824031,,Eye Tracker,1012.0,514.0,Valid,Valid,Fixation
1670923411.8393102,,Eye Tracker,1011.0,512.0,Valid,Valid,Fixation
1670923411.840686,,Mouse,1010.6666666666666,514.3333333333334,,,Fixation
1670923411.8553312,,Mouse,1010.3333333333334,516.6666666666666,,,Fixation
1670923411.85734,,Eye Tracker,1010.0,519.0,Valid,Valid,Fixation
1670923411.871285,,Mouse,1010.5,519.5,,,Fixation
1670923411.873995,,Eye Tracker,1011.0,520.0,Valid,Valid,Fixation
1670923411.8872812,,Mouse,1011.5,518.5,,,Fixation
1670923411.89065,,Eye Tracker,1012.0,517.0,Valid,Valid,Fixation
1670923411.907304,,Mouse,1013.0,518.0,,,Fixation
1670923411.923959,,Eye Tracker,1014.0,519.0,Valid,Valid,Fixation
1670923411.940614,,Mouse,1014.0,522.5,,,Fixation
1670923411.957268,,Eye Tracker,1014.0,526.0,Valid,Valid,Fixation
1670923411.973923,,Mouse,1013.0,526.0,,,Fixation
1670923411.9905782,,Eye Tracker,1012.0,526.0,Valid,Valid,Fixation
1670923412.0072322,,Mouse,1012.0,525.6666666666666,,,Fixation
1670923412.0238872,,Mouse,1012.0,525.3333333333334,,,Fixation
1670923412.040543,,Eye Tracker,1012.0,525.0,Valid,Valid,Fixation
1670923412.057198,,Mouse,1013.0,523.5,,,Fixation
1670923412.073852,,Eye Tracker,1014.0,522.0,Valid,Valid,Fixation
1670923412.090507,,Mouse,1012.0,522.5,,,Fixation
1670923412.107162,,Eye Tracker,1010.0,523.0,Valid,Valid,Fixation
1670923412.123816,,Mouse,1009.0,525.0,,,Fixation
1670923412.140471,,Eye Tracker,1008.0,527.0,Valid,Valid,Fixation
1670923412.1571262,,Mouse,1010.0,521.0,,,Fixation
1670923412.17378,,Eye Tracker,1012.0,515.0,Valid,Valid,Fixation
1670923412.1904352,,Eye Tracker,1012.0,516.0,Valid,Valid,Fixation
1670923412.2070901,,Mouse,1005.3333333333334,520.0,,,Fixation
1670923412.2237442,,Mouse,998.6666666666666,524.0,,,Saccade
1670923412.2403991,,Eye Tracker,992.0,528.0,Valid,Valid,Saccade
1670923412.257054,,Eye Tracker,974.0,531.0,Valid,Valid,Fixation
1670923412.273708,,Mouse,971.3333333333334,531.3333333333334,,,Fixation
1670923412.290364,,Mouse,968.6666666666666,531.6666666666666,,,Fixation
1670923412.307019,,Eye Tracker,966.0,532.0,Valid,Valid,Fixation
1670923412.323674,,Mouse,963.5,531.5,,,Fixation
1670923412.340328,,Eye Tracker,961.0,531.0,Valid,Valid,Fixation
1670923412.3569832,,Mouse,962.0,530.0,,,Fixation
1670923412.3736382,,Eye Tracker,963.0,529.0,Valid,Valid,Fixation
1670923412.3902922,,Mouse,964.0,530.0,,,Fixation
1670923412.4069471,,Eye Tracker,965.0,531.0,Valid,Valid,Fixation
1670923412.423602,,Mouse,965.3333333333334,530.6666666666666,,,Fixation
1670923412.440256,,Mouse,965.6666666666666,530.3333333333334,,,Fixation
1670923412.456911,,Eye Tracker,966.0,530.0,Valid,Valid,Fixation
1670923412.473566,,Eye Tracker,966.0,527.0,Valid,Valid,Fixation
1670923412.49022,,Mouse,967.3333333333334,527.3333333333334,,,Fixation
1670923412.5033681,,Mouse,968.6666666666666,527.6666666666666,,,Fixation
1670923412.506875,,Eye Tracker,970.0,528.0,Valid,Valid,Fixation
1670923412.519355,,Mouse,970.0,529.0,,,Fixation
1670923412.52353,,Eye Tracker,970.0,530.0,Valid,Valid,Fixation
1670923412.525428,,Mouse,970.5,529.0,,,Fixation
1670923412.540185,,Eye Tracker,971.0,528.0,Valid,Valid,Fixation
1670923412.5568402,,Mouse,971.5,528.5,,,Fixation
1670923412.5734951,,Eye Tracker,972.0,529.0,Valid,Valid,Fixation
1670923412.59015,,Mouse,968.5,531.0,,,Fixation
1670923412.6068041,,Eye Tracker,965.0,533.0,Valid,Valid,Fixation
1670923412.623459,,Mouse,964.0,532.5,,,Fixation
1670923412.640114,,Eye Tracker,963.0,532.0,Valid,Valid,Fixation
1670923412.656768,,Mouse,962.5,532.0,,,Fixation
1670923412.673423,,Eye Tracker,962.0,532.0,Valid,Valid,Fixation
1670923412.690078,,Mouse,960.5,530.5,,,Fixation
1670923412.706732,,Eye Tracker,959.0,529.0,Valid,Valid,Fixation
1670923412.723387,,Mouse,958.0,524.5,,,Fixation
1670923412.735479,,Eye Tracker,957.0,520.0,Valid,Valid,Fixation
1670923412.740042,,Mouse,956.5,520.5,,,Fixation
1670923412.751462,,Eye Tracker,956.0,521.0,Valid,Valid,Fixation
1670923412.756696,,Mouse,954.0,523.5,,,Fixation
1670923412.7733512,,Eye Tracker,952.0,526.0,Valid,Valid,Fixation
1670923412.7754872,,Mouse,936.0,512.0,,,Fixation
1670923412.790007,,Eye Tracker,920.0,498.0,Valid,Valid,Saccade
1670923412.791487,,Mouse,901.0,478.0,,,Saccade
1670923412.8066611,,Eye Tracker,882.0,458.0,Valid,Valid,Saccade
