Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-13 18:51:19.509265,,,,MouseEvent,"Down, Left"
2022-12-13 18:51:19.509265,Mouse,1499.0,148.0,,
2022-12-13 18:51:19.648034,Mouse,1498.0,148.0,,
2022-12-13 18:51:20.021274,Mouse,1498.0,148.0,,
2022-12-13 18:51:20.040217,Mouse,1496.0,148.0,,
2022-12-13 18:51:20.061211,Mouse,1495.0,148.0,,
2022-12-13 18:51:20.080066,Mouse,1495.0,148.0,,
2022-12-13 18:51:20.101091,Mouse,1495.0,148.0,,
2022-12-13 18:51:20.181197,Mouse,1494.0,148.0,,
2022-12-13 18:51:20.200058,Mouse,1492.0,148.0,,
2022-12-13 18:51:20.210104,Mouse,1491.0,147.0,,
2022-12-13 18:51:20.220291,Mouse,1490.0,147.0,,
2022-12-13 18:51:20.231336,Mouse,1490.0,147.0,,
2022-12-13 18:51:20.260164,Mouse,1488.0,147.0,,
2022-12-13 18:51:20.280067,Mouse,1487.0,147.0,,
2022-12-13 18:51:20.311236,Mouse,1485.0,146.0,,
2022-12-13 18:51:20.331049,Mouse,1485.0,146.0,,
2022-12-13 18:51:20.341229,Mouse,1485.0,146.0,,
2022-12-13 18:51:20.362083,Mouse,1484.0,145.0,,
2022-12-13 18:51:20.381298,Mouse,1482.0,145.0,,
2022-12-13 18:51:20.461204,Mouse,1481.0,145.0,,
2022-12-13 18:51:20.482170,Mouse,1478.0,145.0,,
2022-12-13 18:51:20.502035,Mouse,1474.0,144.0,,
2022-12-13 18:51:20.512070,Mouse,1473.0,144.0,,
2022-12-13 18:51:20.523076,Mouse,1473.0,144.0,,
2022-12-13 18:51:20.552088,Mouse,1472.0,144.0,,
2022-12-13 18:51:20.573084,Mouse,1472.0,144.0,,
2022-12-13 18:51:20.602073,Mouse,1471.0,144.0,,
2022-12-13 18:51:20.613096,Mouse,1469.0,143.0,,
2022-12-13 18:51:20.632093,Mouse,1467.0,143.0,,
2022-12-13 18:51:20.653265,Mouse,1465.0,143.0,,
2022-12-13 18:51:20.672060,Mouse,1464.0,143.0,,
2022-12-13 18:51:20.682073,Mouse,1464.0,143.0,,
2022-12-13 18:51:20.693055,Mouse,1463.0,142.0,,
2022-12-13 18:51:20.712077,Mouse,1463.0,142.0,,
2022-12-13 18:51:20.743092,Mouse,1461.0,142.0,,
2022-12-13 18:51:20.762124,Mouse,1460.0,140.0,,
2022-12-13 18:51:20.783015,Mouse,1458.0,140.0,,
2022-12-13 18:51:20.802072,Mouse,1455.0,139.0,,
2022-12-13 18:51:20.812079,Mouse,1454.0,138.0,,
2022-12-13 18:51:20.823074,Mouse,1452.0,138.0,,
2022-12-13 18:51:20.843164,Mouse,1449.0,137.0,,
2022-12-13 18:51:20.853254,Mouse,1448.0,136.0,,
2022-12-13 18:51:20.864041,Mouse,1447.0,136.0,,
2022-12-13 18:51:20.903181,Mouse,1447.0,136.0,,
2022-12-13 18:51:20.923069,Mouse,1446.0,136.0,,
2022-12-13 18:51:20.933254,Mouse,1445.0,136.0,,
2022-12-13 18:51:20.963023,Mouse,1444.0,136.0,,
2022-12-13 18:51:20.994078,Mouse,1443.0,135.0,,
2022-12-13 18:51:21.014191,Mouse,1440.0,132.0,,
2022-12-13 18:51:21.035132,Mouse,1434.0,127.0,,
2022-12-13 18:51:21.054088,Mouse,1430.0,124.0,,
2022-12-13 18:51:21.064102,Mouse,1428.0,123.0,,
2022-12-13 18:51:21.074191,Mouse,1427.0,122.0,,
2022-12-13 18:51:21.085308,Mouse,1425.0,121.0,,
2022-12-13 18:51:21.104046,Mouse,1420.0,117.0,,
2022-12-13 18:51:21.114345,Mouse,1417.0,116.0,,
2022-12-13 18:51:21.125089,Mouse,1414.0,115.0,,
2022-12-13 18:51:21.144135,Mouse,1409.0,113.0,,
2022-12-13 18:51:21.165152,Mouse,1406.0,113.0,,
2022-12-13 18:51:21.264077,Mouse,1406.0,113.0,,
2022-12-13 18:51:21.284057,Mouse,1403.0,111.0,,
2022-12-13 18:51:21.295086,Mouse,1400.0,110.0,,
2022-12-13 18:51:21.314310,Mouse,1395.0,107.0,,
2022-12-13 18:51:21.335235,Mouse,1390.0,104.0,,
2022-12-13 18:51:21.355062,Mouse,1383.0,101.0,,
2022-12-13 18:51:21.365079,Mouse,1381.0,100.0,,
2022-12-13 18:51:21.376191,Mouse,1379.0,99.0,,
2022-12-13 18:51:21.395045,Mouse,1376.0,98.0,,
2022-12-13 18:51:21.405128,Mouse,1374.0,98.0,,
2022-12-13 18:51:21.426036,Mouse,1374.0,97.0,,
2022-12-13 18:51:21.495173,Mouse,1372.0,97.0,,
2022-12-13 18:51:21.516068,Mouse,1372.0,96.0,,
2022-12-13 18:51:21.637055,Mouse,1371.0,95.0,,
2022-12-13 18:51:21.666160,Mouse,1370.0,94.0,,
2022-12-13 18:51:21.796262,,,,MouseEvent,"Up, Left"
2022-12-13 18:51:21.796262,Mouse,1370.0,94.0,,
2022-12-13 18:51:21.816093,Mouse,1370.0,94.0,,
2022-12-13 18:51:21.907303,Mouse,1370.0,93.0,,
2022-12-13 18:51:21.957074,Mouse,1370.0,93.0,,
2022-12-13 18:51:22.028134,Mouse,1370.0,92.0,,
