Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-13 18:54:57.938827,,Eye Tracker,1520.0,106.0,Valid,Valid,Fixation
2022-12-13 18:54:57.955482,,Eye Tracker,1520.0,104.0,Valid,Valid,Fixation
2022-12-13 18:54:57.972136,,Eye Tracker,1519.0,106.0,Valid,Valid,Fixation
2022-12-13 18:54:57.988791,,Eye Tracker,1519.0,109.0,Valid,Valid,Fixation
2022-12-13 18:54:58.005446,,Eye Tracker,1520.0,112.0,Valid,Valid,Fixation
2022-12-13 18:54:58.022100,,Eye Tracker,1519.0,111.0,Valid,Valid,Fixation
2022-12-13 18:54:58.038755,,Eye Tracker,1518.0,105.0,Valid,Valid,Fixation
2022-12-13 18:54:58.055410,,Eye Tracker,1521.0,109.0,Valid,Valid,Fixation
2022-12-13 18:54:58.072064,,Eye Tracker,1526.0,120.0,Valid,Valid,Fixation
2022-12-13 18:54:58.088719,,Eye Tracker,1521.0,118.0,Valid,Valid,Fixation
2022-12-13 18:54:58.105374,,Eye Tracker,1520.0,109.0,Valid,Valid,Fixation
2022-12-13 18:54:58.122028,,Eye Tracker,1524.0,106.0,Valid,Valid,Fixation
2022-12-13 18:54:58.138683,,Eye Tracker,1525.0,108.0,Valid,Valid,Fixation
2022-12-13 18:54:58.155338,,Eye Tracker,1523.0,115.0,Valid,Valid,Fixation
2022-12-13 18:54:58.171993,,Eye Tracker,1519.0,112.0,Valid,Valid,Fixation
2022-12-13 18:54:58.188647,,Eye Tracker,1497.0,114.0,Valid,Valid,Fixation
2022-12-13 18:54:58.205302,,Eye Tracker,1420.0,146.0,Valid,Valid,Saccade
2022-12-13 18:54:58.221958,,Eye Tracker,1239.0,193.0,Valid,Valid,Saccade
2022-12-13 18:54:58.238612,,Eye Tracker,1221.0,189.0,Valid,Valid,Fixation
2022-12-13 18:54:58.255267,,Eye Tracker,1227.0,186.0,Valid,Valid,Fixation
2022-12-13 18:54:58.271922,,Eye Tracker,1236.0,193.0,Valid,Valid,Fixation
2022-12-13 18:54:58.288576,,Eye Tracker,1241.0,193.0,Valid,Valid,Fixation
2022-12-13 18:54:58.305231,,Eye Tracker,1247.0,186.0,Valid,Valid,Fixation
2022-12-13 18:54:58.321886,,Eye Tracker,1250.0,186.0,Valid,Valid,Fixation
2022-12-13 18:54:58.338539,,Eye Tracker,1252.0,177.0,Valid,Valid,Fixation
2022-12-13 18:54:58.355194,,Eye Tracker,1252.0,176.0,Valid,Valid,Fixation
2022-12-13 18:54:58.371849,,Eye Tracker,1250.0,181.0,Valid,Valid,Fixation
2022-12-13 18:54:58.388503,,Eye Tracker,1251.0,184.0,Valid,Valid,Fixation
2022-12-13 18:54:58.405158,,Eye Tracker,1302.0,185.0,Valid,Valid,Saccade
2022-12-13 18:54:58.421814,,Eye Tracker,1340.0,183.0,Valid,Valid,Saccade
2022-12-13 18:54:58.438469,,Eye Tracker,1351.0,190.0,Valid,Valid,Fixation
2022-12-13 18:54:58.455123,,Eye Tracker,1349.0,197.0,Valid,Valid,Fixation
2022-12-13 18:54:58.471778,,Eye Tracker,1345.0,195.0,Valid,Valid,Fixation
2022-12-13 18:54:58.488433,,Eye Tracker,1346.0,192.0,Valid,Valid,Fixation
2022-12-13 18:54:58.505087,,Eye Tracker,1342.0,192.0,Valid,Valid,Fixation
2022-12-13 18:54:58.521742,,Eye Tracker,1337.0,195.0,Valid,Valid,Fixation
2022-12-13 18:54:58.538397,,Eye Tracker,1334.0,188.0,Valid,Valid,Fixation
2022-12-13 18:54:58.555051,,Eye Tracker,1334.0,191.0,Valid,Valid,Fixation
2022-12-13 18:54:58.571706,,Eye Tracker,1340.0,191.0,Valid,Valid,Fixation
2022-12-13 18:54:58.588361,,Eye Tracker,1341.0,190.0,Valid,Valid,Fixation
2022-12-13 18:54:58.605015,,Eye Tracker,1335.0,191.0,Valid,Valid,Fixation
2022-12-13 18:54:58.621670,,Eye Tracker,1337.0,189.0,Valid,Valid,Fixation
2022-12-13 18:54:58.638325,,Eye Tracker,1335.0,192.0,Valid,Valid,Fixation
2022-12-13 18:54:58.654979,,Eye Tracker,1334.0,190.0,Valid,Valid,Fixation
2022-12-13 18:54:58.671634,,Eye Tracker,1332.0,195.0,Valid,Valid,Fixation
2022-12-13 18:54:58.688289,,Eye Tracker,1333.0,191.0,Valid,Valid,Fixation
2022-12-13 18:54:58.704944,,Eye Tracker,1335.0,184.0,Valid,Valid,Fixation
2022-12-13 18:54:58.721598,,Eye Tracker,1331.0,179.0,Valid,Valid,Fixation
2022-12-13 18:54:58.738253,,Eye Tracker,1329.0,184.0,Valid,Valid,Fixation
2022-12-13 18:54:58.754909,,Eye Tracker,1331.0,186.0,Valid,Valid,Fixation
2022-12-13 18:54:58.771563,,Eye Tracker,1332.0,179.0,Valid,Valid,Fixation
2022-12-13 18:54:58.788218,,Eye Tracker,1330.0,174.0,Valid,Valid,Fixation
2022-12-13 18:54:58.804873,,Eye Tracker,1327.0,176.0,Valid,Valid,Fixation
2022-12-13 18:54:58.821527,,Eye Tracker,1327.0,182.0,Valid,Valid,Fixation
2022-12-13 18:54:58.838182,,Eye Tracker,1329.0,179.0,Valid,Valid,Fixation
2022-12-13 18:54:58.854837,,Eye Tracker,1327.0,177.0,Valid,Valid,Fixation
2022-12-13 18:54:58.871491,,Eye Tracker,1319.0,184.0,Valid,Valid,Fixation
2022-12-13 18:54:58.888146,,Eye Tracker,1319.0,182.0,Valid,Valid,Fixation
2022-12-13 18:54:58.904801,,Eye Tracker,1292.0,190.0,Valid,Valid,Saccade
2022-12-13 18:54:58.921455,,Eye Tracker,1242.0,196.0,Valid,Valid,Saccade
2022-12-13 18:54:58.938110,,Eye Tracker,1145.0,179.0,Valid,Valid,Saccade
2022-12-13 18:54:58.954765,,Eye Tracker,1124.0,185.0,Valid,Valid,Fixation
2022-12-13 18:54:58.971420,,Eye Tracker,1134.0,193.0,Valid,Valid,Fixation
2022-12-13 18:54:58.988074,,Eye Tracker,1140.0,197.0,Valid,Valid,Fixation
2022-12-13 18:54:59.004729,,Eye Tracker,1144.0,199.0,Valid,Valid,Fixation
2022-12-13 18:54:59.021384,,Eye Tracker,1148.0,196.0,Valid,Valid,Fixation
2022-12-13 18:54:59.038038,,Eye Tracker,1149.0,197.0,Valid,Valid,Fixation
2022-12-13 18:54:59.054693,,Eye Tracker,1151.0,198.0,Valid,Valid,Fixation
2022-12-13 18:54:59.071348,,Eye Tracker,1149.0,199.0,Valid,Valid,Fixation
2022-12-13 18:54:59.088002,,Eye Tracker,1147.0,200.0,Valid,Valid,Fixation
2022-12-13 18:54:59.104657,,Eye Tracker,1151.0,206.0,Valid,Valid,Fixation
2022-12-13 18:54:59.121312,,Eye Tracker,1149.0,212.0,Valid,Valid,Fixation
2022-12-13 18:54:59.137966,,Eye Tracker,1147.0,211.0,Valid,Valid,Fixation
2022-12-13 18:54:59.154621,,Eye Tracker,1120.0,219.0,Valid,Valid,Saccade
2022-12-13 18:54:59.171276,,Eye Tracker,1097.0,244.0,Valid,Valid,Saccade
2022-12-13 18:54:59.187930,,Eye Tracker,771.0,391.0,Valid,Valid,Saccade
2022-12-13 18:54:59.204585,,Eye Tracker,778.0,402.0,Valid,Valid,Fixation
2022-12-13 18:54:59.221240,,Eye Tracker,780.0,410.0,Valid,Valid,Fixation
2022-12-13 18:54:59.237895,,Eye Tracker,790.0,399.0,Valid,Valid,Fixation
2022-12-13 18:54:59.254549,,Eye Tracker,795.0,392.0,Valid,Valid,Fixation
2022-12-13 18:54:59.271204,,Eye Tracker,808.0,393.0,Valid,Valid,Fixation
2022-12-13 18:54:59.287860,,Eye Tracker,810.0,393.0,Valid,Valid,Fixation
2022-12-13 18:54:59.304514,,Eye Tracker,810.0,389.0,Valid,Valid,Fixation
2022-12-13 18:54:59.321169,,Eye Tracker,813.0,387.0,Valid,Valid,Fixation
2022-12-13 18:54:59.337824,,Eye Tracker,808.0,380.0,Valid,Valid,Fixation
2022-12-13 18:54:59.354478,,Eye Tracker,812.0,375.0,Valid,Valid,Fixation
2022-12-13 18:54:59.371133,,Eye Tracker,815.0,381.0,Valid,Valid,Fixation
2022-12-13 18:54:59.387788,,Eye Tracker,815.0,382.0,Valid,Valid,Fixation
2022-12-13 18:54:59.404442,,Eye Tracker,819.0,381.0,Valid,Valid,Fixation
2022-12-13 18:54:59.421097,,Eye Tracker,821.0,382.0,Valid,Valid,Fixation
2022-12-13 18:54:59.437752,,Eye Tracker,814.0,379.0,Valid,Valid,Fixation
2022-12-13 18:54:59.454406,,Eye Tracker,813.0,377.0,Valid,Valid,Fixation
2022-12-13 18:54:59.471061,,Eye Tracker,812.0,374.0,Valid,Valid,Fixation
2022-12-13 18:54:59.487716,,Eye Tracker,812.0,376.0,Valid,Valid,Fixation
2022-12-13 18:54:59.504371,,Eye Tracker,814.0,381.0,Valid,Valid,Fixation
2022-12-13 18:54:59.521025,,Eye Tracker,813.0,376.0,Valid,Valid,Fixation
2022-12-13 18:54:59.537680,,Eye Tracker,811.0,369.0,Valid,Valid,Fixation
2022-12-13 18:54:59.554336,,Eye Tracker,811.0,372.0,Valid,Valid,Fixation
2022-12-13 18:54:59.570990,,Eye Tracker,813.0,373.0,Valid,Valid,Fixation
2022-12-13 18:54:59.587644,,Eye Tracker,811.0,375.0,Valid,Valid,Fixation
2022-12-13 18:54:59.604299,,Eye Tracker,812.0,370.0,Valid,Valid,Fixation
2022-12-13 18:54:59.620953,,Eye Tracker,794.0,380.0,Valid,Valid,Fixation
2022-12-13 18:54:59.637608,,Eye Tracker,763.0,403.0,Valid,Valid,Saccade
2022-12-13 18:54:59.654263,,Eye Tracker,569.0,497.0,Valid,Valid,Saccade
2022-12-13 18:54:59.670917,,Eye Tracker,572.0,498.0,Valid,Valid,Fixation
2022-12-13 18:54:59.687572,,Eye Tracker,575.0,496.0,Valid,Valid,Fixation
2022-12-13 18:54:59.704228,,Eye Tracker,581.0,491.0,Valid,Valid,Fixation
