Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671502907.82,MouseEvent,,-119.0,-9.0,,,Fixation
1671502907.835882,,Mouse,-119.0,-9.0,,,Fixation
1671502907.852536,,Eye Tracker,-119.0,-9.0,Valid,Valid,Fixation
1671502907.879596,,Eye Tracker,-118.0,-2.0,Valid,Valid,Fixation
1671502907.884289,,Eye Tracker,-116.0,-6.0,Valid,Valid,Fixation
1671502907.895603,,Eye Tracker,-121.0,-9.0,Valid,Valid,Fixation
1671502907.900943,,Eye Tracker,-121.0,-9.0,Valid,Valid,Fixation
1671502907.911609,,Eye Tracker,-117.0,-13.0,Valid,Valid,Fixation
1671502907.927618,,Eye Tracker,-119.0,-12.0,Valid,Valid,Fixation
1671502907.9435809,,Eye Tracker,-126.0,-13.0,Valid,Valid,Fixation
1671502907.9509869,,Eye Tracker,-127.0,-12.0,Valid,Valid,Fixation
1671502907.9676409,,Eye Tracker,-117.0,-13.0,Valid,Valid,Fixation
1671502907.9842958,,Eye Tracker,-120.0,-15.0,Valid,Valid,Fixation
1671502908.000952,,Eye Tracker,-126.0,-15.0,Valid,Valid,Fixation
1671502908.017606,,Eye Tracker,-129.0,-15.0,Valid,Valid,Fixation
1671502908.034261,,Eye Tracker,-130.0,-8.0,Valid,Valid,Fixation
1671502908.050916,,Eye Tracker,-127.0,-13.0,Valid,Valid,Fixation
1671502908.06757,,Eye Tracker,-126.0,-8.0,Valid,Valid,Fixation
1671502908.084225,,Eye Tracker,-124.0,-9.0,Valid,Valid,Fixation
1671502908.087626,,Eye Tracker,-126.0,-12.0,Valid,Valid,Fixation
1671502908.098399,,Eye Tracker,-131.0,-12.0,Valid,Valid,Fixation
1671502908.10088,,Eye Tracker,-135.0,-12.0,Valid,Valid,Fixation
1671502908.111615,,Eye Tracker,-135.0,-10.0,Valid,Valid,Fixation
1671502908.1175349,,Eye Tracker,-131.0,-12.0,Valid,Valid,Fixation
1671502908.127579,,Eye Tracker,-129.0,-13.0,Valid,Valid,Fixation
1671502908.134189,,Eye Tracker,-135.0,-18.0,Valid,Valid,Fixation
1671502908.1508439,,Eye Tracker,-140.0,-20.0,Valid,Valid,Fixation
1671502908.1674988,,Eye Tracker,-136.0,-22.0,Valid,Valid,Fixation
1671502908.1841528,,Eye Tracker,-136.0,-21.0,Valid,Valid,Fixation
1671502908.200808,,Eye Tracker,-138.0,-21.0,Valid,Valid,Fixation
1671502908.217463,,Mouse,-138.5,-22.5,,,Fixation
1671502908.234117,,Eye Tracker,-139.0,-24.0,Valid,Valid,Fixation
1671502908.250772,,Eye Tracker,-138.0,-16.0,Valid,Valid,Fixation
1671502908.267428,,Eye Tracker,-137.0,-16.0,Valid,Valid,Fixation
1671502908.284082,,Eye Tracker,-142.0,-24.0,Valid,Valid,Fixation
1671502908.300737,,Eye Tracker,-143.0,-25.0,Valid,Valid,Fixation
1671502908.3173919,,Eye Tracker,-140.0,-26.0,Valid,Valid,Fixation
1671502908.334046,,Eye Tracker,-141.0,-24.0,Valid,Valid,Fixation
1671502908.3507009,,Eye Tracker,-141.0,-28.0,Valid,Valid,Fixation
1671502908.3673558,,Eye Tracker,-142.0,-34.0,Valid,Valid,Fixation
1671502908.384011,,Eye Tracker,-144.0,-34.0,Valid,Valid,Fixation
1671502908.400665,,Eye Tracker,-145.0,-37.0,Valid,Valid,Fixation
