Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671504637.023452,MouseEvent,,1860.0,988.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1671504637.023452,,Mouse,1861.0,989.3333333333334,,,Fixation,1880.0,1018.0,,
1671504637.0318952,,Eye Tracker,1862.0,990.0,Valid,Valid,Fixation,,,,
1671504637.0485501,,Eye Tracker,1859.0,991.0,Valid,Valid,Fixation,,,,
1671504637.065205,,Eye Tracker,1858.0,998.0,Valid,Valid,Fixation,,,,
1671504637.081859,,Eye Tracker,1859.0,997.0,Valid,Valid,Fixation,,,,
1671504637.098514,,Eye Tracker,1863.0,995.0,Valid,Valid,Fixation,,,,
1671504637.11517,,Eye Tracker,1864.0,994.0,Valid,Valid,Fixation,,,,
1671504637.131825,,Eye Tracker,1858.0,993.0,Valid,Valid,Fixation,,,,
1671504637.148479,,Eye Tracker,1857.0,994.0,Valid,Valid,Fixation,,,,
1671504637.1651342,,Eye Tracker,1868.0,995.0,Valid,Valid,Fixation,,,,
1671504637.1817892,,Eye Tracker,1869.0,999.0,Valid,Valid,Fixation,,,,
1671504637.1984432,,Eye Tracker,1863.0,1004.0,Valid,Valid,Fixation,,,,
1671504637.2150981,,Eye Tracker,1863.0,1002.0,Valid,Valid,Fixation,,,,
1671504637.231753,,Eye Tracker,1866.0,999.0,Valid,Valid,Fixation,,,,
1671504637.2484071,,Eye Tracker,1864.0,1001.0,Valid,Valid,Fixation,,,,
1671504637.265062,,Eye Tracker,1858.0,1001.0,Valid,Valid,Fixation,,,,
1671504637.281717,,Eye Tracker,1861.0,1000.0,Valid,Valid,Fixation,,,,
1671504637.298371,,Eye Tracker,1869.0,1001.0,Valid,Valid,Fixation,,,,
1671504637.315026,,Eye Tracker,1870.0,999.0,Valid,Valid,Fixation,,,,
1671504637.331681,,Eye Tracker,1867.0,1000.0,Valid,Valid,Fixation,,,,
1671504637.348335,,Eye Tracker,1865.0,1002.0,Valid,Valid,Fixation,,,,
1671504637.3649912,,Eye Tracker,1860.0,994.0,Valid,Valid,Fixation,,,,
1671504637.3816462,,Eye Tracker,1857.0,988.0,Valid,Valid,Fixation,,,,
1671504637.3983011,,Eye Tracker,1858.0,990.0,Valid,Valid,Fixation,,,,
1671504637.4149551,,Eye Tracker,1861.0,998.0,Valid,Valid,Fixation,,,,
1671504637.415872,,Mouse,1863.0,997.5,,,Fixation,1880.0,1018.0,,
1671504637.43161,,Eye Tracker,1865.0,997.0,Valid,Valid,Fixation,,,,
