Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671501300.42369,,,,MouseEvent,"Down, Left"
1671501300.42369,Mouse,46.0,1000.0,,
1671501300.854497,Mouse,46.0,1000.0,,
1671501300.874293,Mouse,48.0,1000.0,,
1671501300.895478,Mouse,51.0,1000.0,,
1671501300.915504,Mouse,55.0,1000.0,,
1671501300.936214,Mouse,59.0,1000.0,,
1671501300.955263,Mouse,63.0,1000.0,,
1671501300.976297,Mouse,68.0,1000.0,,
1671501300.99527,Mouse,73.0,1000.0,,
1671501301.016501,Mouse,77.0,1000.0,,
1671501301.035231,Mouse,82.0,1000.0,,
1671501301.056218,Mouse,91.0,1000.0,,
1671501301.066231,Mouse,94.0,1000.0,,
1671501301.076482,Mouse,98.0,1000.0,,
1671501301.086484,Mouse,103.0,1000.0,,
1671501301.107248,Mouse,112.0,1000.0,,
1671501301.126244,Mouse,124.0,1000.0,,
1671501301.147289,Mouse,138.0,1000.0,,
1671501301.166204,Mouse,152.0,1000.0,,
1671501301.176209,Mouse,156.0,1000.0,,
1671501301.187274,Mouse,164.0,1000.0,,
1671501301.206238,Mouse,177.0,1000.0,,
1671501301.216384,Mouse,185.0,1000.0,,
1671501301.227231,Mouse,194.0,1000.0,,
1671501301.246263,Mouse,211.0,1000.0,,
1671501301.266172,Mouse,227.0,1000.0,,
1671501301.2775,Mouse,235.0,1000.0,,
1671501301.296202,Mouse,250.0,1000.0,,
1671501301.306234,Mouse,257.0,1000.0,,
1671501301.317484,Mouse,266.0,1000.0,,
1671501301.3362,Mouse,282.0,1000.0,,
1671501301.346266,Mouse,289.0,1000.0,,
1671501301.357201,Mouse,298.0,1000.0,,
1671501301.376223,Mouse,316.0,1000.0,,
1671501301.386365,Mouse,324.0,1000.0,,
1671501301.397208,Mouse,334.0,1000.0,,
1671501301.407307,Mouse,341.0,1000.0,,
1671501301.417631,Mouse,349.0,1000.0,,
1671501301.438417,Mouse,364.0,1000.0,,
1671501301.448438,Mouse,370.0,1000.0,,
1671501301.467205,Mouse,383.0,1000.0,,
1671501301.477255,Mouse,390.0,1000.0,,
1671501301.488341,Mouse,396.0,1000.0,,
1671501301.507214,Mouse,408.0,1000.0,,
1671501301.517492,Mouse,415.0,1000.0,,
1671501301.528255,Mouse,422.0,1000.0,,
1671501301.547242,Mouse,433.0,1000.0,,
1671501301.557266,Mouse,439.0,1000.0,,
1671501301.568209,Mouse,446.0,1000.0,,
1671501301.578258,Mouse,452.0,1000.0,,
1671501301.588354,Mouse,457.0,1000.0,,
1671501301.609499,Mouse,466.0,998.0,,
1671501301.628225,Mouse,475.0,998.0,,
1671501301.638231,Mouse,480.0,998.0,,
1671501301.648513,Mouse,486.0,997.0,,
1671501301.659264,Mouse,491.0,997.0,,
1671501301.678217,Mouse,499.0,995.0,,
1671501301.688271,Mouse,503.0,994.0,,
1671501301.699229,Mouse,508.0,994.0,,
1671501301.718518,Mouse,518.0,994.0,,
1671501301.739266,Mouse,526.0,993.0,,
1671501301.758227,Mouse,529.0,992.0,,
1671501301.76824,Mouse,531.0,991.0,,
1671501301.779234,Mouse,533.0,991.0,,
1671501301.789299,Mouse,536.0,990.0,,
1671501301.808253,Mouse,540.0,989.0,,
1671501301.818348,Mouse,541.0,988.0,,
1671501301.8292,Mouse,543.0,987.0,,
1671501301.848498,Mouse,545.0,986.0,,
1671501301.86955,Mouse,548.0,984.0,,
1671501301.888272,Mouse,552.0,981.0,,
1671501301.909231,Mouse,557.0,977.0,,
1671501301.919234,Mouse,559.0,975.0,,
1671501301.93926,Mouse,562.0,971.0,,
1671501301.950498,Mouse,563.0,969.0,,
1671501301.969262,Mouse,565.0,964.0,,
1671501301.979498,Mouse,566.0,961.0,,
1671501302.000249,Mouse,569.0,955.0,,
1671501302.01926,Mouse,570.0,946.0,,
1671501302.040554,Mouse,573.0,933.0,,
1671501302.05922,Mouse,575.0,924.0,,
1671501302.069488,Mouse,576.0,920.0,,
1671501302.080248,Mouse,576.0,916.0,,
1671501302.090302,Mouse,577.0,912.0,,
1671501302.110375,Mouse,577.0,903.0,,
1671501302.121268,Mouse,577.0,897.0,,
1671501302.140353,Mouse,577.0,886.0,,
1671501302.161228,Mouse,577.0,871.0,,
1671501302.171254,Mouse,577.0,862.0,,
1671501302.190263,Mouse,577.0,845.0,,
1671501302.200284,Mouse,577.0,837.0,,
1671501302.211251,Mouse,577.0,829.0,,
1671501302.23021,Mouse,577.0,817.0,,
1671501302.240373,Mouse,577.0,810.0,,
1671501302.251225,Mouse,577.0,803.0,,
1671501302.270396,Mouse,577.0,791.0,,
1671501302.291199,Mouse,577.0,778.0,,
1671501302.301224,Mouse,577.0,770.0,,
1671501302.320261,Mouse,577.0,761.0,,
1671501302.331371,Mouse,577.0,753.0,,
1671501302.35022,Mouse,577.0,739.0,,
1671501302.37027,Mouse,577.0,723.0,,
1671501302.381259,Mouse,577.0,716.0,,
1671501302.400261,Mouse,577.0,700.0,,
1671501302.410399,Mouse,577.0,693.0,,
1671501302.421205,Mouse,577.0,686.0,,
1671501302.431245,Mouse,577.0,680.0,,
1671501302.441448,Mouse,577.0,672.0,,
1671501302.462146,Mouse,577.0,659.0,,
1671501302.472217,Mouse,577.0,654.0,,
1671501302.491156,Mouse,575.0,644.0,,
1671501302.502234,Mouse,574.0,639.0,,
1671501302.512263,Mouse,572.0,635.0,,
1671501302.531481,Mouse,569.0,626.0,,
1671501302.552244,Mouse,565.0,618.0,,
1671501302.571284,Mouse,562.0,610.0,,
1671501302.581455,Mouse,561.0,609.0,,
1671501302.592492,Mouse,560.0,606.0,,
1671501302.612337,Mouse,557.0,603.0,,
1671501302.633198,Mouse,555.0,603.0,,
1671501302.64344,Mouse,555.0,603.0,,
1671501302.662206,Mouse,553.0,602.0,,
1671501302.673496,Mouse,552.0,602.0,,
1671501302.692252,Mouse,550.0,602.0,,
1671501302.7024,Mouse,548.0,601.0,,
1671501302.713216,Mouse,546.0,601.0,,
1671501302.732488,Mouse,540.0,601.0,,
1671501302.752251,Mouse,525.0,603.0,,
1671501302.763244,Mouse,516.0,605.0,,
1671501302.782229,Mouse,497.0,610.0,,
1671501302.792283,Mouse,484.0,613.0,,
1671501302.803204,Mouse,474.0,614.0,,
1671501302.813225,Mouse,466.0,615.0,,
1671501302.832438,Mouse,456.0,617.0,,
1671501302.843262,Mouse,451.0,617.0,,
1671501302.862478,Mouse,446.0,618.0,,
1671501302.882223,Mouse,438.0,618.0,,
1671501302.893241,Mouse,429.0,618.0,,
1671501302.912222,Mouse,410.0,618.0,,
1671501302.932349,Mouse,389.0,618.0,,
1671501302.943221,Mouse,380.0,618.0,,
1671501302.953246,Mouse,371.0,618.0,,
1671501302.973267,Mouse,354.0,618.0,,
1671501302.984251,Mouse,347.0,618.0,,
1671501303.003308,Mouse,337.0,617.0,,
1671501303.024261,Mouse,326.0,616.0,,
1671501303.043247,Mouse,310.0,613.0,,
1671501303.064356,Mouse,292.0,613.0,,
1671501303.083194,Mouse,276.0,613.0,,
1671501303.093216,Mouse,268.0,612.0,,
1671501303.103495,Mouse,260.0,612.0,,
1671501303.114253,Mouse,253.0,612.0,,
1671501303.12434,Mouse,244.0,612.0,,
1671501303.134356,Mouse,238.0,612.0,,
1671501303.155244,Mouse,223.0,612.0,,
1671501303.174232,Mouse,210.0,612.0,,
1671501303.184237,Mouse,204.0,612.0,,
1671501303.195344,Mouse,197.0,610.0,,
