Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1671501771.42578,,,,MouseEvent,"Down, Left"
1671501771.42578,Mouse,1598.0,697.0,,
1671501771.648718,Mouse,1597.0,697.0,,
1671501771.658837,Mouse,1595.0,697.0,,
1671501771.677675,Mouse,1586.0,697.0,,
1671501771.68885,Mouse,1580.0,697.0,,
1671501771.708685,Mouse,1563.0,697.0,,
1671501771.728882,Mouse,1543.0,697.0,,
1671501771.748651,Mouse,1515.0,697.0,,
1671501771.768708,Mouse,1484.0,697.0,,
1671501771.788787,Mouse,1449.0,697.0,,
1671501771.807684,Mouse,1420.0,697.0,,
1671501771.818731,Mouse,1407.0,697.0,,
1671501771.828832,Mouse,1395.0,697.0,,
1671501771.847663,Mouse,1375.0,697.0,,
1671501771.858807,Mouse,1362.0,697.0,,
1671501771.878652,Mouse,1335.0,695.0,,
1671501771.898793,Mouse,1309.0,689.0,,
1671501771.918787,Mouse,1285.0,686.0,,
1671501771.938687,Mouse,1266.0,681.0,,
1671501771.958888,Mouse,1250.0,677.0,,
1671501771.969,Mouse,1246.0,675.0,,
1671501771.979873,Mouse,1237.0,671.0,,
1671501771.999965,Mouse,1222.0,663.0,,
1671501772.01865,Mouse,1203.0,653.0,,
1671501772.029945,Mouse,1193.0,648.0,,
1671501772.04994,Mouse,1171.0,636.0,,
1671501772.069632,Mouse,1156.0,629.0,,
1671501772.079702,Mouse,1148.0,625.0,,
1671501772.089934,Mouse,1140.0,620.0,,
1671501772.109713,Mouse,1120.0,608.0,,
1671501772.119866,Mouse,1107.0,603.0,,
1671501772.139657,Mouse,1072.0,588.0,,
1671501772.150683,Mouse,1054.0,580.0,,
1671501772.160786,Mouse,1034.0,572.0,,
1671501772.180856,Mouse,1009.0,561.0,,
1671501772.200677,Mouse,991.0,551.0,,
1671501772.220668,Mouse,973.0,542.0,,
1671501772.240704,Mouse,956.0,534.0,,
1671501772.250728,Mouse,949.0,530.0,,
1671501772.260806,Mouse,943.0,526.0,,
1671501772.280682,Mouse,934.0,521.0,,
1671501772.290691,Mouse,929.0,517.0,,
1671501772.309701,Mouse,919.0,510.0,,
1671501772.320645,Mouse,913.0,507.0,,
1671501772.330652,Mouse,906.0,503.0,,
1671501772.340676,Mouse,897.0,498.0,,
1671501772.350717,Mouse,889.0,493.0,,
1671501772.370651,Mouse,876.0,485.0,,
1671501772.380656,Mouse,870.0,480.0,,
1671501772.39084,Mouse,866.0,476.0,,
1671501772.410695,Mouse,859.0,469.0,,
1671501772.430608,Mouse,852.0,458.0,,
1671501772.450654,Mouse,840.0,442.0,,
1671501772.460683,Mouse,835.0,433.0,,
1671501772.480752,Mouse,826.0,415.0,,
1671501772.491721,Mouse,822.0,406.0,,
1671501772.511653,Mouse,816.0,384.0,,
1671501772.521778,Mouse,812.0,373.0,,
1671501772.541647,Mouse,807.0,351.0,,
1671501772.551974,Mouse,806.0,340.0,,
1671501772.570668,Mouse,803.0,321.0,,
1671501772.581943,Mouse,801.0,312.0,,
1671501772.592115,Mouse,799.0,299.0,,
1671501772.61069,Mouse,792.0,279.0,,
1671501772.62181,Mouse,790.0,272.0,,
1671501772.641734,Mouse,783.0,255.0,,
1671501772.662621,Mouse,778.0,245.0,,
1671501772.672701,Mouse,776.0,242.0,,
1671501772.682977,Mouse,774.0,236.0,,
1671501772.701631,Mouse,769.0,228.0,,
1671501772.712697,Mouse,766.0,222.0,,
1671501772.7228,Mouse,764.0,219.0,,
1671501772.741671,Mouse,760.0,213.0,,
1671501772.752748,Mouse,758.0,210.0,,
1671501772.772802,Mouse,754.0,206.0,,
1671501772.792648,Mouse,752.0,203.0,,
1671501772.802649,Mouse,749.0,202.0,,
1671501772.812778,Mouse,745.0,200.0,,
1671501772.832639,Mouse,735.0,195.0,,
1671501772.842811,Mouse,731.0,194.0,,
1671501772.862648,Mouse,723.0,192.0,,
1671501772.911943,Mouse,722.0,192.0,,
1671501772.922954,Mouse,720.0,192.0,,
1671501772.942648,Mouse,714.0,193.0,,
1671501772.962654,Mouse,710.0,194.0,,
1671501772.972656,Mouse,709.0,195.0,,
1671501772.982707,Mouse,709.0,195.0,,
1671501772.986837,,,,MouseEvent,"Up, Left"
1671501772.986837,Mouse,709.0,195.0,,
1671501773.023716,Mouse,708.0,195.0,,
1671501773.042809,Mouse,708.0,195.0,,
1671501773.053799,Mouse,706.0,195.0,,
1671501773.073644,Mouse,703.0,195.0,,
1671501773.09365,Mouse,701.0,196.0,,
1671501773.174717,Mouse,700.0,197.0,,
1671501773.194708,Mouse,699.0,197.0,,
1671501773.21498,Mouse,699.0,197.0,,
1671501773.234967,Mouse,699.0,198.0,,
1671501773.244955,,,,MouseEvent,"Up, Left"
1671501773.244955,Mouse,699.0,198.0,,
1671501773.26469,Mouse,698.0,198.0,,
1671501773.364726,Mouse,699.0,200.0,,
1671501773.383845,Mouse,745.0,222.0,,
1671501773.394691,Mouse,785.0,243.0,,
1671501773.40503,Mouse,832.0,263.0,,
1671501773.423709,Mouse,910.0,302.0,,
1671501773.434768,Mouse,940.0,323.0,,
1671501773.444904,Mouse,975.0,348.0,,
1671501773.463682,Mouse,1030.0,379.0,,
1671501773.474927,Mouse,1061.0,391.0,,
1671501773.494688,Mouse,1096.0,401.0,,
1671501773.515648,Mouse,1117.0,403.0,,
1671501773.535752,Mouse,1130.0,403.0,,
1671501773.54596,Mouse,1133.0,403.0,,
1671501773.565725,Mouse,1135.0,403.0,,
1671501773.645903,Mouse,1136.0,404.0,,
1671501773.665702,Mouse,1136.0,419.0,,
1671501773.675921,Mouse,1136.0,431.0,,
1671501773.686692,Mouse,1136.0,444.0,,
1671501773.696911,Mouse,1137.0,454.0,,
1671501773.716615,Mouse,1144.0,467.0,,
1671501773.736871,Mouse,1147.0,470.0,,
1671501773.756678,Mouse,1148.0,470.0,,
1671501773.786715,Mouse,1149.0,470.0,,
1671501773.796736,Mouse,1149.0,470.0,,
1671501773.816659,Mouse,1151.0,470.0,,
1671501773.826666,Mouse,1154.0,470.0,,
1671501773.836966,Mouse,1156.0,470.0,,
1671501773.856702,Mouse,1160.0,470.0,,
1671501773.876797,Mouse,1163.0,469.0,,
1671501773.895772,Mouse,1168.0,469.0,,
1671501773.906644,Mouse,1170.0,469.0,,
1671501773.916649,Mouse,1172.0,469.0,,
1671501773.935643,Mouse,1177.0,472.0,,
1671501773.946618,Mouse,1181.0,474.0,,
1671501773.956646,Mouse,1182.0,476.0,,
1671501773.966774,Mouse,1184.0,478.0,,
1671501773.98667,Mouse,1186.0,480.0,,
1671501774.006806,Mouse,1186.0,481.0,,
1671501774.027787,Mouse,1187.0,482.0,,
1671501774.037812,Mouse,1189.0,484.0,,
1671501774.057656,Mouse,1195.0,492.0,,
1671501774.067726,Mouse,1196.0,494.0,,
1671501774.077777,Mouse,1197.0,496.0,,
1671501774.087801,Mouse,1199.0,498.0,,
1671501774.127708,Mouse,1199.0,498.0,,
1671501774.137722,Mouse,1200.0,500.0,,
1671501774.157718,Mouse,1205.0,504.0,,
1671501774.167872,Mouse,1206.0,505.0,,
1671501774.287784,,,,MouseEvent,"Down, Left"
1671501774.287784,Mouse,1206.0,505.0,,
1671501774.388674,Mouse,1206.0,506.0,,
1671501774.398676,Mouse,1205.0,507.0,,
1671501774.418941,Mouse,1203.0,507.0,,
1671501774.438799,Mouse,1190.0,512.0,,
1671501774.458604,Mouse,1174.0,516.0,,
1671501774.468642,Mouse,1165.0,518.0,,
1671501774.47865,Mouse,1156.0,520.0,,
1671501774.49868,Mouse,1140.0,522.0,,
1671501774.518624,Mouse,1122.0,525.0,,
1671501774.528705,Mouse,1113.0,525.0,,
1671501774.539814,Mouse,1104.0,529.0,,
1671501774.559619,Mouse,1081.0,533.0,,
1671501774.569792,Mouse,1070.0,534.0,,
1671501774.589629,Mouse,1053.0,537.0,,
1671501774.599788,Mouse,1043.0,538.0,,
1671501774.618651,Mouse,1031.0,540.0,,
1671501774.629623,Mouse,1025.0,540.0,,
1671501774.6397,Mouse,1018.0,542.0,,
1671501774.658637,Mouse,1004.0,547.0,,
1671501774.669936,Mouse,994.0,552.0,,
1671501774.689816,Mouse,963.0,564.0,,
1671501774.710617,Mouse,932.0,573.0,,
1671501774.720663,Mouse,921.0,576.0,,
1671501774.730939,Mouse,912.0,579.0,,
1671501774.750601,Mouse,901.0,583.0,,
1671501774.760752,Mouse,896.0,587.0,,
1671501774.770872,Mouse,891.0,591.0,,
1671501774.789645,Mouse,877.0,602.0,,
1671501774.800637,Mouse,870.0,608.0,,
1671501774.820677,Mouse,855.0,619.0,,
1671501774.840613,Mouse,843.0,629.0,,
1671501774.850678,Mouse,839.0,632.0,,
1671501774.860952,Mouse,835.0,636.0,,
1671501774.880611,Mouse,830.0,644.0,,
1671501774.890737,Mouse,828.0,648.0,,
1671501774.910642,Mouse,823.0,660.0,,
1671501774.920702,Mouse,820.0,667.0,,
1671501774.930857,Mouse,817.0,674.0,,
1671501774.940874,Mouse,816.0,676.0,,
1671501774.959676,Mouse,813.0,680.0,,
1671501774.970671,Mouse,812.0,682.0,,
1671501774.990933,Mouse,810.0,685.0,,
1671501775.010671,Mouse,810.0,686.0,,
1671501775.020809,Mouse,810.0,687.0,,
1671501775.040645,Mouse,810.0,689.0,,
1671501775.051704,Mouse,809.0,690.0,,
1671501775.061933,Mouse,809.0,691.0,,
1671501775.071686,Mouse,808.0,694.0,,
1671501775.07221,,,,MouseEvent,"Up, Left"
1671501775.07221,Mouse,808.0,694.0,,
1671501775.081945,Mouse,807.0,696.0,,
1671501775.101978,Mouse,807.0,697.0,,
1671501775.191671,Mouse,807.0,699.0,,
1671501775.26295,Mouse,806.0,699.0,,
1671501775.282946,Mouse,806.0,700.0,,
1671501775.301799,,,,MouseEvent,"Up, Left"
1671501775.301799,Mouse,806.0,700.0,,
1671501775.341733,Mouse,805.0,700.0,,
1671501775.412694,Mouse,808.0,700.0,,
1671501775.422794,Mouse,822.0,696.0,,
1671501775.442691,Mouse,887.0,669.0,,
1671501775.452699,Mouse,927.0,650.0,,
1671501775.462907,Mouse,955.0,632.0,,
