Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1671501925.083612,MouseEvent,,1372.3333333333333,428.6666666666667,,,Fixation,,,MouseEvent,"Down, Left"
1671501925.083612,,Mouse,1372.6666666666667,428.3333333333333,,,Fixation,1397.0,404.0,,
1671501925.097888,,Eye Tracker,1373.0,428.0,Valid,Valid,Fixation,,,,
1671501925.114543,,Eye Tracker,1364.0,426.0,Valid,Valid,Fixation,,,,
1671501925.131198,,Eye Tracker,1360.0,422.0,Valid,Valid,Fixation,,,,
1671501925.147852,,Eye Tracker,1364.0,425.0,Valid,Valid,Fixation,,,,
1671501925.164507,,Eye Tracker,1359.0,435.0,Valid,Valid,Fixation,,,,
1671501925.1811619,,Eye Tracker,1262.0,508.0,Valid,Valid,Saccade,,,,
1671501925.197816,,Eye Tracker,1154.0,591.0,Valid,Valid,Saccade,,,,
1671501925.2144709,,Eye Tracker,1085.0,656.0,Valid,Valid,Saccade,,,,
1671501925.215638,,Mouse,1081.5,662.5,,,Saccade,1397.0,404.0,,
1671501925.2311258,,Eye Tracker,1078.0,669.0,Valid,Valid,Fixation,,,,
1671501925.2477808,,Eye Tracker,1084.0,667.0,Valid,Valid,Fixation,,,,
1671501925.2644348,,Eye Tracker,1089.0,667.0,Valid,Valid,Fixation,,,,
1671501925.28109,,Eye Tracker,1093.0,672.0,Valid,Valid,Fixation,,,,
1671501925.2855759,,Mouse,1094.5,668.0,,,Fixation,1397.0,404.0,,
1671501925.297745,,Eye Tracker,1096.0,664.0,Valid,Valid,Fixation,,,,
1671501925.305395,,Mouse,1094.0,657.5,,,Fixation,1397.0,408.0,,
1671501925.314399,,Eye Tracker,1092.0,651.0,Valid,Valid,Fixation,,,,
1671501925.325343,,Mouse,1092.0,651.0,,,Fixation,1396.0,417.0,,
1671501925.331054,,Eye Tracker,1092.0,651.0,Valid,Valid,Fixation,,,,
1671501925.345656,,Mouse,1093.0,655.5,,,Fixation,1393.0,431.0,,
1671501925.347709,,Eye Tracker,1094.0,660.0,Valid,Valid,Fixation,,,,
1671501925.364364,,Eye Tracker,1092.0,660.0,Valid,Valid,Fixation,,,,
1671501925.365321,,Mouse,1093.5,653.5,,,Fixation,1393.0,447.0,,
1671501925.3810189,,Eye Tracker,1095.0,647.0,Valid,Valid,Fixation,,,,
1671501925.3853588,,Mouse,1095.0,646.5,,,Fixation,1390.0,459.0,,
1671501925.3976738,,Eye Tracker,1095.0,646.0,Valid,Valid,Fixation,,,,
1671501925.4053378,,Mouse,1085.0,654.0,,,Fixation,1388.0,472.0,,
1671501925.4143279,,Eye Tracker,1075.0,662.0,Valid,Valid,Saccade,,,,
