Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671507229.613,MouseEvent,,1735.6666666666667,901.6666666666666,,,Fixation
1671507229.628409,,Mouse,1732.3333333333333,901.3333333333334,,,Fixation
1671507229.6450639,,Eye Tracker,1729.0,901.0,Valid,Valid,Fixation
1671507229.676872,,Eye Tracker,1727.0,903.0,Valid,Valid,Fixation
1671507229.693528,,Eye Tracker,1698.0,884.0,Valid,Valid,Saccade
1671507229.761569,,Eye Tracker,1488.0,805.0,Valid,Valid,Saccade
1671507229.778224,,Eye Tracker,1392.0,772.0,Valid,Valid,Saccade
1671507229.794879,,Eye Tracker,1385.0,770.0,Valid,Valid,Fixation
1671507229.811533,,Eye Tracker,1385.0,782.0,Valid,Valid,Fixation
1671507229.828188,,Eye Tracker,1388.0,781.0,Valid,Valid,Fixation
1671507229.844843,,Eye Tracker,1403.0,775.0,Valid,Valid,Fixation
1671507229.861497,,Eye Tracker,1406.0,772.0,Valid,Valid,Fixation
1671507229.878152,,Eye Tracker,1405.0,775.0,Valid,Valid,Fixation
1671507229.8948069,,Eye Tracker,1409.0,774.0,Valid,Valid,Fixation
1671507229.9114609,,Eye Tracker,1409.0,774.0,Valid,Valid,Fixation
1671507229.9281158,,Mouse,1408.0,777.0,,,Fixation
1671507229.9447708,,Eye Tracker,1407.0,780.0,Valid,Valid,Fixation
1671507229.9614248,,Mouse,1411.5,779.0,,,Fixation
1671507229.97808,,Eye Tracker,1416.0,778.0,Valid,Valid,Fixation
1671507229.994735,,Eye Tracker,1413.0,782.0,Valid,Valid,Fixation
1671507230.011389,,Mouse,1430.0,788.5,,,Fixation
1671507230.028045,,Eye Tracker,1447.0,795.0,Valid,Valid,Saccade
1671507230.0447,,Mouse,1465.5,800.0,,,Saccade
1671507230.0613549,,Eye Tracker,1484.0,805.0,Valid,Valid,Saccade
1671507230.078009,,Mouse,1544.6666666666667,819.0,,,Saccade
1671507230.0946639,,Mouse,1605.3333333333333,833.0,,,Saccade
1671507230.1113188,,Eye Tracker,1666.0,847.0,Valid,Valid,Saccade
1671507230.1279728,,Mouse,1674.0,846.0,,,Saccade
1671507230.1446278,,Eye Tracker,1682.0,845.0,Valid,Valid,Fixation
1671507230.161283,,Mouse,1687.5,846.5,,,Fixation
1671507230.177937,,Eye Tracker,1693.0,848.0,Valid,Valid,Fixation
1671507230.194592,,Mouse,1690.0,848.3333333333334,,,Fixation
1671507230.211247,,Mouse,1687.0,848.6666666666666,,,Fixation
1671507230.227901,,Eye Tracker,1684.0,849.0,Valid,Valid,Fixation
1671507230.244556,,Mouse,1676.5,847.0,,,Fixation
1671507230.261211,,Eye Tracker,1669.0,845.0,Valid,Valid,Fixation
1671507230.277865,,Mouse,1667.5,843.5,,,Fixation
1671507230.29452,,Eye Tracker,1666.0,842.0,Valid,Valid,Fixation
1671507230.3111749,,Mouse,1665.6666666666667,843.6666666666666,,,Fixation
1671507230.3278298,,Mouse,1665.3333333333333,845.3333333333334,,,Fixation
1671507230.3444848,,Eye Tracker,1665.0,847.0,Valid,Valid,Fixation
1671507230.36114,,Mouse,1664.0,849.0,,,Fixation
1671507230.377795,,Eye Tracker,1663.0,851.0,Valid,Valid,Fixation
1671507230.394449,,Mouse,1665.0,849.5,,,Fixation
1671507230.411104,,Eye Tracker,1667.0,848.0,Valid,Valid,Fixation
1671507230.427759,,Mouse,1665.0,846.5,,,Fixation
1671507230.444413,,Eye Tracker,1663.0,845.0,Valid,Valid,Fixation
1671507230.461068,,Mouse,1661.6666666666667,844.6666666666666,,,Fixation
1671507230.477723,,Mouse,1660.3333333333333,844.3333333333334,,,Fixation
1671507230.494377,,Eye Tracker,1659.0,844.0,Valid,Valid,Fixation
1671507230.5110319,,Mouse,1661.0,844.0,,,Fixation
1671507230.5276868,,Eye Tracker,1663.0,844.0,Valid,Valid,Fixation
1671507230.5443408,,Mouse,1664.5,843.5,,,Fixation
1671507230.5446498,,Eye Tracker,1666.0,843.0,Valid,Valid,Fixation
1671507230.5609958,,Eye Tracker,1664.0,841.0,Valid,Valid,Fixation
1671507230.577651,,Mouse,1662.0,840.5,,,Fixation
1671507230.594306,,Eye Tracker,1660.0,840.0,Valid,Valid,Fixation
1671507230.61096,,Mouse,1659.5,838.5,,,Fixation
1671507230.627615,,Eye Tracker,1659.0,837.0,Valid,Valid,Fixation
1671507230.64427,,Mouse,1656.0,836.0,,,Fixation
1671507230.660925,,Eye Tracker,1653.0,835.0,Valid,Valid,Fixation
1671507230.6775799,,Mouse,1652.0,834.0,,,Fixation
1671507230.6942348,,Eye Tracker,1651.0,833.0,Valid,Valid,Fixation
1671507230.7108889,,Mouse,1653.3333333333333,833.0,,,Fixation
1671507230.7275438,,Mouse,1655.6666666666667,833.0,,,Fixation
1671507230.7441988,,Eye Tracker,1658.0,833.0,Valid,Valid,Fixation
1671507230.7608528,,Mouse,1652.0,833.0,,,Fixation
1671507230.763124,,Eye Tracker,1646.0,833.0,Valid,Valid,Fixation
1671507230.777508,,Mouse,1609.5,814.5,,,Saccade
1671507230.77909,,Eye Tracker,1573.0,796.0,Valid,Valid,Saccade
1671507230.794163,,Mouse,1531.0,772.5,,,Saccade
1671507230.810817,,Eye Tracker,1489.0,749.0,Valid,Valid,Saccade
1671507230.827472,,Mouse,1457.0,738.5,,,Saccade
1671507230.835173,,Eye Tracker,1425.0,728.0,Valid,Valid,Saccade
1671507230.844127,,Mouse,1422.5,726.5,,,Fixation
1671507230.851172,,Eye Tracker,1420.0,725.0,Valid,Valid,Fixation
1671507230.860782,,Mouse,1424.0,725.6666666666666,,,Fixation
1671507230.8671489,,Mouse,1428.0,726.3333333333334,,,Fixation
1671507230.877436,,Eye Tracker,1432.0,727.0,Valid,Valid,Fixation
1671507230.883128,,Eye Tracker,1430.0,727.0,Valid,Valid,Fixation
1671507230.894091,,Mouse,1431.3333333333333,726.0,,,Fixation
1671507230.8991618,,Mouse,1432.6666666666667,725.0,,,Fixation
1671507230.9107459,,Eye Tracker,1434.0,724.0,Valid,Valid,Fixation
1671507230.923133,,Mouse,1435.5,726.0,,,Fixation
1671507230.9273999,,Eye Tracker,1437.0,728.0,Valid,Valid,Fixation
1671507230.9440548,,Mouse,1438.5,730.0,,,Fixation
1671507230.9607098,,Eye Tracker,1440.0,732.0,Valid,Valid,Fixation
1671507230.977365,,Mouse,1443.0,732.0,,,Fixation
1671507230.99402,,Mouse,1446.0,732.0,,,Fixation
1671507231.010675,,Eye Tracker,1449.0,732.0,Valid,Valid,Fixation
1671507231.027329,,Mouse,1449.0,732.5,,,Fixation
1671507231.043984,,Eye Tracker,1449.0,733.0,Valid,Valid,Fixation
1671507231.060639,,Eye Tracker,1444.0,733.0,Valid,Valid,Fixation
1671507231.077293,,Mouse,1444.3333333333333,732.6666666666666,,,Fixation
1671507231.093948,,Mouse,1444.6666666666667,732.3333333333334,,,Fixation
1671507231.1106029,,Eye Tracker,1445.0,732.0,Valid,Valid,Fixation
1671507231.1272578,,Mouse,1430.5,732.0,,,Saccade
1671507231.1393878,,Eye Tracker,1416.0,732.0,Valid,Valid,Saccade
1671507231.1393878,,Mouse,1397.5,726.0,,,Saccade
1671507231.1439118,,Eye Tracker,1379.0,720.0,Valid,Valid,Saccade
1671507231.1605668,,Mouse,1235.0,709.5,,,Saccade
1671507231.177222,,Eye Tracker,1091.0,699.0,Valid,Valid,Saccade
1671507231.1873338,,Mouse,1089.6666666666667,704.3333333333334,,,Saccade
1671507231.1873338,,Mouse,1088.3333333333333,709.6666666666666,,,Fixation
1671507231.193876,,Eye Tracker,1087.0,715.0,Valid,Valid,Fixation
1671507231.210531,,Mouse,1087.5,714.5,,,Fixation
1671507231.227186,,Eye Tracker,1088.0,714.0,Valid,Valid,Fixation
1671507231.24384,,Mouse,1092.0,713.5,,,Fixation
1671507231.260495,,Eye Tracker,1096.0,713.0,Valid,Valid,Fixation
1671507231.27715,,Mouse,1097.6666666666667,714.0,,,Fixation
1671507231.283108,,Mouse,1099.3333333333333,715.0,,,Fixation
1671507231.293804,,Eye Tracker,1101.0,716.0,Valid,Valid,Fixation
1671507231.299105,,Eye Tracker,1108.0,721.0,Valid,Valid,Fixation
1671507231.3104599,,Mouse,1108.3333333333333,721.0,,,Fixation
1671507231.315083,,Mouse,1108.6666666666667,721.0,,,Fixation
1671507231.3271148,,Eye Tracker,1109.0,721.0,Valid,Valid,Fixation
1671507231.331102,,Mouse,1108.6666666666667,719.6666666666666,,,Fixation
1671507231.3437688,,Mouse,1108.3333333333333,718.3333333333334,,,Fixation
1671507231.3543458,,Eye Tracker,1108.0,717.0,Valid,Valid,Fixation
1671507231.3604238,,Eye Tracker,1109.0,727.0,Valid,Valid,Fixation
1671507231.371048,,Mouse,1211.3333333333333,733.0,,,Fixation
1671507231.377079,,Mouse,1313.6666666666667,739.0,,,Saccade
1671507231.3870878,,Eye Tracker,1416.0,745.0,Valid,Valid,Saccade
1671507231.393734,,Mouse,1433.0,746.0,,,Saccade
1671507231.403092,,Eye Tracker,1450.0,747.0,Valid,Valid,Saccade
1671507231.410388,,Mouse,1473.0,750.0,,,Saccade
1671507231.427043,,Eye Tracker,1496.0,753.0,Valid,Valid,Saccade
1671507231.441753,,Mouse,1497.0,753.5,,,Fixation
1671507231.443698,,Eye Tracker,1498.0,754.0,Valid,Valid,Fixation
